STATE:31:cc/cr200f:3cJh|4s8d/9s5dKc:-100|100:DeepStack|takeda.tsuneaki.1 # 1478523956.26417
STATE:32:r300c/cr600r1025c/r1900f:AcTh|4c5d/2dTs4h/7h:1025|-1025:takeda.tsuneaki.1|DeepStack # 1478523979.315
STATE:33:r200c/cc/cc/r600f:Qc2s|8sQs/Kh2h9d/4d/2c:200|-200:DeepStack|takeda.tsuneaki.1 # 1478524037.97347
STATE:34:f:5dJs|3h9s:50|-50:takeda.tsuneaki.1|DeepStack # 1478524088.39506
STATE:35:r200c/cc/cc/cr400f:4dKh|4sJd/8c9s6h/9h/Tc:-200|200:DeepStack|takeda.tsuneaki.1 # 1478524098.1377
STATE:36:r300f:9s2d|8s7s:-100|100:takeda.tsuneaki.1|DeepStack # 1478524143.56641
STATE:37:r200r600c/cr1375c/cr3437f:QsKh|2cAs/ThAc4c/5h:-1375|1375:DeepStack|takeda.tsuneaki.1 # 1478524154.7808
STATE:38:r200c/cc/r500c/r20000f:7cAc|JcJh/9dAdAs/3s/3c:500|-500:takeda.tsuneaki.1|DeepStack # 1478524212.34849
STATE:39:r250c/cc/cr500c/cc:9sKd|4h4s/Qs9d3h/7d/2c:500|-500:DeepStack|takeda.tsuneaki.1 # 1478524263.19528
STATE:40:r300c/cr600f:Ac2s|AhJd/Qd8d7c:-300|300:takeda.tsuneaki.1|DeepStack # 1478524318.5578
STATE:41:r250f:6h3s|JsJh:-100|100:DeepStack|takeda.tsuneaki.1 # 1478524344.56622
STATE:42:cc/r200f:QdTs|9c5d/2cQhJh:100|-100:takeda.tsuneaki.1|DeepStack # 1478524361.30612
STATE:43:r200c/cr425f:9hKs|Td9c/7h5c5h:-200|200:DeepStack|takeda.tsuneaki.1 # 1478524383.77257
STATE:44:f:Kh5s|3s9h:50|-50:takeda.tsuneaki.1|DeepStack # 1478524416.91418
STATE:45:cr300f:4hAh|5h4d:100|-100:DeepStack|takeda.tsuneaki.1 # 1478524423.68985
STATE:46:cc/r250f:Ts7d|2cJs/7h4hTh:100|-100:takeda.tsuneaki.1|DeepStack # 1478524442.22909
STATE:47:r250f:6h3d|KhAd:-100|100:DeepStack|takeda.tsuneaki.1 # 1478524465.51616
STATE:48:cc/cr200c/cc/cr600c:Ac2c|ThQs/5cKd8d/Kc/Qd:-600|600:takeda.tsuneaki.1|DeepStack # 1478524481.80689
STATE:49:r200c/cr425c/cc/r849f:7cAd|6s8c/ThAh2s/8d/Kc:425|-425:DeepStack|takeda.tsuneaki.1 # 1478524533.84949
STATE:50:r300f:Th3h|KsTc:-100|100:takeda.tsuneaki.1|DeepStack # 1478524580.00981
STATE:51:r200c/cr400f:Qd4s|9hKs/Jd6d2c:-200|200:DeepStack|takeda.tsuneaki.1 # 1478524591.88854
STATE:52:cc/cr300c/cc/cr600c:Jc2d|9d4s/7c9s8c/Kh/2s:-600|600:takeda.tsuneaki.1|DeepStack # 1478524618.17862
STATE:53:r225c/cr525f:Ts6d|As5d/7h3hAh:-225|225:DeepStack|takeda.tsuneaki.1 # 1478524681.95645
STATE:54:r200c/cr400f:3h4c|AhJs/7cJd2s:-200|200:takeda.tsuneaki.1|DeepStack # 1478524715.24162
STATE:55:cc/cc/cc/cc:6sQc|3sKd/2cAcJd/Jh/9d:-100|100:DeepStack|takeda.tsuneaki.1 # 1478524744.50413
STATE:56:cr200c/r425c/r875c/r1800c:Kd2d|5dKc/KhTcAh/2s/2c:1800|-1800:takeda.tsuneaki.1|DeepStack # 1478524780.97144
STATE:57:cc/cr200f:6s3h|4c6h/9cQdAd:-100|100:DeepStack|takeda.tsuneaki.1 # 1478524857.15902
STATE:58:r300f:6hTd|5hJd:-100|100:takeda.tsuneaki.1|DeepStack # 1478524883.36565
STATE:59:f:TcKc|2d7c:50|-50:DeepStack|takeda.tsuneaki.1 # 1478524900.33535
STATE:60:cc/cr200c/cr400f:2hKs|4hAd/3dQs6s/8d:-200|200:takeda.tsuneaki.1|DeepStack # 1478524909.33546
STATE:61:r200r600c/r1200c/cr2500c/cc:KdJh|7d6d/6cKhKc/9s/8s:2500|-2500:DeepStack|takeda.tsuneaki.1 # 1478524954.26158
STATE:62:r200c/cr400f:Kc4h|9hAh/9dTc8s:-200|200:takeda.tsuneaki.1|DeepStack # 1478525006.68261
STATE:63:r200r600c/cr1275c/cc/cc:7dKd|Qs6h/9s2s7s/8h/6d:1275|-1275:DeepStack|takeda.tsuneaki.1 # 1478525033.06573
STATE:64:r300c/cc/cc/cr600f:Kh9s|QdQh/Th3hAd/Qs/2d:-300|300:takeda.tsuneaki.1|DeepStack # 1478525082.95843
STATE:65:r200c/cr425f:8dKh|5c7c/3s2h4d:-200|200:DeepStack|takeda.tsuneaki.1 # 1478525144.00115
STATE:66:r300c/cr600c/cr1800c/cc:5d3h|8d7h/3s3c4c/Kh/8c:1800|-1800:takeda.tsuneaki.1|DeepStack # 1478525170.4944
STATE:67:r225f:2s3c|JcAs:-100|100:DeepStack|takeda.tsuneaki.1 # 1478525239.98625
STATE:68:cr325f:8hTc|Qs2d:100|-100:takeda.tsuneaki.1|DeepStack # 1478525256.98964
STATE:69:r225c/cr525f:9cJh|5h7d/6sKcAh:-225|225:DeepStack|takeda.tsuneaki.1 # 1478525277.48387
STATE:70:f:6d7c|9d2s:50|-50:takeda.tsuneaki.1|DeepStack # 1478525308.43244
STATE:71:f:2s7s|3h8d:50|-50:DeepStack|takeda.tsuneaki.1 # 1478525315.18392
STATE:72:r200c/cr400f:2s3c|Td2d/Jd4s6s:-200|200:takeda.tsuneaki.1|DeepStack # 1478525324.54154
STATE:73:r225r675f:ThAh|TcJh:225|-225:DeepStack|takeda.tsuneaki.1 # 1478525355.49029
STATE:74:cr225c/cc/r525f:9d9h|8s6d/JcAsTd/4c:225|-225:takeda.tsuneaki.1|DeepStack # 1478525382.3342
STATE:75:r225f:5d8c|8hKh:-100|100:DeepStack|takeda.tsuneaki.1 # 1478525420.62163
STATE:76:cr275f:9d9s|Ts2d:100|-100:takeda.tsuneaki.1|DeepStack # 1478525436.73001
STATE:77:r225c/cr425r850r1275c/cc/cr2100f:Qh7h|Tc8s/Th8d4h/8c/6c:-1275|1275:DeepStack|takeda.tsuneaki.1 # 1478525461.71363
STATE:78:r300c/cc/cc/cc:KsTd|5s8s/6s8cAc/9h/6c:-300|300:takeda.tsuneaki.1|DeepStack # 1478525545.03776
STATE:79:r225f:3h6c|TdJd:-100|100:DeepStack|takeda.tsuneaki.1 # 1478525587.37558
STATE:80:r300c/cr600r1025f:7cTc|3c4d/8c9hJd:600|-600:takeda.tsuneaki.1|DeepStack # 1478525605.7137
STATE:81:cr300c/r600f:2d2c|8h9c/Ad7c4h:300|-300:DeepStack|takeda.tsuneaki.1 # 1478525642.12503
STATE:82:r300c/cr600c/cc/cc:Qd9c|5d8h/2dKdJc/5s/Js:-600|600:takeda.tsuneaki.1|DeepStack # 1478525674.19132
STATE:83:f:3hAh|3cJs:50|-50:DeepStack|takeda.tsuneaki.1 # 1478525724.41124
STATE:84:cc/cr300r625c/r1400f:8s9s|4hTd/Ts9d5s/6d:625|-625:takeda.tsuneaki.1|DeepStack # 1478525733.42177
STATE:85:cc/cr225f:Kc6h|5s4h/4s2c9d:-100|100:DeepStack|takeda.tsuneaki.1 # 1478525782.52973
STATE:86:r200c/cr600f:4s5h|As8s/QdTcJs:-200|200:takeda.tsuneaki.1|DeepStack # 1478525807.92317
STATE:87:r225c/cc/cc/cc:ThAs|6sAc/2h3d5c/2d/Jc:225|-225:DeepStack|takeda.tsuneaki.1 # 1478525831.55908
STATE:88:r300f:2s6s|7s3s:-100|100:takeda.tsuneaki.1|DeepStack # 1478525873.03668
STATE:89:cr300c/r900c/r2700f:AdKd|Qd6s/2hKs6c/8s:900|-900:DeepStack|takeda.tsuneaki.1 # 1478525884.50173
STATE:90:r200c/cc/r400f:As3d|9s6c/QdTdAh/2s:200|-200:takeda.tsuneaki.1|DeepStack # 1478525921.71384
STATE:91:f:AsTh|Js3c:50|-50:DeepStack|takeda.tsuneaki.1 # 1478525954.22489
STATE:92:r300f:4cJd|JcQs:-100|100:takeda.tsuneaki.1|DeepStack # 1478525967.00383
STATE:93:f:KsJd|Tc4s:50|-50:DeepStack|takeda.tsuneaki.1 # 1478525978.70405
STATE:94:r200r525c/r1050c/r2170r4340f:AsQd|8c9c/Tc5s7s/6c:-2170|2170:takeda.tsuneaki.1|DeepStack # 1478525988.51413
STATE:95:r225c/cc/cc/cc:Kc8h|2c5d/8dAd5h/Td/3d:-225|225:DeepStack|takeda.tsuneaki.1 # 1478526071.18866
STATE:96:cc/cc/cc/cc:Th3s|Qc6c/2s8hKd/Jc/4h:-100|100:takeda.tsuneaki.1|DeepStack # 1478526116.13387
STATE:97:r225c/cr500f:9sJc|4h6c/Ad6h5h:-225|225:DeepStack|takeda.tsuneaki.1 # 1478526151.719
STATE:98:f:3sTs|9s2c:50|-50:takeda.tsuneaki.1|DeepStack # 1478526192.47917
STATE:99:cr300f:Kd4d|4s8c:100|-100:DeepStack|takeda.tsuneaki.1 # 1478526199.25061
STATE:100:r300f:5h3s|7hTc:-100|100:takeda.tsuneaki.1|DeepStack # 1478526217.92967
STATE:101:r300r900r2100c/cr4100r8200f:Ts9s|7d7h/As9cTh:4100|-4100:DeepStack|takeda.tsuneaki.1 # 1478526234.76525
STATE:102:r300r900f:AsQh|3hAd:300|-300:takeda.tsuneaki.1|DeepStack # 1478526303.8511
STATE:103:cr300c/r600c/cr1300r3900c/cc:Ks6s|5d2h/8s2d5s/9d/9h:-3900|3900:DeepStack|takeda.tsuneaki.1 # 1478526324.3028
STATE:104:r200c/cc/cr400c/cr800f:9sAd|TcTs/KhKs6s/8h/Qs:-400|400:takeda.tsuneaki.1|DeepStack # 1478526385.47669
STATE:105:r225c/cr500f:Qd7c|8hJh/Ac9sAh:-225|225:DeepStack|takeda.tsuneaki.1 # 1478526438.24959
STATE:106:cc/cr200r400f:Qd4d|4cJs/Qh8cQs:200|-200:takeda.tsuneaki.1|DeepStack # 1478526471.30297
STATE:107:r225c/cr500c/cc/cc:7cAs|Ah6s/JcQhQd/8c/2c:0|0:DeepStack|takeda.tsuneaki.1 # 1478526502.79798
STATE:108:r200c/cr600c/cc/r1800c:JcTd|9d8d/8s7h2s/2d/9s:1800|-1800:takeda.tsuneaki.1|DeepStack # 1478526551.81365
STATE:109:r225f:8c3s|Qd5h:-100|100:DeepStack|takeda.tsuneaki.1 # 1478526611.92108
STATE:110:f:Ac2s|6d5s:50|-50:takeda.tsuneaki.1|DeepStack # 1478526631.95936
STATE:0:r300c/cr600f:5dAc|2s3s/9s8sTd:-300|300:takeda.tsuneaki.1|DeepStack # 1478526675.04232
STATE:1:r300c/cc/r600c/r1200r1800f:6h5s|9cAc/Ad2sKh/2d/7h:-1200|1200:DeepStack|takeda.tsuneaki.1 # 1478526707.74001
STATE:2:r300f:5c8d|Qc5h:-100|100:takeda.tsuneaki.1|DeepStack # 1478526751.31055
STATE:3:f:Ah8d|2dTs:50|-50:DeepStack|takeda.tsuneaki.1 # 1478526764.21609
STATE:4:f:Jd4h|8c3h:50|-50:takeda.tsuneaki.1|DeepStack # 1478526778.07473
STATE:5:r250f:4hJd|JcKs:-100|100:DeepStack|takeda.tsuneaki.1 # 1478526784.44222
STATE:6:cr300f:Ah5d|7h4c:100|-100:takeda.tsuneaki.1|DeepStack # 1478526799.96796
STATE:7:f:TdJs|2c8s:50|-50:DeepStack|takeda.tsuneaki.1 # 1478526821.09386
STATE:8:cc/cr200c/r450r900c/cc:3dKh|QsJd/4hJc5h/Ah/4c:-900|900:takeda.tsuneaki.1|DeepStack # 1478526829.01415
STATE:9:f:TcKd|Js5d:50|-50:DeepStack|takeda.tsuneaki.1 # 1478526882.63824
STATE:10:f:8sTd|3h7s:50|-50:takeda.tsuneaki.1|DeepStack # 1478526895.1008
STATE:11:r250r750f:Ad9d|3hKc:250|-250:DeepStack|takeda.tsuneaki.1 # 1478526901.44331
STATE:12:f:KhJd|2d5h:50|-50:takeda.tsuneaki.1|DeepStack # 1478526922.33539
STATE:13:cc/cc/r300f:7h9c|4sJd/5s8d7s/3d:100|-100:DeepStack|takeda.tsuneaki.1 # 1478526928.84218
STATE:14:cr300f:9cJc|8h4d:100|-100:takeda.tsuneaki.1|DeepStack # 1478526961.78175
STATE:15:f:7dJc|9h4d:50|-50:DeepStack|takeda.tsuneaki.1 # 1478526981.16271
STATE:16:r300c/cr900f:Js7h|8s2s/Ts6sAc:-300|300:takeda.tsuneaki.1|DeepStack # 1478526990.03677
STATE:17:r200r600c/r1200r2100f:AcKd|Jd7d/7c4s3d:-1200|1200:DeepStack|takeda.tsuneaki.1 # 1478527023.57372
STATE:18:cr300f:8d8s|Qs4h:100|-100:takeda.tsuneaki.1|DeepStack # 1478527057.70546
STATE:19:r200c/cc/r600f:8c7h|4sKd/6c2c9c/9h:200|-200:DeepStack|takeda.tsuneaki.1 # 1478527075.739
