STATE:41:r300c/cc/r600r1500f:8d9h|5d4c/Qh7c2h/5c:-600|600:DeepStack|tishekvich.stas.1 # 1480517125.37811
STATE:19:f:Qc4d|6s2d:50|-50:DeepStack|tishekvich.stas.3 # 1480517152.58898
STATE:20:cc/cr200f:4c2c|Jd3s/QcTdJh:-100|100:tishekvich.stas.3|DeepStack # 1480517184.60452
STATE:42:r200f:7h3c|AhJd:-100|100:tishekvich.stas.1|DeepStack # 1480517219.6441
STATE:43:r300c/r900c/cc/r1800f:7s3s|9s9d/Ts3c4s/Js/2h:900|-900:DeepStack|tishekvich.stas.1 # 1480517241.48356
STATE:21:r300r900c/cc/r2700f:KcJh|Ah4h/3cQsTd/6d:900|-900:DeepStack|tishekvich.stas.3 # 1480517254.9927
STATE:44:cc/cc/cr300c/cr600f:Qs6c|3sQc/6s4s8h/7h/9h:-300|300:tishekvich.stas.1|DeepStack # 1480517460.10992
STATE:45:f:TdKh|3c8d:50|-50:DeepStack|tishekvich.stas.1 # 1480517573.92613
STATE:46:cc/cr300f:Jh2h|TdQh/8s4h3c:-100|100:tishekvich.stas.1|DeepStack # 1480517593.1803
STATE:47:r300r900f:KsQh|JcTd:300|-300:DeepStack|tishekvich.stas.1 # 1480517667.86235
STATE:22:cc/cc/cr200f:5cJs|9sKh/7c8s9d/Kc:-100|100:tishekvich.stas.3|DeepStack # 1480517679.60262
STATE:48:r200c/cr600f:JsQd|7dAc/2h6h7s:-200|200:tishekvich.stas.1|DeepStack # 1480517696.4577
STATE:23:f:9c5d|2dTs:50|-50:DeepStack|tishekvich.stas.3 # 1480517723.45209
STATE:49:f:3s2h|2sJh:50|-50:DeepStack|tishekvich.stas.1 # 1480517731.38816
STATE:24:r300f:6cJs|Jh6s:-100|100:tishekvich.stas.3|DeepStack # 1480517732.01374
STATE:50:r200r800f:AcTs|9cQh:200|-200:tishekvich.stas.1|DeepStack # 1480517740.26741
STATE:25:r300r900f:8sJs|Kd2c:300|-300:DeepStack|tishekvich.stas.3 # 1480517742.10754
STATE:51:f:Qh5c|8s5h:50|-50:DeepStack|tishekvich.stas.1 # 1480517760.02545
STATE:26:r200f:2s3h|6c9s:-100|100:tishekvich.stas.3|DeepStack # 1480517762.00702
STATE:52:r200c/cr400c/cc/cr1200f:9sAh|Jh2h/7h4d2s/3d/Js:-400|400:tishekvich.stas.1|DeepStack # 1480517770.10972
STATE:27:r300r900f:AdKd|6cJc:300|-300:DeepStack|tishekvich.stas.3 # 1480517773.55128
STATE:28:cr400f:AcQc|3h7s:100|-100:tishekvich.stas.3|DeepStack # 1480517799.90238
STATE:29:f:As5d|4cQs:50|-50:DeepStack|tishekvich.stas.3 # 1480517829.60001
STATE:30:r200r800f:AdTc|3sKh:200|-200:tishekvich.stas.3|DeepStack # 1480517846.49491
STATE:53:r300c/cr500c/cr1100f:Jd5d|2cKh/9c2sQd/Ks:-500|500:DeepStack|tishekvich.stas.1 # 1480517862.90641
STATE:31:r300f:5sQd|Jd7h:-100|100:DeepStack|tishekvich.stas.3 # 1480517865.62751
STATE:32:cr400c/cr800f:JdQc|2cAc/2s3d7c:-400|400:tishekvich.stas.3|DeepStack # 1480517888.13035
STATE:33:f:3c8h|8c2h:50|-50:DeepStack|tishekvich.stas.3 # 1480517921.72409
STATE:54:f:5dKd|4c2h:50|-50:tishekvich.stas.1|DeepStack # 1480517922.30483
STATE:55:f:5d2h|2dTh:50|-50:DeepStack|tishekvich.stas.1 # 1480517929.39744
STATE:34:r300f:7s9d|Jd9s:-100|100:tishekvich.stas.3|DeepStack # 1480517932.73196
STATE:56:r300r1200f:2c5c|7h5s:300|-300:tishekvich.stas.1|DeepStack # 1480517939.32096
STATE:35:r300c/cr600c/cc/r1200c:QsTh|Jh8s/3cKhQd/5c/4c:1200|-1200:DeepStack|tishekvich.stas.3 # 1480517944.87526
STATE:57:r300c/cr700c/cr1800c/cc:KhTc|Jc7d/3c9d5s/Qh/8h:1800|-1800:DeepStack|tishekvich.stas.1 # 1480517969.52274
STATE:36:r300f:8d6s|JsTc:-100|100:tishekvich.stas.3|DeepStack # 1480518006.84285
