STATE:18:r300c/cr600f:As2c|Td6d/6hJdTc:-300|300:shrimankar.prakshat.1|DeepStack # 1478646831.88688
STATE:19:f:2c8c|9d2h:50|-50:DeepStack|shrimankar.prakshat.1 # 1478646886.73382
STATE:20:f:9sTc|6h2c:50|-50:shrimankar.prakshat.1|DeepStack # 1478646909.61754
STATE:21:r250c/cr500c/cr1100f:6dTd|JdAh/3dKs6s/4h:-500|500:DeepStack|shrimankar.prakshat.1 # 1478646918.26005
STATE:22:r300c/cc/r650f:3cAd|6hKs/2d5dAh/2s:300|-300:shrimankar.prakshat.1|DeepStack # 1478646998.41308
STATE:23:cc/cc/cc/cc:7h4s|3sAd/Jd6d2s/2c/8s:-100|100:DeepStack|shrimankar.prakshat.1 # 1478647054.69819
STATE:24:cc/cr300c/cc/cc:Qd8c|3cQh/4h3sTh/8d/6c:300|-300:shrimankar.prakshat.1|DeepStack # 1478647125.44237
STATE:25:f:3hJd|6h9s:50|-50:DeepStack|shrimankar.prakshat.1 # 1478647203.39027
STATE:26:r300f:4d5h|7dTs:-100|100:shrimankar.prakshat.1|DeepStack # 1478647216.84103
STATE:27:f:6c7h|2s3c:50|-50:DeepStack|shrimankar.prakshat.1 # 1478647239.30077
STATE:28:cc/r200c/r400r800c/cc:5hJd|KdTh/TdTsJc/Jh/8c:800|-800:shrimankar.prakshat.1|DeepStack # 1478647249.19151
STATE:29:f:KhAs|3sQh:50|-50:DeepStack|shrimankar.prakshat.1 # 1478647330.32553
STATE:30:f:QhTh|2c7s:50|-50:shrimankar.prakshat.1|DeepStack # 1478647341.38609
STATE:31:r250r500c/r1000c/cr2000f:TcQc|Ah9c/3c4hKd/3s:-1000|1000:DeepStack|shrimankar.prakshat.1 # 1478647349.44227
STATE:32:cc/cr300f:9s5d|6c4d/QcThJc:-100|100:shrimankar.prakshat.1|DeepStack # 1478647413.27468
STATE:33:r250c/cr500f:6sKd|QcKc/8sJh3c:-250|250:DeepStack|shrimankar.prakshat.1 # 1478647454.13249
STATE:34:r300f:Qc3h|AcTd:-100|100:shrimankar.prakshat.1|DeepStack # 1478647499.61014
STATE:35:f:ThAc|4sJh:50|-50:DeepStack|shrimankar.prakshat.1 # 1478647514.73002
STATE:36:r300r750f:4c4s|Ks4h:300|-300:shrimankar.prakshat.1|DeepStack # 1478647525.27796
STATE:37:r250c/cc/cc/cr1250f:5dKh|TcJd/QsTd8d/8c/9s:-250|250:DeepStack|shrimankar.prakshat.1 # 1478647548.17948
STATE:38:r300r750c/r1500r4500f:AsQd|4sJs/9d5s3c:-1500|1500:shrimankar.prakshat.1|DeepStack # 1478647622.16971
STATE:39:r250c/cr500c/cc/cr800c:Jd6d|Th8h/AhAd8c/Td/6h:-800|800:DeepStack|shrimankar.prakshat.1 # 1478647677.65065
STATE:40:r300c/cc/cr600f:2sAd|Ts8s/3cQc4s/7s:-300|300:shrimankar.prakshat.1|DeepStack # 1478647755.34817
STATE:0:f:Jd8c|3s7h:50|-50:shrimankar.prakshat.1|DeepStack # 1478655567.32124
STATE:1:r200r600r1200r20000f:AhAd|3d2d:1200|-1200:DeepStack|shrimankar.prakshat.1 # 1478655575.47059
STATE:2:f:Qs3s|8h3c:50|-50:shrimankar.prakshat.1|DeepStack # 1478655606.96096
STATE:3:cr300c/r600c/cr1300f:6d3d|Js8s/Qd9c5s/6s:-600|600:DeepStack|shrimankar.prakshat.1 # 1478655613.8865
STATE:4:r200r400c/r800c/cr1600f:3h3c|4c6h/4h6c4d/Kh:-800|800:shrimankar.prakshat.1|DeepStack # 1478655660.84412
STATE:5:f:QcTd|4hJc:50|-50:DeepStack|shrimankar.prakshat.1 # 1478655716.37838
STATE:6:f:2s6d|6c2h:50|-50:shrimankar.prakshat.1|DeepStack # 1478655725.39454
STATE:7:f:8s4h|3s9c:50|-50:DeepStack|shrimankar.prakshat.1 # 1478655732.1547
STATE:8:r200c/cr400c/cr800c/r1600c:6hAd|TsAh/4c9d5h/8h/As:-1600|1600:shrimankar.prakshat.1|DeepStack # 1478655740.73597
STATE:9:r300c/cc/r600f:8cQh|KhJs/6s7hTh/8d:300|-300:DeepStack|shrimankar.prakshat.1 # 1478655819.11176
STATE:10:f:8h5c|7h2d:50|-50:shrimankar.prakshat.1|DeepStack # 1478655863.30089
STATE:11:r300r900c/r1800c/cr4000c/cr20000f:QsAc|Qd9s/2s4c4h/2d/7s:-4000|4000:DeepStack|shrimankar.prakshat.1 # 1478655870.02944
STATE:12:r300f:Qd2h|8hKc:-100|100:shrimankar.prakshat.1|DeepStack # 1478655963.89968
STATE:13:f:9h9s|7sJd:50|-50:DeepStack|shrimankar.prakshat.1 # 1478655975.52238
STATE:14:cc/cc/cr200f:Kc4d|Ah2d/5d8c5c/2h:-100|100:shrimankar.prakshat.1|DeepStack # 1478655990.64572
STATE:15:r300c/cc/cr1500f:7d8c|JhKs/Qs9dKh/4d:-300|300:DeepStack|shrimankar.prakshat.1 # 1478656039.73248
STATE:16:cc/cr300f:Qc8d|Ad4s/6h5h4d:-100|100:shrimankar.prakshat.1|DeepStack # 1478656087.57806
STATE:17:r300c/cr750f:5cKd|JdAd/4h7cTh:-300|300:DeepStack|shrimankar.prakshat.1 # 1478656121.57079
STATE:18:f:5cKc|2c6h:50|-50:shrimankar.prakshat.1|DeepStack # 1478656164.48007
STATE:19:r300f:5s4d|9cQh:-100|100:DeepStack|shrimankar.prakshat.1 # 1478656171.77545
STATE:20:r200f:8h3d|Qc5h:-100|100:shrimankar.prakshat.1|DeepStack # 1478656190.98203
STATE:21:f:Ac8c|8h5c:50|-50:DeepStack|shrimankar.prakshat.1 # 1478656206.86059
STATE:22:r200f:2c8d|Jd2d:-100|100:shrimankar.prakshat.1|DeepStack # 1478656217.2618
STATE:23:f:Qh3h|9d4d:50|-50:DeepStack|shrimankar.prakshat.1 # 1478656228.94904
STATE:24:r200c/cc/cr400c/cc:3dKs|8cTd/8d3sJh/4s/Qh:-400|400:shrimankar.prakshat.1|DeepStack # 1478656241.17268
STATE:25:r300c/cr600c/cc/r1200c:9hTc|Ah3d/Kc7s4d/8s/As:-1200|1200:DeepStack|shrimankar.prakshat.1 # 1478656309.38413
STATE:26:cr300f:TsKc|Qd2c:100|-100:shrimankar.prakshat.1|DeepStack # 1478656369.47551
STATE:27:cc/cc/cc/cc:3dQs|Js7d/6h8s3s/9h/9s:100|-100:DeepStack|shrimankar.prakshat.1 # 1478656391.8368
STATE:28:r200c/cc/cc/cr600f:8dAc|9c4c/2d2s5d/Kh/Th:-200|200:shrimankar.prakshat.1|DeepStack # 1478656439.28507
STATE:29:r300c/cr900c/cc/cc:Qh4h|5s4s/4d2d6c/Ts/8h:900|-900:DeepStack|shrimankar.prakshat.1 # 1478656504.01388
STATE:30:r200f:Jd4c|QhJs:-100|100:shrimankar.prakshat.1|DeepStack # 1478656552.08808
STATE:31:r300r900c/r1800c/cc/r3600c:QcKs|JdKd/4hQd8s/Js/4c:3600|-3600:DeepStack|shrimankar.prakshat.1 # 1478656566.70621
