STATE:20:cc/cc/cc/cr200f:7cQd|Jc7d/3hAhJs/9d/Ks:-100|100:gavin.fintan.1|DeepStack # 1479564980.95498
STATE:21:r200f:3d2c|9dAc:-100|100:DeepStack|gavin.fintan.1 # 1479565021.16423
STATE:22:cc/cr200c/cr400c/r800c:Jc4c|5cQd/KsTcJd/9h/Td:-800|800:gavin.fintan.1|DeepStack # 1479565031.86589
STATE:23:cc/cc/cc/cr200f:6c8h|JsJc/4hQd2c/Ac/Qh:-100|100:DeepStack|gavin.fintan.1 # 1479565076.48774
STATE:24:r300r750c/r1875c/cc/cr9375c:JdJc|4dTd/5d3d2d/Ac/9s:-9375|9375:gavin.fintan.1|DeepStack # 1479565113.97539
STATE:25:cr300f:Th6h|9c3c:100|-100:DeepStack|gavin.fintan.1 # 1479565156.52813
STATE:26:r200r500c/r1250c/r3125c/cc:JsJh|TdQd/Ts2hJc/Tc/Ad:3125|-3125:gavin.fintan.1|DeepStack # 1479565171.68318
STATE:27:r200c/cr500r1000f:ThKs|Ad7d/4c5hKd:500|-500:DeepStack|gavin.fintan.1 # 1479565216.68559
STATE:28:f:6sTh|2c7d:50|-50:gavin.fintan.1|DeepStack # 1479565246.21581
STATE:29:cr300r900c/cc/cr2250c/cc:8s8h|QdAh/Tc4s9c/Js/Qh:2250|-2250:DeepStack|gavin.fintan.1 # 1479565252.5197
STATE:30:cr250c/r625c/r1562c/r3905c:JhKh|Jd8d/JsTd3s/2h/9h:3905|-3905:gavin.fintan.1|DeepStack # 1479565308.43346
STATE:31:r200c/cr500f:8s6c|9s6s/QdKs3d:-200|200:DeepStack|gavin.fintan.1 # 1479565354.25566
STATE:32:f:5s9d|2s3c:50|-50:gavin.fintan.1|DeepStack # 1479565380.49531
STATE:33:r200c/cr500f:6h3d|JhJd/Js8d2s:-200|200:DeepStack|gavin.fintan.1 # 1479565387.16024
STATE:34:r300f:2h6d|5h3s:-100|100:gavin.fintan.1|DeepStack # 1479565413.60648
STATE:35:r200c/cr500f:Kc6s|Td7h/7dTc5d:-200|200:DeepStack|gavin.fintan.1 # 1479565425.8009
STATE:36:r300r900r2700f:3hTh|6s7s:-900|900:gavin.fintan.1|DeepStack # 1479565452.22332
STATE:37:r200r600c/cr1200f:6c7c|3hKd/Qs9dJc:-600|600:DeepStack|gavin.fintan.1 # 1479565481.14675
STATE:38:r300c/cr600r1200c/r3000c/cr6000f:Ah6h|AcJh/Td2hJs/Jd/8c:-3000|3000:gavin.fintan.1|DeepStack # 1479565507.76485
STATE:39:r200c/cc/cr400f:Jd8s|Ad6d/3h5hQs/2d:-200|200:DeepStack|gavin.fintan.1 # 1479565562.98272
STATE:40:cr250c/r625c/r1875f:Qc9s|4d8s/9h7h8h/3s:625|-625:gavin.fintan.1|DeepStack # 1479565600.23015
STATE:41:r200r600c/r1800r4500r20000f:4d5d|8dJh/Qd5sKd:4500|-4500:DeepStack|gavin.fintan.1 # 1479565636.20611
STATE:42:r300r500c/r1000c/r2500f:Qh7h|5c5h/KcAd8h/Js:1000|-1000:gavin.fintan.1|DeepStack # 1479565674.34854
STATE:43:f:3sKs|8c3h:50|-50:DeepStack|gavin.fintan.1 # 1479565708.95111
STATE:44:cc/r200c/r400c/r1200r2400c:5d7s|8dQd/6h9c5h/8c/7d:0|0:gavin.fintan.1|DeepStack # 1479565719.43529
STATE:45:r200c/cr300f:8s5h|3d6c/4s3hTh:-200|200:DeepStack|gavin.fintan.1 # 1479565767.30284
STATE:46:r300c/r750c/r2250c/r6750f:QsJh|KcTc/7cQh2d/Td/Jc:2250|-2250:gavin.fintan.1|DeepStack # 1479565793.55013
STATE:47:f:5c7d|6c3s:50|-50:DeepStack|gavin.fintan.1 # 1479565832.18572
STATE:48:r200c/cr600f:Js8c|8dJh/2hKs5h:-200|200:gavin.fintan.1|DeepStack # 1479565842.67912
