STATE:0:r200c/cc/cc/cr600f:9dQh|4h5s/ThAdTc/8s/7s:-200|200:eshkar.eyal.1|DeepStack # 1479092229.55245
STATE:1:r300c/cr660r1320c/r2640c/r20000f:7dJd|Ah8h/2hTd3d/Ad/8c:2640|-2640:DeepStack|eshkar.eyal.1 # 1479092319.13726
STATE:2:f:Qs2h|3d8h:50|-50:eshkar.eyal.1|DeepStack # 1479092449.32859
STATE:3:f:9d6c|7s3h:50|-50:DeepStack|eshkar.eyal.1 # 1479092455.85322
STATE:4:r200r800c/r1250c/r3250f:AhAd|QdTd/2h2d3c/3s:1250|-1250:eshkar.eyal.1|DeepStack # 1479092464.70719
STATE:5:r300c/cc/cc/r600f:QsJd|Kh6c/8sAd7c/Jc/5c:300|-300:DeepStack|eshkar.eyal.1 # 1479092537.49605
STATE:6:r300c/cr600c/cc/r1000f:As2d|QdKs/9d9h6s/5d/2c:600|-600:eshkar.eyal.1|DeepStack # 1479092599.37666
STATE:0:r300f:5c2s|JhKd:-100|100:eshkar.eyal.1|DeepStack # 1480512154.64113
STATE:1:r300r900c/r1800c/cc/cc:3h3s|JhKs/5dTs5c/Ac/5h:1800|-1800:DeepStack|eshkar.eyal.1 # 1480513180.9887
STATE:0:cc/cr200f:9s3s|6d7s/5dKhQd:-100|100:eshkar.eyal.2|DeepStack # 1480517684.78405
STATE:0:f:3d7c|2d3s:50|-50:eshkar.eyal.3|DeepStack # 1480517734.63559
STATE:1:r300f:4d5h|Jh3d:-100|100:DeepStack|eshkar.eyal.2 # 1480517756.72349
STATE:1:f:Ts5d|4h9s:50|-50:DeepStack|eshkar.eyal.3 # 1480517758.70354
STATE:2:cr400c/r800c/r1860c/r4410f:TdAs|8d6d/Ks5hAd/7s/Qd:1860|-1860:eshkar.eyal.3|DeepStack # 1480517803.85099
STATE:2:r200f:4c8h|JhTh:-100|100:eshkar.eyal.2|DeepStack # 1480517810.5116
STATE:3:r300c/cc/cr600c/cc:4hAc|ThKd/6dTdQc/Ad/8s:600|-600:DeepStack|eshkar.eyal.2 # 1480517875.51556
STATE:3:r300f:9h6d|5dJc:-100|100:DeepStack|eshkar.eyal.3 # 1480517931.16926
STATE:4:cc/cr300f:4cKs|9s7h/9d5s2d:-100|100:eshkar.eyal.3|DeepStack # 1480517948.4729
STATE:4:cc/cr200f:8dQs|5cKc/3cAc4h:-100|100:eshkar.eyal.2|DeepStack # 1480517962.47544
STATE:5:r300c/cr600c/cc/r1800f:7sKh|9sTc/Kc5s8c/2d/Qc:600|-600:DeepStack|eshkar.eyal.2 # 1480517995.06758
