STATE:32:cr400c/r1025r3075f:Kd9s|5s8s/Qs5d8d:-1025|1025:pizzarello.silvio.1|DeepStack # 1479572615.4802
STATE:33:r250c/cr625c/cr1400c/cr3250c:Qd8h|Td6c/3d7h8c/5c/5s:3250|-3250:DeepStack|pizzarello.silvio.1 # 1479572655.53257
STATE:34:r200c/cr400r850f:Qd7h|7c9d/JcJd6d:400|-400:pizzarello.silvio.1|DeepStack # 1479572722.11516
STATE:35:r250c/cr625f:4d7d|6dKs/TsJs5d:-250|250:DeepStack|pizzarello.silvio.1 # 1479572760.27859
STATE:36:r200r750c/r1300c/r2200f:As4h|Qh7h/KhAd2c/Jc:1300|-1300:pizzarello.silvio.1|DeepStack # 1479572790.85006
STATE:37:r250c/cr625f:6c7h|9sAh/AdAs4h:-250|250:DeepStack|pizzarello.silvio.1 # 1479572846.03126
STATE:38:cc/cc/cc/cc:2c6h|4hKs/Qs3cJc/Ts/Jh:-100|100:pizzarello.silvio.1|DeepStack # 1479572875.39508
STATE:39:r250c/cr625c/cr1300c/cc:5h7d|As6c/6sQc8s/Jh/5d:-1300|1300:DeepStack|pizzarello.silvio.1 # 1479572929.52778
STATE:40:cc/cr300f:2hTc|8s4d/Qd5d8c:-100|100:pizzarello.silvio.1|DeepStack # 1479573030.12409
STATE:41:r250c/cr625r1250f:4h6h|2h8s/6sTd4d:625|-625:DeepStack|pizzarello.silvio.1 # 1479573062.70249
STATE:42:f:Ac8c|2s7c:50|-50:pizzarello.silvio.1|DeepStack # 1479573104.5673
STATE:43:r250c/cr525c/cc/cr1300c:6cAd|QdKs/Ah7hAc/Jh/8s:1300|-1300:DeepStack|pizzarello.silvio.1 # 1479573112.86282
STATE:44:cc/r225c/r500c/cr1000r3000f:8c7s|5cQd/5h4sAc/Qh/3d:1000|-1000:pizzarello.silvio.1|DeepStack # 1479573173.46751
