STATE:34:r300f:8sKh|3c3s:-100|100:shaposhnikov.roman.1|DeepStack # 1480707462.75995
STATE:35:f:3hAs|Qs2c:50|-50:DeepStack|shaposhnikov.roman.1 # 1480707483.70398
STATE:36:cc/cc/cr200r500c/cc:5s6h|5c8s/5d7c9s/7d/2s:0|0:shaposhnikov.roman.1|DeepStack # 1480707493.86135
STATE:37:f:Tc4s|3cTd:50|-50:DeepStack|shaposhnikov.roman.1 # 1480707571.28691
STATE:38:r300f:9s6h|JdAh:-100|100:shaposhnikov.roman.1|DeepStack # 1480707593.30651
STATE:39:r250f:4d6c|5d5c:-100|100:DeepStack|shaposhnikov.roman.1 # 1480707614.79864
STATE:40:r300f:8dKc|AcJd:-100|100:shaposhnikov.roman.1|DeepStack # 1480707630.76598
STATE:41:r250c/cc/cc/cc:7cJc|8sAh/Ts6hQh/3d/4c:-250|250:DeepStack|shaposhnikov.roman.1 # 1480707655.97393
STATE:42:cc/cr300f:3d5h|KsJc/7dQhTc:-100|100:shaposhnikov.roman.1|DeepStack # 1480707706.64771
STATE:43:cr300f:TcJh|2cQs:100|-100:DeepStack|shaposhnikov.roman.1 # 1480707734.87067
STATE:44:r300f:2h3s|Td6d:-100|100:shaposhnikov.roman.1|DeepStack # 1480707753.46128
STATE:45:r250c/cr500f:Qc8d|6hQh/Ah5d6d:-250|250:DeepStack|shaposhnikov.roman.1 # 1480707764.81161
STATE:46:r300c/cr600c/cr1800f:6dTd|2s5s/6sJc3s/Kc:-600|600:shaposhnikov.roman.1|DeepStack # 1480707806.2963
STATE:47:r200c/cr400c/cc/cc:6s9d|Ah3h/2d9sKc/7d/Qs:400|-400:DeepStack|shaposhnikov.roman.1 # 1480707855.14936
STATE:48:r200c/cr400c/cc/r800f:TcQh|Ah7s/4s2c4d/Kd/Jc:400|-400:shaposhnikov.roman.1|DeepStack # 1480707907.12841
STATE:49:f:7h7s|Ts3h:50|-50:DeepStack|shaposhnikov.roman.1 # 1480707976.7597
STATE:50:cc/cc/r200c/cc:4h6d|5hTc/Ts4dJc/3s/9h:-200|200:shaposhnikov.roman.1|DeepStack # 1480707994.48266
STATE:51:r200c/cc/r400c/r800c:6hKh|6s7c/As3hAh/6d/2h:800|-800:DeepStack|shaposhnikov.roman.1 # 1480708046.44948
STATE:52:r200c/cr400c/cr1200f:4dQd|2c9c/4hTcAs/5s:-400|400:shaposhnikov.roman.1|DeepStack # 1480708125.67079
STATE:53:r250f:2h5s|5d5h:-100|100:DeepStack|shaposhnikov.roman.1 # 1480708176.17667
STATE:54:r300f:9h7d|JhTd:-100|100:shaposhnikov.roman.1|DeepStack # 1480708194.64016
STATE:55:r250c/cc/cc/r500c:8h7s|7hTc/Qd8s7c/Jh/Qs:500|-500:DeepStack|shaposhnikov.roman.1 # 1480708209.68979
STATE:56:r200c/cr400c/cr1200c/cc:KhJs|Ah9s/QcAcJd/6s/Qh:-1200|1200:shaposhnikov.roman.1|DeepStack # 1480708261.30983
STATE:57:r200r600c/r1200f:8d9c|5hQh/8sJc3h:600|-600:DeepStack|shaposhnikov.roman.1 # 1480708313.47189
STATE:58:cc/cc/r250c/cr750c:2c5c|3d4c/5dAsKs/Qh/Qc:750|-750:shaposhnikov.roman.1|DeepStack # 1480708348.28122
STATE:59:r200c/cc/cc/cr400f:3c5d|Qd3d/7hAcJd/Qs/2c:-200|200:DeepStack|shaposhnikov.roman.1 # 1480708407.05383
STATE:60:r300f:Qc5h|7c9d:-100|100:shaposhnikov.roman.1|DeepStack # 1480708450.89897
STATE:61:cr300c/cr600c/cr1200c/cc:8hAh|2h5s/4d5cJh/8c/Qd:1200|-1200:DeepStack|shaposhnikov.roman.1 # 1480708464.09011
STATE:62:cc/cr200f:7cQh|Ts3c/Jd4h3h:-100|100:shaposhnikov.roman.1|DeepStack # 1480708532.98044
