STATE:84:r300f:3s6c|Ad3d:-100|100:islam.jefri.1|DeepStack # 1479523259.22087
STATE:85:r300f:7d3h|3sTd:-100|100:DeepStack|islam.jefri.1 # 1479523271.00436
STATE:86:cr500r1500c/cc/cr3000c/cc:2hKh|9h8d/JsAh3h/As/4d:3000|-3000:islam.jefri.1|DeepStack # 1479523285.25508
STATE:87:r200c/cr500c/cc/r1000c:Jh8c|Qd3c/Kh2dJc/3d/6d:1000|-1000:DeepStack|islam.jefri.1 # 1479523411.88984
STATE:88:r200c/cc/cr600f:7d3h|Ad4s/AhTh4c/8s:-200|200:islam.jefri.1|DeepStack # 1479523475.71503
STATE:89:r300c/cr655f:Kc5d|7d9d/6hQc3d:-300|300:DeepStack|islam.jefri.1 # 1479523514.19496
STATE:90:r300c/cc/r900c/r5700f:QdTh|KhAc/8c3sQh/Jd/Qc:900|-900:islam.jefri.1|DeepStack # 1479523541.57937
STATE:91:r200c/cc/cr500f:8dKs|5dJh/TdAc3c/5h:-200|200:DeepStack|islam.jefri.1 # 1479523588.2202
STATE:92:f:Jh2h|2s5d:50|-50:islam.jefri.1|DeepStack # 1479523626.60708
STATE:93:r300r900c/r1800c/cr4050f:2c2h|5d9d/4c6dTc/8c:-1800|1800:DeepStack|islam.jefri.1 # 1479523634.38495
STATE:94:r300r1125c/r2250c/cr6750f:4c6c|3d3s/As4dKs/7s:-2250|2250:islam.jefri.1|DeepStack # 1479523688.815
STATE:95:r300f:3hQd|6h7h:-100|100:DeepStack|islam.jefri.1 # 1479523741.23426
STATE:96:r200c/cr400r1700c/r4900f:6h8c|Qs9h/Ts9c7s/4h:1700|-1700:islam.jefri.1|DeepStack # 1479523757.3542
STATE:97:r200c/cr500f:7h9s|8c4h/Js3c2s:-200|200:DeepStack|islam.jefri.1 # 1479523812.43038
STATE:98:r300r1125c/r2812f:6c9d|JhKs/4d5sQd:1125|-1125:islam.jefri.1|DeepStack # 1479523840.82737
STATE:99:r200c/cr500r1500c/cr4300f:9sQh|8c4s/Th8d5c/8h:-1500|1500:DeepStack|islam.jefri.1 # 1479523882.12119
STATE:100:r300r1125r3375r6855c/r9970c/r13085r20000f:9dJc|KcKd/2h5s5h/As:-13085|13085:islam.jefri.1|DeepStack # 1479523932.18786
STATE:101:r200r600c/cr1800c/cr5400c/cc:AcJc|8d4h/7s4c6c/Jd/6h:5400|-5400:DeepStack|islam.jefri.1 # 1479524053.966
STATE:102:r300r1125f:QdAh|As7d:300|-300:islam.jefri.1|DeepStack # 1479524114.06539
STATE:103:r300c/r900c/r2700f:Ad6d|Kh5s/5dAhJs/6s:900|-900:DeepStack|islam.jefri.1 # 1479524136.27539
STATE:104:r300c/cc/cc/r900f:4c8c|Kd5s/4h8hAh/3s/5d:300|-300:islam.jefri.1|DeepStack # 1479524172.75881
STATE:105:r300c/cr750c/cr1850f:Kh7s|9c8d/7d9h3d/Js:-750|750:DeepStack|islam.jefri.1 # 1479524219.65319
STATE:106:r300f:Td5s|AdJd:-100|100:islam.jefri.1|DeepStack # 1479524265.29767
STATE:107:r300r900c/cr2700f:8sQs|3d6d/7h3h4c:-900|900:DeepStack|islam.jefri.1 # 1479524277.85258
STATE:108:cc/cc/r300c/r1500f:8d2h|8cAs/4s3h5s/3s/6h:300|-300:islam.jefri.1|DeepStack # 1479524320.35911
STATE:109:r200c/cc/cr500r1000f:TsJh|8d2d/6hKsJc/Jd:500|-500:DeepStack|islam.jefri.1 # 1479524369.17118
STATE:110:cr500f:QsAc|4d9c:100|-100:islam.jefri.1|DeepStack # 1479524421.68646
