STATE:17:r200c/cc/cc/cr600f:6dTs|4d7c/Jc9c8s/Tc/Ad:-200|200:DeepStack|b\ös.alexander.1 # 1480724784.29931
STATE:18:r300c/cc/r700f:Th7c|2hKs/Jd9dAc/Js:300|-300:b\ös.alexander.1|DeepStack # 1480724865.58723
STATE:19:r300c/cr700f:Kc9s|2hAh/4c7s7h:-300|300:DeepStack|b\ös.alexander.1 # 1480724903.83055
STATE:20:r300c/cc/cc/cc:9d6c|8dTd/AsKd8h/Ks/7d:-300|300:b\ös.alexander.1|DeepStack # 1480724935.07163
STATE:21:r300c/cr700f:5h9h|4c2c/8d2s8s:-300|300:DeepStack|b\ös.alexander.1 # 1480724993.36169
STATE:22:r300r1100c/cc/cc/cr3300c:Tc8c|9d7d/Td9cJh/2s/8d:-3300|3300:b\ös.alexander.1|DeepStack # 1480725023.25099
STATE:23:r300c/cr700f:Js5s|7dAs/2c2dAc:-300|300:DeepStack|b\ös.alexander.1 # 1480725086.23926
STATE:24:f:Kh3c|2c8d:50|-50:b\ös.alexander.1|DeepStack # 1480725128.42394
STATE:25:r300f:2d9d|6s6d:-100|100:DeepStack|b\ös.alexander.1 # 1480725135.66509
STATE:26:f:Jh4d|2s4h:50|-50:b\ös.alexander.1|DeepStack # 1480725152.85535
STATE:27:r300c/cr700c/cr1800c/cr4900f:6sAc|8c8d/4c8hAh/3d/5d:-1800|1800:DeepStack|b\ös.alexander.1 # 1480725160.83934
STATE:28:cc/cc/r300f:7c2d|2cJs/3s9h7d/5h:100|-100:b\ös.alexander.1|DeepStack # 1480725243.26407
STATE:29:r300c/cr700c/cr3200c/cc:9c6c|4s7d/5hKs9s/6s/Kh:3200|-3200:DeepStack|b\ös.alexander.1 # 1480725283.51041
STATE:30:f:4hJh|6h2d:50|-50:b\ös.alexander.1|DeepStack # 1480725375.3156
STATE:31:r300f:9h5d|7sJd:-100|100:DeepStack|b\ös.alexander.1 # 1480725384.07425
STATE:32:r200r900c/r2000f:TcKd|Kh6h/3cJc9s:900|-900:b\ös.alexander.1|DeepStack # 1480725399.59265
STATE:33:r300r900r2400c/cr4200r8400f:6d6s|Ad3c/6cTc9h:4200|-4200:DeepStack|b\ös.alexander.1 # 1480725445.12952
STATE:34:cr400f:QdKd|Ts2c:100|-100:b\ös.alexander.1|DeepStack # 1480725509.39322
STATE:35:r200c/cr500c/cr1300c/cr2800c:Kc5h|2sQc/5dQh3s/6c/Jd:-2800|2800:DeepStack|b\ös.alexander.1 # 1480725529.51634
STATE:36:r200c/cc/r600f:5s9s|8cKd/Ah5h5d/Td:200|-200:b\ös.alexander.1|DeepStack # 1480725596.86342
STATE:37:r300c/cr800f:KdTs|5d9d/9s4s5h:-300|300:DeepStack|b\ös.alexander.1 # 1480725644.36908
STATE:38:cr500c/cc/r1200f:TsKd|5s8s/Jd3dTd/4c:500|-500:b\ös.alexander.1|DeepStack # 1480725680.68338
STATE:39:r200c/cr400c/cr1000f:7sKc|Qh3s/6h9h9c/Th:-400|400:DeepStack|b\ös.alexander.1 # 1480725725.44468
STATE:40:cr400f:Td8s|9c4d:100|-100:b\ös.alexander.1|DeepStack # 1480725776.7308
STATE:41:r300c/cc/cr700r2100f:4d3d|Ad4h/5d9cKd/3s:700|-700:DeepStack|b\ös.alexander.1 # 1480725798.59283
STATE:42:r200r900r2700c/cc/cc/cc:7s8s|QdAs/6hKd7c/Th/4h:2700|-2700:b\ös.alexander.1|DeepStack # 1480725869.39173
STATE:43:r300c/cr700f:5d4d|7c5h/2h8sQc:-300|300:DeepStack|b\ös.alexander.1 # 1480725934.90953
