In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
106:Player,BR:0cc/cr124f:6d8c,4cAh|/3sQhQc:-100,100(-100.000000)
107:BR,Player:0r130c/r1001c/cr3599f:2cQh,8sTd|/5c7s9s/Js:-1231,1231(-1231.000000)
108:Player,BR:0cc/cr435f:2d3s,4d6s|/3c9dAh:-100,100(-100.000000)
109:BR,Player:0cc/r100c/cc/cc:QcAd,5sTh|/2c3s7s/As/5d:200,-200(200.000000)
110:Player,BR:0cr300c/cr7045f:JsKc,3d7c|/2h2d8h:-400,400(-400.000000)
111:BR,Player:0cc/r142c/cc/cr658f:3sQc,4c6d|/5sThAs/Ts/2c:-242,242(-242.000000)
112:Player,BR:0cr200c/r390r3004f:2h4h,7dKd|/7hThQs:-690,690(-690.000000)
113:BR,Player:0r130c/r2014f:9sJh,3cKs|/6hQcAc:230,-230(230.000000)
114:Player,BR:0cc/cr3080f:3d4s,3c5h|/2c9cQh:-100,100(-100.000000)
115:BR,Player:0f:3h6s,2dJh|:50,-50(50.000000)
116:Player,BR:0cr300c/r520r4005f:9sTh,3sJc|/3h7d7c:-920,920(-920.000000)
117:BR,Player:0r130c/r285f:7hJd,9hKc|/6d7dQc:230,-230(230.000000)
118:Player,BR:0cr600c/cr3047f:KdAc,2s7d|/2c5hJd:-700,700(-700.000000)
119:BR,Player:0r130c/r19770f:AsAh,7sJd|/2h7hQc:230,-230(230.000000)
120:Player,BR:0cc/cr1761f:4hJh,2h5d|/2c4s8h:-100,100(-100.000000)
121:BR,Player:0r130c/r1001f:2s4c,4s5h|/6s9cAd:230,-230(230.000000)
122:Player,BR:0cr600c/cr3047f:4s7s,5h8c|/7h8dTd:-700,700(-700.000000)
123:BR,Player:0f:2cKc,2sTd|:50,-50(50.000000)
124:Player,BR:0cr300c/cr283c/cc/cc:QsKd,KcAs|/4h6d9s/4d/6h:-683,683(-44.257945)
125:BR,Player:0r130c/r1001f:5hTs,7dKh|/3dJsQc:230,-230(230.000000)
126:Player,BR:0cc/cr435f:2c4s,6d7s|/6c9sJd:-100,100(-100.000000)
127:BR,Player:0f:9cAs,2s6d|:50,-50(50.000000)
128:Player,BR:0cc/cr379f:4sQs,5cAd|/2c5dJs:-100,100(-100.000000)
129:BR,Player:0r130c/r2014c/cc/cr2241c:4d5s,3h4h|/2s5hKh/Jd/5d:4485,-4485(4377.498068)
130:Player,BR:0cc/cr379c/cc/cc:3h4c,4d9s|/3s3d9d/Tc/Jh:479,-479(39.380213)
131:BR,Player:0cc/r435c/cr1075f:2h2d,JhKc|/8cTcKd/9c:-535,535(-535.000000)
132:Player,BR:0cc/cr876f:3d4c,2d5c|/4s9cKc:-100,100(-100.000000)
133:BR,Player:0cc/r2679c/cc/cc:6dKh,6sKc|/TcKsAc/2h/5d:0,-0(1657.985325)
134:Player,BR:0cc/cr435f:4s5d,3d7d|/8sJdAh:-100,100(-100.000000)
135:BR,Player:0r200c/r1306c/cc/cr1544c:3dKs,JsAd|/4d6s9s/Ah/Kh:-3150,3150(-499.404417)
136:Player,BR:0cc/cr124c/cc/cc:3dAh,5s8c|/4h8hJd/Tc/6d:-224,224(-105.081405)
137:BR,Player:0r200c/r2627f:4cJc,2s5s|/4h6sKc:300,-300(300.000000)
138:Player,BR:0cr600c/r910r910c/r1344f:2dKd,TcAd|/6sQcKh/2h:2520,-2520(2520.000000)
139:BR,Player:0r130c/r871c/cr1015c/cc:TsKs,ThJd|/8sQcKc/4c/5h:2116,-2116(1283.334524)
140:Player,BR:0cr130c/r299r753f:4h5d,2d3d|/2h9sQs:-529,529(-529.000000)
141:BR,Player:0f:7hQs,3d9s|:50,-50(50.000000)
