In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
106:Player,BR:0cc/cc/cc/cr19900f:6d8c,4cAh|/3sQhQc/Kc/Jd:-100,100(-100.000000)
107:BR,Player:0r200c/cr600c/cr1170f:2cQh,8sTd|/5c7s9s/Js:-900,900(-900.000000)
108:Player,BR:0cc/cc/cr200c/cr19700f:2d3s,4d6s|/3c9dAh/4c/8h:-300,300(-300.000000)
109:BR,Player:0r300c/cr520c/r1840f:QcAd,5sTh|/2c3s7s/As:920,-920(920.000000)
110:Player,BR:0cr600c/cc/cc/cc:JsKc,3d7c|/2h2d8h/9s/Ad:700,-700(700.000000)
111:BR,Player:0r130c/cc/cr115c/r690f:3sQc,4c6d|/5sThAs/Ts/2c:345,-345(345.000000)
112:Player,BR:0cr200c/r390c/r897c/r793f:2h4h,7dKd|/7hThQs/9s/Kh:1587,-1587(1587.000000)
113:BR,Player:0r130c/cc/cc/r460c:9sJh,3cKs|/6hQcAc/Th/Kc:690,-690(690.000000)
114:Player,BR:0cr200c/r390c/cr1380f:3d4s,3c5h|/2c9cQh/3s:-690,690(-690.000000)
115:BR,Player:0r130c/cc/cr115c/cr448r1586f:3h6s,2dJh|/3d9cKc/4d/5d:793,-793(793.000000)
116:Player,BR:0cc/r130c/r299r1058f:9sTh,3sJc|/3h7d7c/2h:-529,529(-529.000000)
117:BR,Player:0r200c/cc/r19700f:7hJd,9hKc|/6d7dQc/Jc:300,-300(300.000000)
118:Player,BR:0cr300c/cc/cc/r200f:KdAc,2s7d|/2c5hJd/Kh/Qh:400,-400(400.000000)
119:BR,Player:0r200c/cc/r600c/r1800f:AsAh,7sJd|/2h7hQc/4d/2s:900,-900(900.000000)
120:Player,BR:0cr200c/cc/r150c/cr900f:4hJh,2h5d|/2c4s8h/Ac/2s:-450,450(-450.000000)
121:BR,Player:0cc/cc/r19900f:2s4c,4s5h|/6s9cAd/2c:100,-100(100.000000)
122:Player,BR:0cr200c/cc/cc/cc:4s7s,5h8c|/7h8dTd/6d/Kc:-300,300(-57.700820)
123:BR,Player:0f:2cKc,2sTd|:50,-50(50.000000)
124:Player,BR:0cr300c/cc/cc/cr800r3600r9600f:QsKd,KcAs|/4h6d9s/4d/6h:-4800,4800(-4800.000000)
125:BR,Player:0r130c/cr299c/cr1058f:5hTs,7dKh|/3dJsQc/Qd:-529,529(-529.000000)
126:Player,BR:0cc/cc/cc/cc:2c4s,6d7s|/6c9sJd/Th/5s:-100,100(-41.983832)
127:BR,Player:0f:9cAs,2s6d|:50,-50(50.000000)
128:Player,BR:0cc/cc/cr19900f:4sQs,5cAd|/2c5dJs/5h:-100,100(-100.000000)
129:BR,Player:0r130c/cr299c/cr1058f:4d5s,3h4h|/2s5hKh/Jd:-529,529(-529.000000)
130:Player,BR:0cc/cc/cc/r300r19600f:3h4c,4d9s|/3s3d9d/Tc/Jh:-400,400(-400.000000)
131:BR,Player:0r130c/cr299c/cr687f:2h2d,JhKc|/8cTcKd/9c:-529,529(-529.000000)
