In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
1:BR,Player:0f:QsKc,2d4h|:50,-50(50.000000)
82:Player,BR:0cc/cr435f:2d3s,2h3c|/4s9sKh:-100,100(-100.000000)
83:BR,Player:0r130c/r1001c/cc/cr2472f:5cTd,JhJc|/4s4dAs/9s/3s:-1231,1231(-1231.000000)
84:Player,BR:0cr300c/cr1741f:TdKd,9cJh|/3h8h8c:-400,400(-400.000000)
85:BR,Player:0cc/r435c/cc/cr1075c:5d6d,7dTh|/5s7hKh/2h/7c:-1610,1610(209.764353)
86:Player,BR:0cc/cr100f:5c9h,2hQh|/KsKdAd:-100,100(-100.000000)
87:BR,Player:0f:9dQh,4c9s|:50,-50(50.000000)
88:Player,BR:0cc/cr876f:3d7d,7sQd|/2d8s9d:-100,100(-100.000000)
89:BR,Player:0f:TsAd,2c7h|:50,-50(50.000000)
90:Player,BR:0cc/r300r3503f:3s7d,7cTh|/2h3d5s:-400,400(-400.000000)
91:BR,Player:0r130c/r2014f:4sJd,4d7s|/5c8sQc:230,-230(230.000000)
92:Player,BR:0cc/cr379f:2h4s,QcAc|/9cTsQd:-100,100(-100.000000)
93:BR,Player:0r130c/r871f:9cJc,7dQs|/5s6dJh:230,-230(230.000000)
94:Player,BR:0cc/cr124c/cc/r236c:6h9c,2c8d|/3d8hTs/4s/Qs:-460,460(195.307391)
95:BR,Player:0r130c/r1001c/cc/cr5209c:2d4c,7hJh|/3h8hKs/4s/Ad:6440,-6440(3854.146776)
96:Player,BR:0cc/cr124c/cc/r376f:4d9d,2sJs|/6dJhAh/Kh/8c:224,-224(224.000000)
97:BR,Player:0r200c/r1306f:7sJd,3sJs|/4s6hTh:300,-300(300.000000)
98:Player,BR:0cc/cr876f:3dKd,8sTc|/5c6dAc:-100,100(-100.000000)
99:BR,Player:0r200c/r140c/cc/cr595c:QhKh,4h6h|/3s9hAd/5s/Jc:1035,-1035(-387.147665)
100:Player,BR:0cc/cr876f:3cAs,7dAd|/5s6cKh:-100,100(-100.000000)
101:BR,Player:0r130c/r19770f:2hQc,5cKd|/2s2c6d:230,-230(230.000000)
102:Player,BR:0cc/cr435f:5dKc,6c8h|/4d9dJh:-100,100(-100.000000)
103:BR,Player:0cc/r379c/cr121c/cr1800c:4cAs,3dQs|/2d9dAc/3c/3s:-2400,2400(106.774279)
104:Player,BR:0cc/cr3080f:2c8s,9sAd|/4s7hKd:-100,100(-100.000000)
105:BR,Player:0f:ThQd,3s8c|:50,-50(50.000000)
106:Player,BR:0cc/cr876f:2c6h,7cTc|/4h8hJh:-100,100(-100.000000)
107:BR,Player:0r130c/r1001c/cc/cc:5h9d,ThAc|/8sTcKc/4h/2d:-1231,1231(-1231.000000)
108:Player,BR:0cr200c/cr1306f:2sTs,JdAd|/4s6h7c:-300,300(-300.000000)
109:BR,Player:0r130c/r2014f:3c4s,6s7h|/4d6dAh:230,-230(230.000000)
110:Player,BR:0cc/cr876f:5cQh,6s9h|/7s8sQc:-100,100(-100.000000)
111:BR,Player:0cc/r3080f:2s4c,2dKc|/9dQsAc:100,-100(100.000000)
112:Player,BR:0cc/r300r1514f:9sQd,4s4c|/4h5s6c:-400,400(-400.000000)
113:BR,Player:0r200c/r1136f:9cQd,4sTc|/2h5d9h:300,-300(300.000000)
114:Player,BR:0cc/cr876f:4d9c,5s9s|/4c8cQh:-100,100(-100.000000)
115:BR,Player:0r130c/r2014f:QhKh,4h7d|/6cTdJd:230,-230(230.000000)
116:Player,BR:0cr300c/cr3503f:6cTd,3h5c|/4s9sKc:-400,400(-400.000000)
117:BR,Player:0r130c/r285f:JcAh,3s5d|/2cJhQc:230,-230(230.000000)
118:Player,BR:0cc/cr124f:4sJd,6s6c|/5sQdAs:-100,100(-100.000000)
119:BR,Player:0r200c/r1306c/cc/cr4694f:3dKc,9dTc|/JcQsAs/6s/4s:-1606,1606(-1606.000000)
120:Player,BR:0cc/cr379c/cc/cc:5sTc,8hAh|/4h5c8c/9c/Js:-479,479(-341.346431)
121:BR,Player:0r200c/r371f:9dTh,4c5c|/6d9hAs:300,-300(300.000000)
122:Player,BR:0cc/cr1761f:5d9c,7sJc|/2d8hAd:-100,100(-100.000000)
123:BR,Player:0r200c/r1306f:3hTc,6cKc|/7cJdQd:300,-300(300.000000)
124:Player,BR:0cc/cr876r2014f:3cKc,3s5h|/8d9cQc:976,-976(976.000000)
125:BR,Player:0f:2c4s,2d8c|:50,-50(50.000000)
126:Player,BR:0cr200c/r390r390f:2dTc,5s5d|/6hJdAs:-690,690(-690.000000)
127:BR,Player:0r130c/r2014f:9dJc,6cTh|/4d8hAd:230,-230(230.000000)
128:Player,BR:0cr300c/cr16295f:3h3c,4h4d|/4c7hAc:-400,400(-400.000000)
129:BR,Player:0f:3c5c,2h8d|:50,-50(50.000000)
130:Player,BR:0cc/cr379f:2d6c,9hJs|/4c7h9s:-100,100(-100.000000)
131:BR,Player:0r130c/r1001f:2dKs,8h8c|/4s6sQs:230,-230(230.000000)
132:Player,BR:0cc/cr1761f:2sTc,4s9s|/4h7dAc:-100,100(-100.000000)
133:BR,Player:0r130c/r327r1030f:7h8h,6cKc|/6h6dAs:-557,557(-557.000000)
134:Player,BR:0cr300c/cr3503f:4s4c,5sQh|/3h7cKs:-400,400(-400.000000)
135:BR,Player:0r200c/r2627f:2hTh,2d3d|/5s8dAs:300,-300(300.000000)
136:Player,BR:0cc/cr1761f:4sKc,3h6h|/3sTsKd:-100,100(-100.000000)
137:BR,Player:0r130c/r1001f:7h8d,5hKd|/2d6sJh:230,-230(230.000000)
138:Player,BR:0cc/cr3080f:4hQd,9sTs|/2hQhKd:-100,100(-100.000000)
139:BR,Player:0r200c/r1306f:3cTh,3dJh|/5c9cAs:300,-300(300.000000)
140:Player,BR:0cc/cr379c/cc/r121c:4s6c,4dKh|/6s9sKs/3s/8s:600,-600(297.940751)
141:BR,Player:0r130c/r2014f:6c9d,9cAc|/2s5c8s:230,-230(230.000000)
142:Player,BR:0cc/cr876f:8dKh,2hTs|/4d7h9h:-100,100(-100.000000)
143:BR,Player:0r130c/r2014r17756f:2s4h,JdQs|/6sQhQc:-2244,2244(-2244.000000)
144:Player,BR:0cr200c/cr2627c/r1753f:2hJs,8hAc|/3s5sJd/Qs:2927,-2927(2927.000000)
145:BR,Player:0r200c/r1136c/cc/cr1324c:TsQc,7cTc|/9dJcQh/7d/Kc:0,-0(-5.478174)
146:Player,BR:0cr200c/cr427f:3s3d,4hKc|/9dQcAs:-300,300(-300.000000)
147:BR,Player:0r130c/r1001f:JcQs,JhKc|/2h8dTc:230,-230(230.000000)
148:Player,BR:0cr130c/r299r2303f:9hKs,2dKh|/9dTcAd:-529,529(-529.000000)
149:BR,Player:0r200c/r2627f:8hQh,5hQc|/2h4dTh:300,-300(300.000000)
150:Player,BR:0cc/cr876f:6sJh,4c7h|/6h9cTc:-100,100(-100.000000)
151:BR,Player:0r130c/r871c/cc/cc:6hKc,2hJs|/5cJdKd/5s/Ad:1101,-1101(500.268959)
152:Player,BR:0cc/cr1761f:3s4d,8h9d|/7hQsKd:-100,100(-100.000000)
153:BR,Player:0r130c/r2014f:4c6c,2hAc|/5dTdAd:230,-230(230.000000)
154:Player,BR:0cc/cr876f:2sAc,7c9s|/5dJhQh:-100,100(-100.000000)
155:BR,Player:0r130c/r2014f:8hAc,8dTh|/3c4c9h:230,-230(230.000000)
156:Player,BR:0cc/cr435c/r515f:4d9d,7cTd|/2d3h3d/3c:535,-535(535.000000)
157:BR,Player:0r130c/r1001c/cr2472f:QcAh,2h9h|/6c9dKs/2d:-1231,1231(-1231.000000)
158:Player,BR:0cc/cr435f:6s9h,3h6c|/8d9dJd:-100,100(-100.000000)
159:BR,Player:0r130c/r4051c/cc/cc:4cJs,3d4d|/2h6d9s/9d/Jc:4281,-4281(4281.000000)
160:Player,BR:0cc/cr3080f:7dTh,5hJd|/4s7hKc:-100,100(-100.000000)
161:BR,Player:0cc/r3080f:2cQh,3s4c|/5c8hKc:100,-100(100.000000)
162:Player,BR:0cc/cr249f:3d9s,TdAh|/5d6dJd:-100,100(-100.000000)
163:BR,Player:0r130c/cc/cc/cc:6c9d,9sKd|/TcJsAs/8c/5d:-230,230(-230.000000)
164:Player,BR:0cr300c/cr6126f:7h8d,JsJh|/ThJcQc:-400,400(-400.000000)
165:BR,Player:0cc/r142f:5d6c,8cJd|/3cTsKs:100,-100(100.000000)
166:Player,BR:0cc/cr1761f:7sKh,2d6h|/4c5hJh:-100,100(-100.000000)
167:BR,Player:0r200c/r2627f:6s7d,7cJh|/8cThQh:300,-300(300.000000)
168:Player,BR:0cc/cr876f:2c8c,5s8d|/3d5c9d:-100,100(-100.000000)
169:BR,Player:0r130c/r285c/cc/cc:6cKh,JsQh|/5sKdAc/3d/5h:515,-515(376.411491)
170:Player,BR:0cr300c/cr3503f:KhAh,9cTs|/3h4c6d:-400,400(-400.000000)
171:BR,Player:0r200c/r1306f:8hQs,6c7s|/3s3dAs:300,-300(300.000000)
172:Player,BR:0cc/cr1532c/cc/cc:3s7h,6d8h|/4s5d6c/8d/Qc:1632,-1632(455.242776)
173:BR,Player:0r130c/r1001f:4hAc,TcQh|/7d8hTh:230,-230(230.000000)
174:Player,BR:0cr130c/cr2014f:8hAs,3dQh|/7dJhKh:-230,230(-230.000000)
175:BR,Player:0r130c/r163c/cr297c/cc:2c4d,5sAs|/2s5dQh/9s/8c:-690,690(-688.850707)
176:Player,BR:0cr600c/cr996f:4h5s,7cTh|/5cKsKd:-700,700(-700.000000)
177:BR,Player:0f:6cKc,2h6d|:50,-50(50.000000)
178:Player,BR:0cc/cr876f:5dKh,8sTc|/2c7dKc:-100,100(-100.000000)
179:BR,Player:0cc/r435f:2dAd,6cAc|/TdJsQs:100,-100(100.000000)
180:Player,BR:0cc/cr435f:3cAs,8cKc|/4c5dQd:-100,100(-100.000000)
181:BR,Player:0r130c/r3522f:QsAd,5cKd|/4dKhAh:230,-230(230.000000)
182:Player,BR:0cr600c/r910r2291r7208f:2s2c,6dJh|/2d4sTd:3901,-3901(3901.000000)
183:BR,Player:0r130c/r1001f:4h7h,5sKc|/TcKsAh:230,-230(230.000000)
184:Player,BR:0cc/cr435f:4s8d,3dQd|/4dTsJh:-100,100(-100.000000)
185:BR,Player:0r200c/cr390r3004f:JdQh,4dJs|/2h4cKd:690,-690(690.000000)
186:Player,BR:0cr300c/cr3503f:4s8s,5c9h|/6d8h9s:-400,400(-400.000000)
187:BR,Player:0r200c/r371c/cc/cr709c:6h7d,6sTh|/2d7s9s/Ts/2c:-1380,1380(-291.415242)
188:Player,BR:0cc/cr876f:3sAc,2c4s|/4h6hJh:-100,100(-100.000000)
189:BR,Player:0r130c/r327f:5dAd,4h6d|/4cKcAc:230,-230(230.000000)
190:Player,BR:0cr600c/cr3047f:KhKd,3h7c|/5c9dAh:-700,700(-700.000000)
191:BR,Player:0r130c/r1001f:3c9s,KdAs|/6sTcQh:230,-230(230.000000)
192:Player,BR:0cr130c/cr2014f:8c9c,3h7c|/5sJcKs:-230,230(-230.000000)
193:BR,Player:0cc/r876f:JdQd,4h7s|/2h7dAs:100,-100(100.000000)
194:Player,BR:0cc/cr435f:2c4h,6hQd|/4s9sKd:-100,100(-100.000000)
195:BR,Player:0f:2dJd,2s8c|:50,-50(50.000000)
196:Player,BR:0cr300c/cr569f:8hKh,JsAs|/4s5d5c:-400,400(-400.000000)
197:BR,Player:0r130c/r2014f:6h8s,4sKh|/QsQdAh:230,-230(230.000000)
198:Player,BR:0cr300c/cr3503f:8sTh,4d7h|/7d9hQh:-400,400(-400.000000)
199:BR,Player:0f:6c9c,2s9d|:50,-50(50.000000)
200:Player,BR:0cr300c/r520r1991f:3d5s,5hTh|/5d9hTc:-920,920(-920.000000)
201:BR,Player:0r130c/r2014f:2cKh,4hJd|/3dJsAh:230,-230(230.000000)
202:Player,BR:0cc/cr124c/cc/r376c:6dTs,3h6h|/2d6c7h/5s/Tc:600,-600(-62.300765)
203:BR,Player:0r200c/r14055f:6s9d,3h3c|/6h6cJc:300,-300(300.000000)
204:Player,BR:0cc/cr1532f:3dQs,TsQd|/9sThKh:-100,100(-100.000000)
205:BR,Player:0cc/cr130r2014f:ThKd,3h6d|/2h3cQs:230,-230(230.000000)
206:Player,BR:0cc/cr3080f:2s9s,2h6h|/8cJcAd:-100,100(-100.000000)
207:BR,Player:0r130c/r19770f:4h5d,3hAh|/3c6d7c:230,-230(230.000000)
208:Player,BR:0cc/cr876f:2d9d,4dQc|/5s8s9h:-100,100(-100.000000)
209:BR,Player:0r130c/r285c/cc/cr543f:7s9s,8cTh|/6s7cKh/8d/8h:-515,515(-515.000000)
210:Player,BR:0cr200c/cr1306f:3c6s,3hTc|/5hKhKc:-300,300(-300.000000)
211:BR,Player:0r200c/r371c/cc/cc:5sJc,9sAd|/3sJdAc/Th/Ks:-671,671(-326.245776)
212:Player,BR:0cc/cr435f:2h3d,5c8d|/7s7dQc:-100,100(-100.000000)
213:BR,Player:0r200c/r2627f:7cQd,8hAc|/2h4h9d:300,-300(300.000000)
214:Player,BR:0cr600c/r910r2291f:2c4d,7cAc|/5d5cTc:-1610,1610(-1610.000000)
215:BR,Player:0r130c/r1001f:5hAh,6dQh|/9dTdKh:230,-230(230.000000)
216:Player,BR:0cc/cr1761f:4sTh,5h7c|/7sJsKs:-100,100(-100.000000)
217:BR,Player:0r130c/r2014f:TsJc,JdKh|/3c7h9d:230,-230(230.000000)
218:Player,BR:0cc/cr379f:3sTd,2s7c|/7s7h8s:-100,100(-100.000000)
219:BR,Player:0r130c/r163f:2cQh,4hJc|/2d7s9h:230,-230(230.000000)
220:Player,BR:0cr130c/r299r2303f:4s5c,3hKs|/2c6sAc:-529,529(-529.000000)
221:BR,Player:0r130c/r2014f:4s6d,6hTh|/3d7hTd:230,-230(230.000000)
222:Player,BR:0cc/cr1761f:ThQd,8sTd|/TcJcKd:-100,100(-100.000000)
223:BR,Player:0r130c/r573c/cr1957f:3hAd,ThQd|/8cJsQc/4h:-803,803(-803.000000)
224:Player,BR:0cc/cr876f:5c7d,2h4d|/9sKdAh:-100,100(-100.000000)
225:BR,Player:0r200c/r1306f:9hJc,3s7s|/5dQhQd:300,-300(300.000000)
226:Player,BR:0cc/cr216f:TdJh,5h6c|/2c5cQh:-100,100(-100.000000)
227:BR,Player:0r130c/r2014f:QhAs,9cJd|/5dTsJh:230,-230(230.000000)
228:Player,BR:0cr200c/cr1136c/r100c/r192c:4d7c,5sAs|/2d3hAc/Ah/2c:-1728,1728(-1544.800585)
229:BR,Player:0r200c/r2284f:5s9c,8cAd|/5h9dKd:300,-300(300.000000)
230:Player,BR:0cc/cr761r761r3511c/cc/r5976c:3s7h,2h5s|/2c5d6s/5h/Qd:-11109,11109(-11109.000000)
231:BR,Player:0r130c/r285c/cc/cc:JsJc,7c8h|/3c8dAc/9c/Qh:515,-515(370.752479)
232:Player,BR:0cc/cr435f:5sQc,6s6h|/2c9dAc:-100,100(-100.000000)
233:BR,Player:0r130c/r285r1325r1325f:2h6h,2dKs|/6cQsQd:1840,-1840(1840.000000)
234:Player,BR:0cr300c/r520r2290f:5sAs,5cAc|/7cKdAh:-920,920(-920.000000)
235:BR,Player:0r130c/r1751c/cc/cc:JsJd,5cAs|/5s9cTd/2c/4d:1981,-1981(1873.312237)
236:Player,BR:0cr200c/cr4595f:7sTs,3h4h|/4d4cAh:-300,300(-300.000000)
237:BR,Player:0r300c/r1741f:8hJc,QdAh|/2s9cKs:400,-400(400.000000)
238:Player,BR:0cc/cr216f:3d5h,8d8c|/4c7cJh:-100,100(-100.000000)
239:BR,Player:0r130c/r2014f:TdQs,2s2h|/3d5d8c:230,-230(230.000000)
240:Player,BR:0cr200c/r390r3004f:2hAh,2cJh|/5s7hJd:-690,690(-690.000000)
241:BR,Player:0r130c/r2014c/cc/cr4633f:JcKs,8sJs|/6d9sTh/3c/7h:-2244,2244(-2244.000000)
242:Player,BR:0cc/cr2679f:6hKd,5cAs|/QsKcAd:-100,100(-100.000000)
243:BR,Player:0r200c/r2627f:3hKc,7hAh|/6h7d9d:300,-300(300.000000)
244:Player,BR:0cc/cr876f:2c8c,5sJs|/KdAhAd:-100,100(-100.000000)
245:BR,Player:0r200c/r2627f:2hQh,4s5s|/2s7d9s:300,-300(300.000000)
246:Player,BR:0cc/cr876f:3d5s,2cKc|/2h5c7h:-100,100(-100.000000)
247:BR,Player:0r130c/r2014f:7dAs,6c9h|/2h5c8c:230,-230(230.000000)
