In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 13.
1:BR,Player:0f:7sTs,2cTd|:50,-50(50.000000)
144:Player,BR:0cr600c/cc/cr1400f:JdAd,4hTs|/3s9cKh/8c:-700,700(-700.000000)
145:BR,Player:0r200c/cc/cr600r1800c/cc:3cQd,8cJs|/3s7hKh/Jd/Kc:-2700,2700(-2073.175394)
146:Player,BR:0cr200c/cc/r390r1380c/r414r4968f:5sAh,JcAd|/3h8sAs/2d/9c:-2484,2484(-2484.000000)
147:BR,Player:0r130c/cc/cc/cr299f:7c8d,JhKd|/9hJcQh/5d/Ad:-230,230(-230.000000)
148:Player,BR:0cr300c/cc/r800f:9dKh,4sAh|/7s8hTc/Jh:400,-400(400.000000)
149:BR,Player:0cc/cc/r200r600f:TsKh,6hJh|/2cJcKd/6d:-300,300(-300.000000)
150:Player,BR:0cc/cc/cc/cc:7hJs,8dQc|/2h6cTh/As/7d:100,-100(40.161585)
151:BR,Player:0r130c/cr299c/r1058r3174r15239c/cc:9dTc,4h8s|/4s8dJc/3c/2d:-20000,20000(-20000.000000)
152:Player,BR:0cc/cc/r130f:6c8s,2s9h|/3h5h6d/Qs:100,-100(100.000000)
153:BR,Player:0cc/cc/r200f:2cTs,3d5h|/5d9hQs/Tc:100,-100(100.000000)
154:Player,BR:0cc/cc/cr200f:3dKs,TcKd|/4s4c9c/Th:-100,100(-100.000000)
155:BR,Player:0cc/cc/r200f:5hJd,9cTh|/3cKsAs/7c:100,-100(100.000000)
156:Player,BR:0cc/cc/cr19900f:8c9s,2sQs|/TsKdAh/Ac:-100,100(-100.000000)
157:BR,Player:0r200c/cr390c/r1380r2691r15239f:9sQs,9d9c|/3c6d9h/2s:4761,-4761(4761.000000)
158:Player,BR:0cr200c/cc/r150c/cr900f:5d9d,2c6s|/2h5hTd/8h/Qc:-450,450(-450.000000)
159:BR,Player:0r130c/cc/cr460f:7dKs,2sQs|/5s9hJd/3d:-230,230(-230.000000)
160:Player,BR:0cr130c/r299c/cc/r264r1586f:TsQh,3sAh|/5d6sTc/6h/Jc:-793,793(-793.000000)
161:BR,Player:0r200c/cc/cc/cc:2s3s,9hQh|/3c7d7c/6c/Kh:300,-300(300.000000)
162:Player,BR:0cr600c/cc/r140r1680f:KsAc,5h7d|/4d6d9h/5c:-840,840(-840.000000)
163:BR,Player:0r130c/cc/r460f:3h8s,6d7s|/6sJhJd/8c:230,-230(230.000000)
164:Player,BR:0cc/cc/cr200f:2d6s,3c6d|/7hQhKh/Kc:-100,100(-100.000000)
165:BR,Player:0cc/cc/cc/r19900f:4d6h,4cKs|/6cThJc/3d/Kd:100,-100(100.000000)
166:Player,BR:0cc/cc/r130r19770f:3dJc,5h5d|/3h3cTh/5s:-230,230(-230.000000)
167:BR,Player:0cc/cc/r200f:3dJh,3c4h|/2c8cKc/8s:100,-100(100.000000)
