In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
138:Player,BR:0cr300c/cr19600f:JsJh,4h9d|/4c9sQc:-400,400(-400.000000)
139:BR,Player:0r130c/r285c/cc/cc:7c9s,7h8s|/5h7sJc/Kh/2s:515,-515(341.289810)
140:Player,BR:0cr300c/r520r1309f:4c5h,ThJc|/3h4sQh:-920,920(-920.000000)
141:BR,Player:0r130c/r1001f:5sQh,5d8h|/4s4hKh:230,-230(230.000000)
142:Player,BR:0cc/cr876f:7sQc,6s7c|/3h4hAc:-100,100(-100.000000)
143:BR,Player:0cc/r124r376r4569f:8d9c,2sJs|/2h9dAc:600,-600(600.000000)
144:Player,BR:0cr600c/cr6130f:JsJh,9dQd|/5cTcAs:-700,700(-700.000000)
145:BR,Player:0r130c/r285c/cr543c/cc:QdKc,6hQc|/3sKdAc/Jd/6s:1058,-1058(-85.841920)
146:Player,BR:0cr130c/r460r460c/r506c/r4968c:3d6d,ThAs|/4dTdKc/2c/Jc:-6624,6624(-6624.000000)
147:BR,Player:0f:2c8h,3dTh|:50,-50(50.000000)
148:Player,BR:0cc/cr124f:5dTd,6dAs|/6cQhKs:-100,100(-100.000000)
149:BR,Player:0f:4d7s,2s7c|:50,-50(50.000000)
150:Player,BR:0cr300c/cr1514f:2s2d,4hQd|/6h7sQh:-400,400(-400.000000)
151:BR,Player:0r200c/r427f:8dAs,7sTh|/5d6s6h:300,-300(300.000000)
152:Player,BR:0cc/cr379f:2hQc,9cTd|/6d9dAc:-100,100(-100.000000)
153:BR,Player:0r200c/r1306f:6dQs,JdQc|/4cJcKh:300,-300(300.000000)
154:Player,BR:0cc/cr435f:5cKh,8hQc|/2d5sAd:-100,100(-100.000000)
155:BR,Player:0f:2hJh,2d8c|:50,-50(50.000000)
156:Player,BR:0cc/cr1761f:3s8s,3dJc|/ThTcKh:-100,100(-100.000000)
157:BR,Player:0r130c/r2014f:7hJh,TsAc|/2d3s8c:230,-230(230.000000)
158:Player,BR:0cr600c/cr2650c/r100c/r1590f:5d6h,8cKs|/4s6c8d/7s/2c:3450,-3450(3450.000000)
159:BR,Player:0r200c/r1306c/cc/cr4694c:ThKd,5dQs|/5h9hQc/Qd/Ks:-6300,6300(-127.064725)
160:Player,BR:0cr300c/cr1741f:5hJd,8dTh|/3h5s9h:-400,400(-400.000000)
161:BR,Player:0cc/r435f:2d7c,4d5h|/2c4cTd:100,-100(100.000000)
162:Player,BR:0cc/cr124c/cc/cc:7dAc,3h9s|/9dTsTc/9c/Th:0,-0(4.867715)
