In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
157:Player,BR:0cc/cc/r200c/cc:4cJd,5d9c|/9dThQc/2d/3s:-300,300(-195.329661)
158:BR,Player:0r130c/cr690c/cr1840f:2s2h,9dQh|/4h7hJd/Td:-920,920(-920.000000)
159:Player,BR:0cr300f:7cKs,4s6d|:100,-100(100.000000)
160:BR,Player:0r130c/cc/cc/cr690c:KsKh,9hQd|/6c7cJs/2s/8h:920,-920(920.000000)
161:Player,BR:0cc/cc/r130c/cc:6h8s,7s8d|/2c7c8h/3h/4h:-230,230(-217.957351)
162:BR,Player:0f:7hAh,2dTh|:50,-50(50.000000)
163:Player,BR:0cc/cc/r130c/r299c:2c4s,4d6s|/5h6hAd/8d/9s:-529,529(155.082757)
164:BR,Player:0r130c/cc/cc/cc:2h8c,4cAd|/7sJcKh/9d/9h:-230,230(-230.000000)
165:Player,BR:0cr300c/r520c/cc/cc:4h6h,3hJc|/2h3d3c/8s/7s:-920,920(-892.244005)
166:BR,Player:0r300c/cc/cc/cr520f:6cTh,5hKs|/4hAsAh/Kd/4s:-400,400(-400.000000)
167:Player,BR:0cc/cc/cc/cc:9sJd,6dTd|/2c4dTh/3s/Kc:-100,100(-78.382684)
168:BR,Player:0r130c/cr299f:2c6h,2sQs|/3cQhQc:-230,230(-230.000000)
169:Player,BR:0cr600f:9hTc,5c7s|:100,-100(100.000000)
170:BR,Player:0f:TcKh,3d9s|:50,-50(50.000000)
171:Player,BR:0cr130c/r690c/cc/cc:4cQc,5sKs|/6c8h9d/Td/3s:-920,920(-271.355483)
172:BR,Player:0cc/cc/cc/cr300c:QhAh,3s6d|/4c8hAc/Th/9d:400,-400(344.358491)
173:Player,BR:0cc/cc/cc/cc:3cJd,JcKs|/4s5c8c/3d/6h:100,-100(82.190346)
174:BR,Player:0r130c/cc/cr299c/cr1058f:5hJc,2s4s|/5s7cTh/9h/Ks:-529,529(-529.000000)
175:Player,BR:0cr200c/cc/cc/r390f:7sKs,9hAc|/4dTcQc/7d/2s:300,-300(300.000000)
176:BR,Player:0r200c/cr390c/cr897c/cr3174f:8sJh,AhAd|/3d5dJc/6s/Qd:-1587,1587(-1587.000000)
177:Player,BR:0cc/cc/r130c/cc:4cTc,6sKd|/5h7hKc/8s/Js:-230,230(-213.613537)
178:BR,Player:0r130c/cr299c/cr1587c/cc:3d4h,QhKs|/2d4cKd/Ts/6c:-2116,2116(-139.958488)
179:Player,BR:0cr300f:QhAs,4s8h|:100,-100(100.000000)
180:BR,Player:0cc/cc/cc/cc:4h9s,5hAc|/2s6hKd/Kh/2d:-100,100(-100.000000)
181:Player,BR:0cc/cc/cc/cc:2c4d,3s7d|/TcQdKs/3d/Ts:-100,100(-37.394177)
182:BR,Player:0cc/cc/cc/cc:2h5s,7sQs|/6dJhKs/Kc/8d:-100,100(-100.000000)
183:Player,BR:0cr130c/r460c/r345c/r207f:TcQd,4c8c|/4d5hTh/6d/Ks:1035,-1035(1035.000000)
184:BR,Player:0f:9sJh,2c6d|:50,-50(50.000000)
185:Player,BR:0cc/cc/r130c/r299f:2hKc,7dAd|/TsThKs/3h/3c:230,-230(230.000000)
186:BR,Player:0cc/cc/cr130c/cc:5dTs,ThJc|/6cJdAd/Qc/4d:-230,230(-217.787429)
187:Player,BR:0cr200c/r390c/cc/r1380f:8s9s,8cQd|/2dJhAs/7d/Jc:690,-690(690.000000)
188:BR,Player:0r200c/cc/cc/cr600c:2h2d,7c9d|/2cTsAd/5c/3c:900,-900(670.468949)
189:Player,BR:0cr600f:6c8c,3h6d|:100,-100(100.000000)
190:BR,Player:0f:4d8h,3hTd|:50,-50(50.000000)
191:Player,BR:0cc/cc/cc/r130c:6h8s,QdAd|/6sThAc/8h/Jc:230,-230(-153.146620)
192:BR,Player:0r130c/cc/cr299c/cr687f:3sJc,8d9s|/6c9cQh/Qd/2h:-529,529(-529.000000)
193:Player,BR:0cc/cc/cc/cc:5dQh,JdQc|/4s8d9c/Ah/As:-100,100(17.982536)
194:BR,Player:0r200c/cc/cc/cr390c:TcAd,7hAc|/TsQhKd/3d/Jh:0,-0(335.531127)
195:Player,BR:0cc/cc/cc/r300f:7h9d,2s6h|/3dKsAc/5s/8s:100,-100(100.000000)
196:BR,Player:0f:4h6s,2d5c|:50,-50(50.000000)
197:Player,BR:0cc/cc/cc/cc:3c7c,2d5s|/7d9sKh/7s/3d:100,-100(98.041197)
198:BR,Player:0cc/cc/cr130c/cr460f:4hQc,6cJs|/2s7dJc/6s/8d:-230,230(-230.000000)
199:Player,BR:0cr200c/r390c/r1380c/r4140c:4s7s,9sTc|/3sThAd/5d/Qs:-6210,6210(-899.681120)
200:BR,Player:0r130c/cc/cc/cc:3d8d,5sQc|/4c7cKc/Ah/Js:-230,230(-230.000000)
201:Player,BR:0cr300c/cc/cc/cc:AhAc,6d8d|/JhJcQc/Kc/4h:400,-400(400.000000)
202:BR,Player:0r130c/cr299f:9dTc,5cJh|/4s4cAd:-230,230(-230.000000)
203:Player,BR:0cc/cc/r130c/cc:4h9c,6hQh|/6dTsTc/5h/6s:-230,230(-179.799476)
204:BR,Player:0r130c/cc/cc/cr460f:6h8s,6dAs|/QsQcAc/3c/Kh:-230,230(-230.000000)
205:Player,BR:0cc/cc/cc/cc:2sKc,4dTc|/2h7d9c/Jc/6c:100,-100(87.711878)
206:BR,Player:0cc/cc/cc/cr130c:4cKd,3dAc|/7h8dTc/3h/4d:230,-230(-37.582928)
207:Player,BR:0cc/cc/cc/cc:4d9c,ThQc|/2cJcKs/5d/8h:-100,100(23.116942)
208:BR,Player:0r130c/cr299c/cr687f:3c5c,6sQd|/4c7dJd/7s:-529,529(-529.000000)
209:Player,BR:0cc/cc/cc/r130f:7cTh,3cTc|/5hJcQs/7s/2h:100,-100(100.000000)
210:BR,Player:0r130c/cr299c/cr687f:6dJh,6hJd|/2d4h5c/7d:-529,529(-529.000000)
211:Player,BR:0cc/cc/cc/cc:6sAd,4s9s|/2h3h4c/9c/7s:-100,100(-97.755294)
212:BR,Player:0r130c/cr299c/cr687f:4sJs,2hAc|/3d5cKc/5h:-529,529(-529.000000)
