In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 13.
105:BR,Player:0r130c/r1001f:7hQh,2sQs|/3s8sTh:230,-230(230.000000)
106:Player,BR:0cc/cr435f:2h7c,3s8h|/7sJhKd:-100,100(-100.000000)
107:BR,Player:0f:KdAd,2c6s|:50,-50(50.000000)
108:Player,BR:0cc/cr379f:3dJs,TsKd|/3hThAs:-100,100(-100.000000)
109:BR,Player:0r130c/r327c/cr478c/cr1345c:2sJs,8s9s|/4hTsTc/Jc/5d:2380,-2380(-230.974467)
110:Player,BR:0cc/cr761f:7s8c,JdAh|/4cKdAs:-100,100(-100.000000)
111:BR,Player:0r130c/r3522f:2dJd,2cQh|/3c8hJs:230,-230(230.000000)
112:Player,BR:0cc/cr1761f:3c8d,5hJs|/3h7cQh:-100,100(-100.000000)
113:BR,Player:0r200c/r2627f:7cTs,5dTh|/6d8hQc:300,-300(300.000000)
114:Player,BR:0cr300c/cr1741f:JcKd,7sJd|/2h5s6s:-400,400(-400.000000)
115:BR,Player:0r300c/r3503f:3cJd,9dTd|/3d5c6s:400,-400(400.000000)
116:Player,BR:0cc/cr379f:3cJh,2hKs|/7hKhAh:-100,100(-100.000000)
117:BR,Player:0r130c/r1001f:KcAh,5sAd|/2c9dTc:230,-230(230.000000)
118:Player,BR:0cr200c/cr1306f:7sAs,6sAc|/4d7h8h:-300,300(-300.000000)
119:BR,Player:0r130c/r2014f:3s9h,4c7c|/6cKdAc:230,-230(230.000000)
120:Player,BR:0cc/cr1761f:2sAc,4c7c|/3h9dQc:-100,100(-100.000000)
121:BR,Player:0r200c/r1136f:QhAh,TdKs|/4d7sAs:300,-300(300.000000)
122:Player,BR:0cc/cr3080f:5sQh,8c9c|/3hJhQc:-100,100(-100.000000)
123:BR,Player:0r200c/r2627f:2sAh,4c5s|/2h8d9h:300,-300(300.000000)
124:Player,BR:0cc/cr435f:3d6s,8hAc|/3h7sQs:-100,100(-100.000000)
125:BR,Player:0r130c/cr299r299f:8cKc,3c5d|/3dQhQd:529,-529(529.000000)
126:Player,BR:0cc/cr435f:3cKc,6sAs|/7h9hJs:-100,100(-100.000000)
127:BR,Player:0r200c/r244c/cr356c/cc:4h7d,9cJh|/7sTsTc/Ah/7c:900,-900(900.000000)
128:Player,BR:0cc/cr761f:6s8h,QhKh|/9cTcQc:-100,100(-100.000000)
129:BR,Player:0f:8dQc,3h9d|:50,-50(50.000000)
