In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
59:BR,Player:0r130c/cc/r871c/r12750f:3d3c,3hJs|/3s7h9s/Ts/9h:1101,-1101(1101.000000)
60:Player,BR:0cc/cc/cr8194f:4c8s,3sTh|/8cTdAc/3d:-100,100(-100.000000)
61:BR,Player:0r200c/cc/r1306f:2h3s,3cQd|/4d9dKs/7h:300,-300(300.000000)
62:Player,BR:0cc/cc/r130r285c/cr19485c:3sAd,4hQd|/3cJdQc/2s/5s:-20000,20000(-20000.000000)
63:BR,Player:0r130c/cc/r4051f:3h5d,3dKs|/8cQhAs/2d:230,-230(230.000000)
64:Player,BR:0cc/cc/cr435f:2dTs,7s9d|/4cQdAc/6c:-100,100(-100.000000)
65:BR,Player:0r130c/cr299c/cc/r16295f:9dKc,KdAh|/4sQsQc/6d/Jh:529,-529(529.000000)
66:Player,BR:0cr300c/cc/r520c/cr1309f:9sTs,6sKs|/4h8dAh/3s/3d:-920,920(-920.000000)
67:BR,Player:0r130c/cc/r1001f:7hQs,7dKs|/2d6cTh/4h:230,-230(230.000000)
68:Player,BR:0cc/cc/r130r1001f:5dKc,3h4h|/4s6d7s/Ks:-230,230(-230.000000)
69:BR,Player:0r130c/cr299c/r2303f:8dKc,3dAs|/QsKsAh/Qd:529,-529(529.000000)
70:Player,BR:0cr600c/cc/r350r9194f:7cTc,6sTs|/3dTdAh/8c:-1050,1050(-1050.000000)
71:BR,Player:0r130c/cr690c/r8056r11024f:6cTh,QsQd|/5cJsQh/2c:-8976,8976(-8976.000000)
72:Player,BR:0cc/cc/cr9423f:7c8s,3h5h|/9sJcAh/7s:-100,100(-100.000000)
73:BR,Player:0cc/cr130c/cc/r285f:5sAh,6d7h|/JsJhQh/3c/Ac:230,-230(230.000000)
74:Player,BR:0cc/cc/r200c/r390r12153f:2cAc,3d5c|/5hJcAs/6s/4c:-690,690(-690.000000)
75:BR,Player:0r130c/cr299c/r655r655r984f:2dTd,7dAh|/8s8cTc/5h:1839,-1839(1839.000000)
76:Player,BR:0cr600c/cc/cr12329f:JcQs,4dTc|/6sQcKh/8d:-700,700(-700.000000)
77:BR,Player:0f:4hJd,2c6d|:50,-50(50.000000)
78:Player,BR:0cc/cc/cr8194f:3cJh,TdAc|/7dJdQc/Ad:-100,100(-100.000000)
79:BR,Player:0cc/cc/cr200f:4cQh,3s6c|/5s7cTs/4s:-100,100(-100.000000)
80:Player,BR:0cr300c/r520c/r2760r5237f:9dKh,3d7h|/4d5dTc/Qh:-3680,3680(-3680.000000)
81:BR,Player:0r130c/cc/r7085c/cr4001c:JsQc,6h6d|/2h8hTh/6c/Jc:-11316,11316(-6373.164462)
82:Player,BR:0cc/cc/cr142f:9hJc,ThKh|/6s7dQc/4s:-100,100(-100.000000)
83:BR,Player:0cc/cc/r1761f:4hJh,JcAh|/ThTdKh/Ac:100,-100(100.000000)
84:Player,BR:0cc/cc/cr142f:4dQh,3c9c|/7d8cKd/5h:-100,100(-100.000000)
85:BR,Player:0r200c/cr390c/r6042f:TcKd,4d6s|/2h5hJs/4s:690,-690(690.000000)
86:Player,BR:0cr600c/cc/r140r3657c/cr14804f:2sTs,4h9c|/2c5sKs/Qh/5h:-4497,4497(-4497.000000)
87:BR,Player:0r200c/cc/r14055f:KhKc,2h2c|/4cJsKd/9s:300,-300(300.000000)
88:Player,BR:0cr130c/cc/cr1001f:7cKd,3h8s|/7dJsAs/3s:-230,230(-230.000000)
89:BR,Player:0r130c/cr299c/r4632r14839f:2s8h,TcJd|/7h9cKd/8d:-5161,5161(-5161.000000)
90:Player,BR:0cc/cc/cr435f:2cKh,6hTs|/5s7sJs/Ac:-100,100(-100.000000)
91:BR,Player:0r130c/cc/r19770f:6cJc,3sTs|/5h8c9h/7c:230,-230(230.000000)
92:Player,BR:0cr200c/cc/cr1136f:8dJh,QsAh|/2c4cKs/Qh:-300,300(-300.000000)
93:BR,Player:0r130c/cc/r4051f:3c6d,2s5s|/2cQcAd/Ah:230,-230(230.000000)
94:Player,BR:0cc/cc/cr124f:7h8s,2h7s|/2s4cAh/4d:-100,100(-100.000000)
95:BR,Player:0r130c/cr299c/r19471f:8dJs,4dKh|/8hJdQh/Jh:529,-529(529.000000)
96:Player,BR:0cc/cc/cr142f:9dQh,9hJc|/2c4hKs/8h:-100,100(-100.000000)
97:BR,Player:0cc/cc/r249f:4h6h,5sJc|/3d4d5c/3c:100,-100(100.000000)
98:Player,BR:0cr600c/cc/cr3047f:7s9c,9sKd|/2sTdQc/3c:-700,700(-700.000000)
99:BR,Player:0r130c/cc/r1001f:3h9d,6sKs|/4sTdAh/3c:230,-230(230.000000)
100:Player,BR:0cc/cc/r130r1751f:5cTd,7sJs|/9dJhQs/Jd:-230,230(-230.000000)
101:BR,Player:0r130c/cc/r1001f:5hQd,TsQh|/6hKsAc/6d:230,-230(230.000000)
102:Player,BR:0cc/cc/cr100c/cr1751f:7sQc,8hKh|/4h4c9c/Ad/Ac:-200,200(-200.000000)
103:BR,Player:0f:KhAd,2s8c|:50,-50(50.000000)
104:Player,BR:0cr300c/cc/cr1741c/cr1515c:QsQd,4hQh|/3h6h9d/7d/5d:-3656,3656(-3084.481412)
105:BR,Player:0r200c/cc/r2627f:3sAc,2sQd|/6s7h7d/Tc:300,-300(300.000000)
106:Player,BR:0cr200c/cc/r600r7881f:8dQs,2dTs|/3d4sJd/Th:-900,900(-900.000000)
107:BR,Player:0r130c/cr299c/cr687c/cr14592c:JcKd,2dAc|/2cAsAh/4c/Ks:-15808,15808(14903.946017)
108:Player,BR:0cr300c/cc/r200r5254f:8cAs,6s8d|/5s5dKd/7c:-600,600(-600.000000)
109:BR,Player:0f:QcAd,3d8s|:50,-50(50.000000)
110:Player,BR:0cc/cc/cr379f:5dAc,8cAd|/7h8dJs/Jc:-100,100(-100.000000)
111:BR,Player:0r130c/cc/r1751c/r1854c:QdKd,3s9s|/3h4cKh/3c/8s:-3835,3835(1722.746995)
112:Player,BR:0cc/cc/r200r2627f:3dTs,6c8s|/5h8dJs/9d:-300,300(-300.000000)
113:BR,Player:0r200c/cr390c/r100r1694r10814f:2d6d,ThJh|/3d7d8h/8s:2484,-2484(2484.000000)
114:Player,BR:0cc/cc/cr876f:6hAc,3sKh|/5h6d8d/8h:-100,100(-100.000000)
115:BR,Player:0r130c/cr690c/r3483f:7s7c,6sKc|/2s3cTs/6c:920,-920(920.000000)
116:Player,BR:0cc/cc/cr379f:2d8h,ThJd|/3h3cTd/6d:-100,100(-100.000000)
117:BR,Player:0cc/cr130c/r498f:4dTc,3d6h|/JsJhJd/Th:230,-230(230.000000)
118:Player,BR:0cr600c/r910c/cr1139c/cr9049f:4cKc,9sAd|/5sQdKh/3c/5d:-2749,2749(-2749.000000)
119:BR,Player:0f:8sTd,2c5d|:50,-50(50.000000)
120:Player,BR:0cr130c/r460c/cr6042f:TdQh,2dKs|/5c7hTc/4s:-690,690(-690.000000)
121:BR,Player:0r300c/cr520c/r7005c/r3206f:9sAd,JhAh|/4h5h6s/9c/3d:7925,-7925(7925.000000)
122:Player,BR:0cr300c/cc/r200r2612f:9s9h,5dAc|/3dQsQd/3s:-600,600(-600.000000)
123:BR,Player:0r130c/cc/r3522f:7s7d,9cTc|/3s5dKd/6s:230,-230(230.000000)
124:Player,BR:0cc/cc/cr142f:JhKc,TdQs|/4c5s5d/8h:-100,100(-100.000000)
125:BR,Player:0r130c/cc/r2014f:8cJh,2dQs|/7c8d9c/Ah:230,-230(230.000000)
126:Player,BR:0cc/cc/cc/cr249f:7hQs,9sJc|/5c6sKc/6h/6d:-100,100(-100.000000)
127:BR,Player:0f:5cAh,2s9h|:50,-50(50.000000)
128:Player,BR:0cr300c/r800c/r2400f:5c7c,2sJc|/2c4dAh/Ac:1200,-1200(1200.000000)
129:BR,Player:0r130c/cr299c/r19471c/cc:QhQd,7c9c|/4h6dQs/8c/4c:20000,-20000(20000.000000)
130:Player,BR:0cr300c/cc/r520r4005c/r4735f:9dQd,3s6s|/2dTdTc/Qs/Qh:4925,-4925(4925.000000)
131:BR,Player:0r130c/cc/r4051f:7c8s,8dJd|/5h6cAd/Js:230,-230(230.000000)
132:Player,BR:0cc/cc/cr3080f:2s9s,6d8h|/7s9dQh/4c:-100,100(-100.000000)
133:BR,Player:0r130c/cc/r7085f:3h4h,4c7h|/8dAsAc/2h:230,-230(230.000000)
134:Player,BR:0cc/cc/cr435f:8dKc,QhAc|/5s8sTs/9d:-100,100(-100.000000)
135:BR,Player:0cc/cc/r9423f:4cQs,2dKs|/8d9cAs/2s:100,-100(100.000000)
136:Player,BR:0cc/cc/r130r1001f:3s9d,QsAs|/5sJhJd/8h:-230,230(-230.000000)
137:BR,Player:0f:6cTd,2s7d|:50,-50(50.000000)
138:Player,BR:0cc/cc/cc/r130r871f:4sTh,7h8h|/8cTsQs/Kc/2c:-230,230(-230.000000)
139:BR,Player:0r130c/cc/r327f:9hTc,3d5d|/3cJhQh/Js:230,-230(230.000000)
140:Player,BR:0cc/cc/r130r1001f:5d7c,TdAs|/2h4h7s/Qd:-230,230(-230.000000)
141:BR,Player:0r200c/cc/r9241f:4cTd,KcAc|/3c6sJh/9d:300,-300(300.000000)
142:Player,BR:0cc/cc/cr9423f:2h3c,3d8s|/9sQdKs/Jd:-100,100(-100.000000)
143:BR,Player:0f:2hAd,2d3s|:50,-50(50.000000)
144:Player,BR:0cc/cc/cr142f:3dJs,2sTs|/6c8hAs/9h:-100,100(-100.000000)
145:BR,Player:0r200c/cr390c/r3004f:3s3h,6hKd|/2s2dJc/9d:690,-690(690.000000)
146:Player,BR:0cc/cc/cc/cr9423f:3cJd,ThAd|/7sQdKh/2s/9s:-100,100(-100.000000)
147:BR,Player:0r130c/cc/r4051f:7cTc,8h9h|/3d8sJd/As:230,-230(230.000000)
148:Player,BR:0cr300c/cc/r800r10508f:7cQd,2s9s|/4h8h8d/5d:-1200,1200(-1200.000000)
149:BR,Player:0r130c/cr299c/r2303c/cc:9cAd,2d8d|/3h8cQd/8s/9d:-2832,2832(-774.313913)
150:Player,BR:0cr200c/cc/cr9241f:9d9c,8hQc|/8dTcAh/4s:-300,300(-300.000000)
151:BR,Player:0r130c/cr299c/r374r684f:7sQh,5h7c|/5d5c9s/Td:-903,903(-903.000000)
152:Player,BR:0cc/cc/cr876f:3c6h,2h4c|/3s7cQh/Jc:-100,100(-100.000000)
153:BR,Player:0f:6hAs,3s7c|:50,-50(50.000000)
154:Player,BR:0cc/cc/cr8194f:2h6c,9sAh|/4s9cAs/Kh:-100,100(-100.000000)
155:BR,Player:0cc/cc/r435f:3sTh,3h4h|/6d9dQc/8c:100,-100(100.000000)
156:Player,BR:0cc/cc/cr8194c/cr5103f:2cKc,6dJd|/6cJcAd/5d/Qh:-8294,8294(-8294.000000)
157:BR,Player:0r130c/cc/r1001f:4cJd,5d9c|/9dThQc/2d:230,-230(230.000000)
158:Player,BR:0cr300c/r1200c/cr14010f:2s2h,9dQh|/4h7hJd/Td:-1600,1600(-1600.000000)
159:BR,Player:0r200c/cc/cc/r1136f:7cKs,4s6d|/6hJhAh/Jd/As:300,-300(300.000000)
160:Player,BR:0cr300c/cc/r1200r6966f:KsKh,9hQd|/6c7cJs/2s:-1600,1600(-1600.000000)
