In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
59:BR,Player:0r200c/cc/r427c/r4186f:4dAs,9sJc|/9hTdJd/Ks/Kc:727,-727(727.000000)
60:Player,BR:0cr600c/cc/r1400r9142f:7hTh,3h8c|/5d8sQs/5c:-2100,2100(-2100.000000)
61:BR,Player:0r200c/cr900c/r738c/r12832f:4dKd,TsKh|/2s6cKc/5s/Jd:1938,-1938(1938.000000)
62:Player,BR:0cc/cc/r130r130c/cr14666f:6hJh,3c7s|/2d4h5h/9d/Tc:-360,360(-360.000000)
63:BR,Player:0r130c/cc/r4051f:5h8c,8hQs|/3s3cAh/6s:230,-230(230.000000)
64:Player,BR:0cr200c/cc/cr1306f:8sKc,2c9h|/6s7cTh/Td:-300,300(-300.000000)
65:BR,Player:0r130c/cc/r14250f:8hTs,5h5c|/JdKsAs/6h:230,-230(230.000000)
66:Player,BR:0cr1200c/cc/cr17313f:3s9s,4cKc|/8cThAs/4s:-1300,1300(-1300.000000)
67:BR,Player:0r200c/cr390c/cr1380r9012f:4cAs,8c9d|/5c8h9c/Kd:2070,-2070(2070.000000)
68:Player,BR:0cr300c/r520c/r184r388f:3cAc,2dKs|/2h6dQc/3s:-1104,1104(-1104.000000)
69:BR,Player:0r130c/cc/r14250f:TcQs,2d2c|/3h7dKc/Jh:230,-230(230.000000)
70:Player,BR:0cc/cc/r200r200c/r220r12681f:2c6h,4d7h|/3c4h8c/5c/5d:-720,720(-720.000000)
71:BR,Player:0r200c/cc/r1306f:3h8h,7cTh|/5cJcAc/Ah:300,-300(300.000000)
72:Player,BR:0cr300c/r520c/cr4005f:7dKc,3d5c|/4d9dTh/7h:-920,920(-920.000000)
73:BR,Player:0r130c/cr299c/r2303f:4s4d,5c8c|/ThQdAs/Qh:529,-529(529.000000)
74:Player,BR:0cc/cc/r200c/r390r390f:3dAc,6cJh|/8cTcAd/7c/4h:-690,690(-690.000000)
75:BR,Player:0r200c/cc/cr150r366f:7hQc,2dAs|/JsJhKh/Jd:450,-450(450.000000)
76:Player,BR:0cr600c/r910c/cr161c/cr15508f:8hTc,4sAh|/9d9cKc/Qh/7d:-1771,1771(-1771.000000)
77:BR,Player:0r200c/cc/r1306f:4d7d,TcAh|/5s9s9h/8c:300,-300(300.000000)
78:Player,BR:0cc/cc/cr142f:3dQd,9cAs|/7hJdJc/4h:-100,100(-100.000000)
79:BR,Player:0r130c/cc/r4051f:2c4h,5h8d|/5c6hJh/Kc:230,-230(230.000000)
80:Player,BR:0cc/cc/r200r5284f:6cAh,2sTd|/3h4cAc/Th:-300,300(-300.000000)
81:BR,Player:0r200c/cr390c/r854f:9dKs,5cKh|/2c3s3h/9c:690,-690(690.000000)
82:Player,BR:0cc/cc/r130c/r460r12153f:2dKh,4dAh|/7cJdKs/Kd/8d:-690,690(-690.000000)
83:BR,Player:0cc/cc/r124f:4h9d,2dKh|/5s6h9h/Ts:100,-100(100.000000)
84:Player,BR:0cc/cc/cr1532f:2d7h,9hQd|/8hQhAc/Jc:-100,100(-100.000000)
85:BR,Player:0r130c/cc/r2014f:2dTc,5hKc|/5d9cQd/Js:230,-230(230.000000)
86:Player,BR:0cc/cc/cr379f:4h5d,JcKd|/7h8h9s/Tc:-100,100(-100.000000)
87:BR,Player:0r130c/cc/r3522f:QsKh,3cAs|/2s2cQh/Ts:230,-230(230.000000)
88:Player,BR:0cc/cc/r200c/r150r7926f:8cTd,2sJd|/6h7dQh/9c/Qd:-450,450(-450.000000)
