In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 5.
1:BR,Player:0f:3h6c,3dTh|:50,-50(50.000000)
100:Player,BR:0cr200f:5dJd,2h6s|:100,-100(100.000000)
101:BR,Player:0r300c/cc/cc/cc:6hJd,9sKc|/2c8sAd/Ts/2s:-400,400(-391.961326)
102:Player,BR:0cc/cc/cc/r130f:5h6s,7d9c|/4c8hJs/7c/Ac:100,-100(100.000000)
103:BR,Player:0cc/cc/cr130c/cr1380c:3sQd,3dTh|/2s9cQh/8h/8s:1610,-1610(894.900570)
104:Player,BR:0cc/cc/r130c/r690c:4h9s,4c5d|/3d6dAh/7c/6h:-920,920(-806.747180)
105:BR,Player:0r200c/cc/cr900c/cr2400f:QhKc,5h5c|/3h9sAc/5d/Th:-1200,1200(-1200.000000)
106:Player,BR:0cc/cc/cc/cc:2hQs,3hKh|/3d8sJh/2s/Ks:-100,100(-97.141375)
107:BR,Player:0r130c/cr299c/cc/cr687f:4s7h,5sQc|/4h5hKc/9c/Qd:-529,529(-529.000000)
108:Player,BR:0cc/cc/cc/cc:2dQd,7hKc|/3c5cJd/Ah/2s:100,-100(39.580567)
109:BR,Player:0cc/cc/cr130f:2cKc,5d9c|/9dJdAh/9s:-100,100(-100.000000)
110:Player,BR:0cr200c/r390c/cc/cc:4h8s,6d9s|/3cTdKd/3h/Ts:0,-0(201.196575)
111:BR,Player:0f:9hAs,3c7s|:50,-50(50.000000)
112:Player,BR:0cr200c/cc/cc/cc:3sAs,6d7d|/4d7h9c/5d/Kh:-300,300(-267.736671)
113:BR,Player:0r130c/cc/cc/cr460f:4c7s,8hQc|/5s5hJh/Qd/9c:-230,230(-230.000000)
114:Player,BR:0cc/cc/cc/r130c:4cKs,4s5d|/6h7c8c/2s/9h:-230,230(-171.281444)
115:BR,Player:0r200c/cr390c/cc/cr897f:2dKc,2cAc|/4d5cQh/8h/3c:-690,690(-690.000000)
116:Player,BR:0cc/cc/cc/r130c:2h6d,5dJs|/7sThKh/3s/9c:-230,230(71.186722)
117:BR,Player:0cc/cc/cc/cc:4hJc,3sAd|/8cJsQs/3c/2h:100,-100(100.000000)
118:Player,BR:0cr300c/r520c/r5520f:4h7h,4dKh|/2h3s6h/3h:920,-920(920.000000)
119:BR,Player:0r130c/cc/cr299c/cr1587f:2sKs,8cKc|/6cThAh/Qc/4s:-529,529(-529.000000)
120:Player,BR:0cc/cc/cc/cc:2sQd,6h9s|/4d8dQh/4c/Kd:100,-100(75.180910)
121:BR,Player:0r200c/cc/cr150c/cc:9sKs,JsQd|/2h3h4h/6c/6d:450,-450(-57.960516)
122:Player,BR:0cc/cc/cc/r200f:2s5s,2cJc|/6d8d8c/9h/4c:100,-100(100.000000)
123:BR,Player:0r130c/cc/cr460c/cr1380c:5sQd,5d7d|/6sJhAh/2s/4h:2070,-2070(232.996033)
124:Player,BR:0cc/cc/cc/cc:2dKd,5s8h|/6s6dQc/9c/7c:-100,100(-96.005714)
125:BR,Player:0r200c/cc/cc/cc:9dQs,3sQc|/2sTdAs/2d/6s:0,-0(-177.299883)
126:Player,BR:0cc/cc/cc/cc:4s8c,4h7d|/2hTsKd/5c/4c:100,-100(-38.256311)
127:BR,Player:0cc/cc/cc/cc:2d3s,4dAc|/7h8hJd/3h/8d:100,-100(60.364304)
128:Player,BR:0cc/cc/cc/cc:3s7c,KhAh|/2s3h4h/2h/Jd:-100,100(-97.146665)
129:BR,Player:0r130c/cr299c/cc/cc:3hQh,5cTc|/2dJdKh/Ad/8s:529,-529(23.576363)
130:Player,BR:0cc/cc/cc/r130c:JhQd,5dKc|/KdAsAc/3d/Jc:-230,230(-212.110343)
131:BR,Player:0r130c/cc/cr460c/cc:2sTh,7h8d|/2cTcQs/9s/2d:690,-690(690.000000)
132:Player,BR:0cc/cc/r130c/r299f:4c5h,3s6c|/6h7hKc/Jh/Ac:230,-230(230.000000)
133:BR,Player:0f:8hQd,2sTh|:50,-50(50.000000)
134:Player,BR:0cr200f:KsKc,2d3s|:100,-100(100.000000)
135:BR,Player:0r200c/cr390c/cc/cr1380f:JdAs,7cQh|/2d5s9h/6d/Qs:-690,690(-690.000000)
136:Player,BR:0cc/cc/cc/r130f:3h6c,7dJh|/3s3d8h/6s/2s:100,-100(100.000000)
137:BR,Player:0r130c/cc/cc/cr299f:2hKs,9hAs|/4d5sJd/Jh/9s:-230,230(-230.000000)
138:Player,BR:0cc/cc/r300c/cc:9dTs,TdJs|/3d5d8s/Qc/2d:-400,400(-124.059340)
139:BR,Player:0r130c/cc/cc/cc:TsAd,9sKd|/8hJsJh/5d/8d:230,-230(230.000000)
140:Player,BR:0cr300c/cc/r800c/cc:4c5c,7sTc|/7dQcKd/2c/5s:-1200,1200(-1062.167733)
141:BR,Player:0r200c/cc/cc/cr900f:4c6c,9sAh|/2d6s7s/4s/Ks:-300,300(-300.000000)
142:Player,BR:0cr300f:TsAd,2c5d|:100,-100(100.000000)
143:BR,Player:0r130c/cc/cc/cr460f:5c8h,4cKh|/ThQhKs/6h/6s:-230,230(-230.000000)
144:Player,BR:0cc/cc/r130c/cc:7dAs,2sKd|/3c9d9c/6c/4h:230,-230(-9.868242)
145:BR,Player:0r130c/cr299c/cr687c/cc:3c7h,9dJd|/2s4s7d/5h/4d:1216,-1216(577.479309)
146:Player,BR:0cc/cc/cc/r130c:2d7c,8s8d|/4c5dAd/5h/Qc:-230,230(32.335055)
147:BR,Player:0f:9sQc,2h6c|:50,-50(50.000000)
148:Player,BR:0cc/cc/r300c/cc:8d9h,5d6d|/4c7hJh/Ac/Ks:400,-400(10.652706)
149:BR,Player:0r130c/cc/cc/cc:ThAc,6dKs|/2s2dQh/8d/As:230,-230(230.000000)
150:Player,BR:0cr600c/cc/cc/r1400f:5cAd,9dQd|/3cJsAs/8d/9c:700,-700(700.000000)
151:BR,Player:0r130c/cr299f:5cJs,3sAc|/3d6dTh:-230,230(-230.000000)
152:Player,BR:0cr600c/r910c/r4830c/r3220c:2hAh,KdAd|/2d4dAs/Ts/9d:-9660,9660(-9660.000000)
153:BR,Player:0cc/cr130c/cc/cc:9sAs,5s9h|/3dTdKs/8h/6s:230,-230(-87.999090)
154:Player,BR:0cr600f:2cKc,4c6c|:100,-100(100.000000)
155:BR,Player:0r200c/cr600f:3d5h,JcKc|/TsJdKh:-300,300(-300.000000)
156:Player,BR:0cr300c/cc/cc/r200c:TdQd,5cKd|/5s6cKh/2c/Js:-600,600(-568.801131)
157:BR,Player:0cc/cc/cc/cr200c:6cQd,5sTd|/4d6sKc/4h/Kh:300,-300(292.232504)
158:Player,BR:0cr130c/r299c/cc/r687f:8dJc,9sAs|/2c8hAh/Td/Jd:529,-529(529.000000)
159:BR,Player:0r130c/cr299c/cc/cc:3cJh,7sJs|/4h5dQc/Ac/Tc:-529,529(-283.676521)
160:Player,BR:0cr300c/r520c/cc/cc:TcJs,3cQd|/2h4sQh/4h/As:-920,920(-602.175184)
161:BR,Player:0r300c/cc/cr800c/cr2400c:QhAh,TdJs|/3d5d8h/7d/Ks:3600,-3600(2424.606863)
162:Player,BR:0cr300c/cc/r1200c/r2080c:KsKd,9sQc|/3h4d9d/7c/Js:3680,-3680(532.469997)
163:BR,Player:0cc/cr130f:3d6s,3hTd|/2c7sAh:-100,100(-100.000000)
164:Player,BR:0cc/cc/cc/cc:2h9c,6cAs|/4h7sKs/Ad/6d:-100,100(-97.611885)
165:BR,Player:0f:7hTs,2h5d|:50,-50(50.000000)
166:Player,BR:0cc/cc/r200c/r600c:2dKc,5hKh|/4s9cJs/Kd/9s:0,-0(-515.033283)
167:BR,Player:0r130c/cc/cc/cc:2dJd,3dAd|/2s6dJs/Jc/7h:230,-230(230.000000)
168:Player,BR:0cc/cc/cc/r300c:6sTh,9hTc|/2c5h7c/7s/8s:-400,400(-64.251695)
169:BR,Player:0r130c/cc/cr115c/cr1035f:2d4c,5d6s|/3d5h8s/5s/9c:-345,345(-345.000000)
170:Player,BR:0cc/cc/cc/cc:2sAs,6dQh|/2d3sKc/3d/Jh:100,-100(13.017340)
171:BR,Player:0r130c/cc/cc/cc:4s5c,6d7c|/6h8h9s/Qd/9h:-230,230(-230.000000)
172:Player,BR:0cr300f:JhQs,5s6d|:100,-100(100.000000)
173:BR,Player:0f:4c7d,2sJd|:50,-50(50.000000)
174:Player,BR:0cr130c/cc/r299c/r687c:4c8c,6h7d|/2d6dJd/5c/2h:-1216,1216(241.702552)
175:BR,Player:0cc/cc/cc/cc:9cJc,4hJh|/8s8hQc/Qd/As:0,-0(-0.000000)
176:Player,BR:0cr200c/cc/cc/cc:5sQs,6dJd|/3d9cAc/Ad/Jh:-300,300(-253.106438)
177:BR,Player:0r200c/cr600c/cr1800f:5hQd,QhQc|/4s6hJs/8h:-900,900(-900.000000)
178:Player,BR:0cc/cc/r200f:6h9h,3d5c|/7d8sQh/7c:100,-100(100.000000)
179:BR,Player:0r130c/cc/cc/cr299f:3s7c,8cQd|/2h9cTd/5s/2s:-230,230(-230.000000)
180:Player,BR:0cc/cc/cc/cc:4dQs,5cJh|/2dAdAc/3s/Kc:100,-100(11.026459)
181:BR,Player:0r130c/cc/cc/cr460c:5dQc,6s8s|/5s5hQh/Jc/7c:690,-690(655.885014)
182:Player,BR:0cr300c/cc/cc/cc:4dAd,TsJd|/5hTdJs/Qh/7h:-400,400(-323.178579)
183:BR,Player:0r130c/cc/cc/cc:5s6h,8hQc|/7s7d7c/2s/5c:230,-230(230.000000)
184:Player,BR:0cc/cc/cc/cc:3dJc,3sKd|/5dJsKs/5h/8d:-100,100(-83.974202)
185:BR,Player:0cc/cr300c/cr800c/cr1560f:4sJh,2sJs|/2d3sKs/2h/9h:-1200,1200(-1200.000000)
186:Player,BR:0cr600f:8sKd,4s9c|:100,-100(100.000000)
187:BR,Player:0r130c/cr299c/cc/cc:5hKs,TdQd|/7s9hJs/3h/2c:529,-529(148.799128)
188:Player,BR:0cr200c/cc/cc/cc:3dAd,7hJc|/3s3hJd/4h/7s:300,-300(-293.347856)
189:BR,Player:0cc/cr130c/cc/cc:3cKs,TdKc|/3hJsAd/2s/7c:230,-230(199.507203)
190:Player,BR:0cc/cc/r130c/cc:3h4c,QcAc|/4hTsTh/9s/8s:230,-230(119.588391)
191:BR,Player:0r130c/cr460c/cr1380c/cc:6sQd,QhAs|/6dThQc/3s/9h:2070,-2070(2070.000000)
192:Player,BR:0cc/cc/cc/cc:TsQc,TcAc|/3s6d8c/8s/2d:-100,100(-28.129067)
193:BR,Player:0r130c/cr299c/cr3174c/cc:QhAd,3sKh|/2h6s9d/4s/5s:-3703,3703(-3703.000000)
194:Player,BR:0cc/cc/r130f:2s6c,5s7d|/6s6hTh/Qh:100,-100(100.000000)
195:BR,Player:0r130c/cr299c/cc/cr687c:7c9d,3s4c|/4hTcKd/Jc/9h:1216,-1216(0.465332)
196:Player,BR:0cc/cc/cc/cc:5hJs,4c9h|/2c7c9d/Qh/4h:-100,100(-95.142770)
