In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
70:Player,BR:0cr600c/cr431c/r129c/cc:7cTc,6sTs|/3dTdAh/8c/Th:0,-0(-1088.234671)
71:BR,Player:0r130c/r4051c/cc/cr2067f:6cTh,QsQd|/5cJsQh/2c/4d:-4281,4281(-4281.000000)
72:Player,BR:0cr200c/r390r3004f:7c8s,3h5h|/9sJcAh:-690,690(-690.000000)
73:BR,Player:0r130c/r1001f:5sAh,6d7h|/JsJhQh:230,-230(230.000000)
74:Player,BR:0cr600c/cr3047c/cc/r3603f:2cAc,3d5c|/5hJcAs/6s/4c:3747,-3747(3747.000000)
75:BR,Player:0r200c/r371c/cc/cc:2dTd,7dAh|/8s8cTc/5h/Kc:671,-671(547.683872)
76:Player,BR:0cc/cr876c/r584f:JcQs,4dTc|/6sQcKh/8d:976,-976(976.000000)
77:BR,Player:0f:4hJd,2c6d|:50,-50(50.000000)
78:Player,BR:0cc/cr876f:3cJh,TdAc|/7dJdQc:-100,100(-100.000000)
79:BR,Player:0cc/r435f:4cQh,3s6c|/5s7cTs:100,-100(100.000000)
80:Player,BR:0cr200c/r390r1718f:9dKh,3d7h|/4d5dTc:-690,690(-690.000000)
81:BR,Player:0r130c/r1001f:JsQc,6h6d|/2h8hTh:230,-230(230.000000)
82:Player,BR:0cr300c/cr1741f:9hJc,ThKh|/6s7dQc:-400,400(-400.000000)
83:BR,Player:0r130c/r1001c/cc/cc:4hJh,JcAh|/ThTdKh/Ac/8h:1231,-1231(1231.000000)
84:Player,BR:0cc/cr876f:4dQh,3c9c|/7d8cKd:-100,100(-100.000000)
85:BR,Player:0r130c/cr460r6042f:TcKd,4d6s|/2h5hJs:690,-690(690.000000)
86:Player,BR:0cr200c/r900f:2sTs,4h9c|/2c5sKs:300,-300(300.000000)
87:BR,Player:0r130c/r19770f:KhKc,2h2c|/4cJsKd:230,-230(230.000000)
88:Player,BR:0cc/cr3080f:7cKd,3h8s|/7dJsAs:-100,100(-100.000000)
89:BR,Player:0cc/r876c/cr2014f:2s8h,TcJd|/7h9cKd/8d:-976,976(-976.000000)
90:Player,BR:0cc/cr249f:2cKh,6hTs|/5s7sJs:-100,100(-100.000000)
91:BR,Player:0r130c/r1001f:6cJc,3sTs|/5h8c9h:230,-230(230.000000)
92:Player,BR:0cr300c/cr3503f:8dJh,QsAh|/2c4cKs:-400,400(-400.000000)
93:BR,Player:0r200c/r1306f:3c6d,2s5s|/2cQcAd:300,-300(300.000000)
94:Player,BR:0cc/cr435f:7h8s,2h7s|/2s4cAh:-100,100(-100.000000)
95:BR,Player:0r130c/r1751f:8dJs,4dKh|/8hJdQh:230,-230(230.000000)
