In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
80:Player,BR:0cc/cc/cc/cc:5h6c,2dKs|/3d6hQh/5d/2h:100,-100(33.800433)
81:BR,Player:0cc/cr130c/cr690c/cc:3s5h,6cQh|/4d5sTd/7s/7h:920,-920(168.702446)
82:Player,BR:0cr600f:2d3s,2h3c|:100,-100(100.000000)
83:BR,Player:0r200c/cc/cr390f:5cTd,JhJc|/4s4dAs/9s:-300,300(-300.000000)
84:Player,BR:0cr300c/cc/cc/cc:TdKd,9cJh|/3h8h8c/Jc/6h:-400,400(-257.904449)
85:BR,Player:0r200c/cc/cc/cr390c:5d6d,7dTh|/5s7hKh/2h/7c:-690,690(-297.629182)
86:Player,BR:0cr300c/cc/r200c/cc:5c9h,2hQh|/KsKdAd/5s/4h:600,-600(159.808580)
87:BR,Player:0cc/cr130c/cc/cc:9dQh,4c9s|/2d7dAh/9h/Ts:230,-230(230.000000)
88:Player,BR:0cc/cc/r130c/r460f:3d7d,7sQd|/2d8s9d/Jh/8d:230,-230(230.000000)
89:BR,Player:0f:TsAd,2c7h|:50,-50(50.000000)
90:Player,BR:0cc/r300f:3s7d,7cTh|/2h3d5s:100,-100(100.000000)
91:BR,Player:0r130c/cc/cr690c/cr1840c:4sJd,4d7s|/5c8sQc/2d/Qd:2760,-2760(1003.213860)
92:Player,BR:0cc/cc/cc/cc:2h4s,QcAc|/9cTsQd/Ad/4h:-100,100(-98.803660)
93:BR,Player:0r200c/cr390c/cr897c/cc:9cJc,7dQs|/5s6dJh/Qd/2d:-1587,1587(-1204.821013)
94:Player,BR:0cc/cc/r130c/cc:6h9c,2c8d|/3d8hTs/4s/Qs:-230,230(-125.300434)
95:BR,Player:0r130c/cr299f:2d4c,7hJh|/3h8hKs:-230,230(-230.000000)
96:Player,BR:0cc/cc/cc/cc:4d9d,2sJs|/6dJhAh/Kh/8c:-100,100(-71.585089)
97:BR,Player:0r200c/cc/cr150c/cr900c:7sJd,3sJs|/4s6hTh/Kd/5h:1350,-1350(1317.180437)
98:Player,BR:0cr600c/cc/r1400c/cc:3dKd,8sTc|/5c6dAc/3c/4h:2100,-2100(-78.522944)
99:BR,Player:0r130c/cr299c/cr3174f:QhKh,4h6h|/3s9hAd/5s:-529,529(-529.000000)
100:Player,BR:0cc/cc/cc/cc:3cAs,7dAd|/5s6cKh/9d/6s:0,-0(-44.301784)
101:BR,Player:0r130c/cc/cc/cc:2hQc,5cKd|/2s2c6d/As/8c:230,-230(230.000000)
102:Player,BR:0cr200c/r900f:5dKc,6c8h|/4d9dJh:300,-300(300.000000)
103:BR,Player:0cc/cr130c/cc/cr460f:4cAs,3dQs|/2d9dAc/3c/3s:-230,230(-230.000000)
104:Player,BR:0cc/cc/cc/r130c:2c8s,9sAd|/4s7hKd/Ah/4h:-230,230(-126.500882)
105:BR,Player:0f:ThQd,3s8c|:50,-50(50.000000)
106:Player,BR:0cc/cc/cc/r130f:2c6h,7cTc|/4h8hJh/2d/4c:100,-100(100.000000)
107:BR,Player:0r200c/cc/cc/cr390f:5h9d,ThAc|/8sTcKc/4h/2d:-300,300(-300.000000)
108:Player,BR:0cr200c/cc/cc/r150c:2sTs,JdAd|/4s6h7c/4h/Qs:-450,450(137.484666)
109:BR,Player:0r130c/cc/cr115c/cc:3c4s,6s7h|/4d6dAh/5d/Jc:-345,345(-345.000000)
110:Player,BR:0cc/cc/r200c/r600c:5cQh,6s9h|/7s8sQc/5h/Ts:-900,900(-719.188707)
111:BR,Player:0cc/cc/cc/cc:2s4c,2dKc|/9dQsAc/6h/As:-100,100(-100.000000)
112:Player,BR:0cc/r300c/r2400c/cc:9sQd,4s4c|/4h5s6c/3c/Tc:-2800,2800(-2800.000000)
113:BR,Player:0r130c/cc/cr299c/cr3174f:9cQd,4sTc|/2h5d9h/6s/Jc:-529,529(-529.000000)
114:Player,BR:0cc/cc/cc/r300c:4d9c,5s9s|/4c8cQh/2s/4h:400,-400(-81.545891)
115:BR,Player:0r130c/cr299c/cc/cr1058c:QhKh,4h7d|/6cTdJd/9d/8d:-1587,1587(-47.974725)
116:Player,BR:0cc/cc/r130c/r460c:6cTd,3h5c|/4s9sKc/5h/4c:-690,690(202.202918)
117:BR,Player:0r130c/cr299c/cc/cr687c:JcAh,3s5d|/2cJhQc/6h/2s:1216,-1216(887.005742)
118:Player,BR:0cc/cc/cc/r130c:4sJd,6s6c|/5sQdAs/3s/2c:230,-230(17.983036)
119:BR,Player:0cc/cr130c/cr460f:3dKc,9dTc|/JcQsAs/6s:-230,230(-230.000000)
120:Player,BR:0cr300c/cc/cc/cc:5sTc,8hAh|/4h5c8c/9c/Js:-400,400(-211.870278)
121:BR,Player:0r130c/cc/cc/cr299c:9dTh,4c5c|/6d9hAs/Kh/Tc:529,-529(429.036060)
122:Player,BR:0cc/cc/r300c/cc:5d9c,7sJc|/2d8hAd/4s/7h:-400,400(-364.385913)
