In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
69:BR,Player:0r130c/cr299c/cc/cr687f:8dKc,3dAs|/QsKsAh/Qd/4d:-529,529(-529.000000)
70:Player,BR:0cr600c/cc/r350c/cc:7cTc,6sTs|/3dTdAh/8c/Th:0,-0(-986.153528)
71:BR,Player:0r200c/cr600f:6cTh,QsQd|/5cJsQh:-300,300(-300.000000)
72:Player,BR:0cc/cc/cc/cc:7c8s,3h5h|/9sJcAh/7s/Tc:100,-100(97.881573)
73:BR,Player:0r130c/cr299c/cc/cc:5sAh,6d7h|/JsJhQh/3c/Ac:529,-529(529.000000)
74:Player,BR:0cr600f:2cAc,3d5c|:100,-100(100.000000)
75:BR,Player:0cc/cc/cc/cc:2dTd,7dAh|/8s8cTc/5h/Kc:100,-100(100.000000)
76:Player,BR:0cc/cc/r130c/r115f:JcQs,4dTc|/6sQcKh/8d/Qd:230,-230(230.000000)
77:BR,Player:0f:4hJd,2c6d|:50,-50(50.000000)
78:Player,BR:0cc/cc/cc/cc:3cJh,TdAc|/7dJdQc/Ad/2d:-100,100(-88.195851)
79:BR,Player:0cc/cr130c/cr299f:4cQh,3s6c|/5s7cTs/4s:-230,230(-230.000000)
80:Player,BR:0cr200c/r390c/r897f:9dKh,3d7h|/4d5dTc/Qh:690,-690(690.000000)
81:BR,Player:0cc/cc/cr200c/cr900c:JsQc,6h6d|/2h8hTh/6c/Jc:-1200,1200(-41.603328)
82:Player,BR:0cc/cc/cc/cc:9hJc,ThKh|/6s7dQc/4s/Qd:-100,100(-4.908706)
83:BR,Player:0r130c/cc/cr115c/cr448c:4hJh,JcAh|/ThTdKh/Ac/8h:793,-793(787.676910)
84:Player,BR:0cc/cc/cc/cc:4dQh,3c9c|/7d8cKd/5h/Qs:100,-100(77.961403)
85:BR,Player:0r130c/cr460c/cc/cc:TcKd,4d6s|/2h5hJs/4s/7h:-690,690(-620.979231)
86:Player,BR:0cr600f:2sTs,4h9c|:100,-100(100.000000)
87:BR,Player:0r130c/cc/cc/cc:KhKc,2h2c|/4cJsKd/9s/4d:230,-230(230.000000)
88:Player,BR:0cr200c/cc/cc/r390f:7cKd,3h8s|/7dJsAs/3s/Ad:300,-300(300.000000)
89:BR,Player:0r200c/cr390f:2s8h,TcJd|/7h9cKd:-300,300(-300.000000)
90:Player,BR:0cc/cc/cc/cc:2cKh,6hTs|/5s7sJs/Ac/Ks:-100,100(-91.493213)
91:BR,Player:0r200c/cc/cr600c/cr1800c:6cJc,3sTs|/5h8c9h/7c/2c:2700,-2700(2216.121671)
92:Player,BR:0cr200c/cc/cc/r150c:8dJh,QsAh|/2c4cKs/Qh/6d:-450,450(-373.644180)
93:BR,Player:0r130c/cc/cr299f:3c6d,2s5s|/2cQcAd/Ah:-230,230(-230.000000)
94:Player,BR:0cr300f:7h8s,2h7s|:100,-100(100.000000)
95:BR,Player:0r300c/cc/cr800c/cc:8dJs,4dKh|/8hJdQh/Jh/Qd:1200,-1200(1200.000000)
96:Player,BR:0cc/cc/cc/cc:9dQh,9hJc|/2c4hKs/8h/3d:100,-100(81.181488)
97:BR,Player:0r200c/cc/cr600c/cr1800f:4h6h,5sJc|/3d4d5c/3c/Js:-900,900(-900.000000)
98:Player,BR:0cr300c/cc/cc/r520c:7s9c,9sKd|/2sTdQc/3c/Qd:-920,920(183.995695)
99:BR,Player:0r130c/cc/cc/cc:3h9d,6sKs|/4sTdAh/3c/2h:230,-230(172.535793)
100:Player,BR:0cc/cc/r130c/r115f:5cTd,7sJs|/9dJhQs/Jd/8d:230,-230(230.000000)
101:BR,Player:0cc/cr130c/cc/cc:5hQd,TsQh|/6hKsAc/6d/3h:0,-0(115.030002)
102:Player,BR:0cc/cc/cc/cc:7sQc,8hKh|/4h4c9c/Ad/Ac:-100,100(-62.264053)
103:BR,Player:0f:KhAd,2s8c|:50,-50(50.000000)
104:Player,BR:0cr600c/cc/cc/r350c:QsQd,4hQh|/3h6h9d/7d/5d:-1050,1050(-568.226411)
105:BR,Player:0cc/cc/cc/cc:3sAc,2sQd|/6s7h7d/Tc/Jh:100,-100(63.359758)
106:Player,BR:0cc/cc/cc/cc:8dQs,2dTs|/3d4sJd/Th/8c:-100,100(-77.061846)
107:BR,Player:0r200c/cc/cr600c/cr2700c:JcKd,2dAc|/2cAsAh/4c/Ks:-3600,3600(3527.326491)
108:Player,BR:0cr200c/cc/cc/cc:8cAs,6s8d|/5s5dKd/7c/9d:-300,300(-252.003378)
109:BR,Player:0f:QcAd,3d8s|:50,-50(50.000000)
110:Player,BR:0cr300c/cc/cc/r200c:5dAc,8cAd|/7h8dJs/Jc/5h:-600,600(-516.199220)
111:BR,Player:0r130c/cr299c/cr687c/cr2432f:QdKd,3s9s|/3h4cKh/3c/8s:-1216,1216(-1216.000000)
112:Player,BR:0cc/cc/r200c/r390c:3dTs,6c8s|/5h8dJs/9d/2c:-690,690(86.939664)
113:BR,Player:0r130c/cr690c/cr1196f:2d6d,ThJh|/3d7d8h/8s:-920,920(-920.000000)
114:Player,BR:0cc/cc/cc/r130c:6hAc,3sKh|/5h6d8d/8h/Td:230,-230(-11.489133)
115:BR,Player:0r130c/cc/cr299c/cr1587f:7s7c,6sKc|/2s3cTs/6c/Kh:-529,529(-529.000000)
116:Player,BR:0cc/cc/cc/r130c:2d8h,ThJd|/3h3cTd/6d/Kh:-230,230(-168.440920)
117:BR,Player:0f:4dTc,3d6h|:50,-50(50.000000)
118:Player,BR:0cr300c/r520c/r460f:4cKc,9sAd|/5sQdKh/3c:920,-920(920.000000)
119:BR,Player:0f:8sTd,2c5d|:50,-50(50.000000)
120:Player,BR:0cr600f:TdQh,2dKs|:100,-100(100.000000)
121:BR,Player:0r200c/cr390c/cr897c/cr9522c:9sAd,JhAh|/4h5h6s/9c/3d:11109,-11109(11109.000000)
122:Player,BR:0cr300c/cc/r200c/r780f:9s9h,5dAc|/3dQsQd/3s/2s:600,-600(600.000000)
123:BR,Player:0r200c/cc/cr390c/cr1380f:7s7d,9cTc|/3s5dKd/6s/Jh:-690,690(-690.000000)
124:Player,BR:0cr130c/cc/cc/cc:JhKc,TdQs|/4c5s5d/8h/Qc:-230,230(-169.868741)
125:BR,Player:0cc/cc/cc/cc:8cJh,2dQs|/7c8d9c/Ah/As:100,-100(100.000000)
126:Player,BR:0cc/cc/cc/cc:7hQs,9sJc|/5c6sKc/6h/6d:100,-100(0.422624)
127:BR,Player:0f:5cAh,2s9h|:50,-50(50.000000)
128:Player,BR:0cr300c/r800c/r3600c/r960f:5c7c,2sJc|/2c4dAh/Ac/7d:4800,-4800(4800.000000)
129:BR,Player:0r130c/cr299c/cr1058c/cr4761c:QhQd,7c9c|/4h6dQs/8c/4c:6348,-6348(6142.026709)
130:Player,BR:0cr130c/cc/r115f:9dQd,3s6s|/2dTdTc/Qs:230,-230(230.000000)
131:BR,Player:0r130c/cc/cr299f:7c8s,8dJd|/5h6cAd/Js:-230,230(-230.000000)
132:Player,BR:0cc/cc/cc/r130c:2s9s,6d8h|/7s9dQh/4c/Td:-230,230(-210.144762)
133:BR,Player:0r200c/cr390f:3h4h,4c7h|/8dAsAc:-300,300(-300.000000)
134:Player,BR:0cc/cc/cc/cc:8dKc,QhAc|/5s8sTs/9d/5h:100,-100(-27.655839)
135:BR,Player:0cc/cc/cc/cr130f:4cQs,2dKs|/8d9cAs/2s/Ad:-100,100(-100.000000)
136:Player,BR:0cc/cc/r130c/cc:3s9d,QsAs|/5sJhJd/8h/2s:-230,230(-115.986245)
137:BR,Player:0f:6cTd,2s7d|:50,-50(50.000000)
138:Player,BR:0cc/cc/cc/r130c:4sTh,7h8h|/8cTsQs/Kc/2c:230,-230(78.496359)
139:BR,Player:0r130c/cc/cr115c/cc:9hTc,3d5d|/3cJhQh/Js/8s:345,-345(345.000000)
140:Player,BR:0cc/cc/r130c/r115f:5d7c,TdAs|/2h4h7s/Qd/Js:230,-230(230.000000)
