In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 13.
1:BR,Player:0f:7sTs,2cTd|:50,-50(50.000000)
96:Player,BR:0cr130c/r460c/cc/r345f:TdKh,3h6d|/4d6sTc/Qh/As:690,-690(690.000000)
97:BR,Player:0f:8dTh,3d7s|:50,-50(50.000000)
98:Player,BR:0cc/cc/cc/cc:4d8h,9sQc|/2hTcQh/8s/9c:-100,100(-84.921922)
99:BR,Player:0f:5sTs,2s6h|:50,-50(50.000000)
100:Player,BR:0cc/cc/cc/r130f:3d8c,2cAs|/4s8hTh/2h/Qc:100,-100(100.000000)
101:BR,Player:0r130c/cc/cc/cc:4hKd,2h3h|/2s9cJh/Ac/Js:-230,230(-55.400851)
102:Player,BR:0cc/cc/cc/cc:9sJc,5sAd|/6h8d8c/8s/Js:100,-100(-45.915601)
103:BR,Player:0r200c/cr390c/cc/cc:5dQc,9hQd|/7d8hTs/9s/8d:-690,690(-659.511306)
104:Player,BR:0cc/cc/cc/cc:4s9s,2c6h|/5sKsAd/Jh/4c:100,-100(100.000000)
105:BR,Player:0cc/cr300c/cr1200f:7hQh,2sQs|/3s8sTh/6c:-400,400(-400.000000)
106:Player,BR:0cc/cc/cc/cc:2h7c,3s8h|/7sJhKd/9s/4c:100,-100(72.401330)
107:BR,Player:0f:KdAd,2c6s|:50,-50(50.000000)
108:Player,BR:0cc/cc/cc/cc:3dJs,TsKd|/3hThAs/5h/Kc:-100,100(-88.222566)
109:BR,Player:0r130c/cc/cr299c/cc:2sJs,8s9s|/4hTsTc/Jc/5d:529,-529(529.000000)
110:Player,BR:0cc/cc/cc/r130c:7s8c,JdAh|/4cKdAs/3d/5d:-230,230(29.714152)
111:BR,Player:0r130c/cr299c/cc/cc:2dJd,2cQh|/3c8hJs/3d/4c:529,-529(529.000000)
112:Player,BR:0cc/cc/cc/cc:3c8d,5hJs|/3h7cQh/5s/2s:-100,100(-78.918022)
113:BR,Player:0r130c/cr299c/cc/cr1587c:7cTs,5dTh|/6d8hQc/6h/7s:2116,-2116(2116.000000)
114:Player,BR:0cr200c/cc/cc/cc:JcKd,7sJd|/2h5s6s/4c/6d:300,-300(300.000000)
115:BR,Player:0r130c/cr460c/cc/cc:3cJd,9dTd|/3d5c6s/4s/Qc:690,-690(-389.877478)
116:Player,BR:0cc/cc/cc/cc:3cJh,2hKs|/7hKhAh/Qd/As:-100,100(-92.873884)
117:BR,Player:0r130c/cc/cr460c/cr897c:KcAh,5sAd|/2c9dTc/5d/5c:-1587,1587(266.517525)
118:Player,BR:0cr300c/cc/cc/r200c:7sAs,6sAc|/4d7h8h/Qd/6h:600,-600(378.337007)
119:BR,Player:0r130c/cc/cr460f:3s9h,4c7c|/6cKdAc/8h:-230,230(-230.000000)
120:Player,BR:0cc/cc/cc/cc:2sAc,4c7c|/3h9dQc/7h/Qh:-100,100(-71.237713)
121:BR,Player:0cc/cc/cc/cc:QhAh,TdKs|/4d7sAs/6c/Ad:100,-100(100.000000)
122:Player,BR:0cc/cc/r300f:5sQh,8c9c|/3hJhQc/4h:100,-100(100.000000)
123:BR,Player:0cc/cc/cr300f:2sAh,4c5s|/2h8d9h/Qs:-100,100(-100.000000)
124:Player,BR:0cc/cc/cc/cc:3d6s,8hAc|/3h7sQs/4h/Jc:100,-100(-7.628144)
125:BR,Player:0r130c/cr299c/cc/cc:8cKc,3c5d|/3dQhQd/4h/Jd:-529,529(-101.680326)
126:Player,BR:0cc/cc/r300c/r800c:3cKc,6sAs|/7h9hJs/Th/Jd:-1200,1200(-1150.234410)
127:BR,Player:0cc/cc/cc/cc:4h7d,9cJh|/7sTsTc/Ah/7c:100,-100(100.000000)
128:Player,BR:0cc/cc/r200c/cc:6s8h,QhKh|/9cTcQc/5d/4h:-300,300(-295.169978)
129:BR,Player:0f:8dQc,3h9d|:50,-50(50.000000)
130:Player,BR:0cc/cc/cc/cc:7hTd,8hQh|/4cJsKs/4s/2h:-100,100(22.503961)
131:BR,Player:0r130c/cr299c/cr687c/cr7296f:2c9s,7hJs|/5s9hTc/8d/Ad:-1216,1216(-1216.000000)
132:Player,BR:0cc/cc/r130f:4c5s,3d5d|/2cQsKh/6c:100,-100(100.000000)
133:BR,Player:0f:7s7c,3d6s|:50,-50(50.000000)
134:Player,BR:0cc/cc/r130c/r299c:6h8d,QhKd|/6c8cTd/2s/2d:529,-529(-131.445921)
135:BR,Player:0r200c/cr600f:5c8c,5hQd|/2cThJh:-300,300(-300.000000)
136:Player,BR:0cr200f:6dQd,2s3c|:100,-100(100.000000)
137:BR,Player:0f:5cAh,3s8d|:50,-50(50.000000)
138:Player,BR:0cc/cc/cc/cc:3dQs,6cJh|/7d7cJs/8s/7s:-100,100(-85.104306)
139:BR,Player:0cc/cc/cc/cc:KcAc,2dKh|/3c4dAd/Qs/8c:100,-100(100.000000)
140:Player,BR:0cc/cc/cc/cc:9dQh,6d8d|/2h4d5c/Tc/2c:100,-100(98.749029)
141:BR,Player:0r130c/cc/cc/cr299c:5cAs,KsKd|/2d3c4d/9h/Qs:529,-529(529.000000)
142:Player,BR:0cr300f:TdAc,4c8h|:100,-100(100.000000)
143:BR,Player:0f:6cAh,3d8s|:50,-50(50.000000)
144:Player,BR:0cr300c/cc/cc/cc:JdAd,4hTs|/3s9cKh/8c/9h:400,-400(400.000000)
145:BR,Player:0r130c/cc/cc/cr460f:3cQd,8cJs|/3s7hKh/Jd/Kc:-230,230(-230.000000)
146:Player,BR:0cc/cc/cc/r300c:5sAh,JcAd|/3h8sAs/2d/9c:-400,400(-270.743319)
147:BR,Player:0r130c/cc/cc/cr299f:7c8d,JhKd|/9hJcQh/5d/Ad:-230,230(-230.000000)
148:Player,BR:0cc/cc/cc/r130f:9dKh,4sAh|/7s8hTc/Jh/8d:100,-100(100.000000)
149:BR,Player:0cc/cc/cr130c/cr1380f:TsKh,6hJh|/2cJcKd/6d/9h:-230,230(-230.000000)
150:Player,BR:0cc/cc/cc/cc:7hJs,8dQc|/2h6cTh/As/7d:100,-100(40.161585)
151:BR,Player:0cc/cr130c/cr299c/cr1058f:9dTc,4h8s|/4s8dJc/3c/2d:-529,529(-529.000000)
152:Player,BR:0cc/cc/r130f:6c8s,2s9h|/3h5h6d/Qs:100,-100(100.000000)
153:BR,Player:0r200c/cr390f:2cTs,3d5h|/5d9hQs:-300,300(-300.000000)
154:Player,BR:0cc/cc/cc/cc:3dKs,TcKd|/4s4c9c/Th/8h:-100,100(-91.851531)
155:BR,Player:0r200c/cc/cc/cr900c:5hJd,9cTh|/3cKsAs/7c/2c:1200,-1200(-96.717114)
156:Player,BR:0cr300c/r520c/cc/cc:8c9s,2sQs|/TsKdAh/Ac/5h:-920,920(-156.224154)
157:BR,Player:0r200c/cr900c/cr2400c/cr16400c:9sQs,9d9c|/3c6d9h/2s/Ah:-20000,20000(1826.095163)
158:Player,BR:0cc/cc/cc/cc:5d9d,2c6s|/2h5hTd/8h/Qc:100,-100(-9.795470)
159:BR,Player:0r130c/cr299c/cc/cc:7dKs,2sQs|/5s9hJd/3d/Th:529,-529(-130.605830)
160:Player,BR:0cr130c/r299c/cc/r264f:TsQh,3sAh|/5d6sTc/6h/Jc:529,-529(529.000000)
161:BR,Player:0r200c/cc/cc/cc:2s3s,9hQh|/3c7d7c/6c/Kh:300,-300(300.000000)
162:Player,BR:0cr600f:KsAc,5h7d|:100,-100(100.000000)
163:BR,Player:0r130c/cc/cc/cr299c:3h8s,6d7s|/6sJhJd/8c/4h:529,-529(126.971451)
164:Player,BR:0cc/cc/cc/r130f:2d6s,3c6d|/7hQhKh/Kc/9s:100,-100(100.000000)
165:BR,Player:0r130c/cr460c/cr2070c/cc:4d6h,4cKs|/6cThJc/3d/Kd:-2760,2760(-1125.119169)
166:Player,BR:0cc/cc/cc/r130c:3dJc,5h5d|/3h3cTh/5s/2s:-230,230(-230.000000)
167:BR,Player:0r130c/cr460f:3dJh,3c4h|/2c8cKc:-230,230(-230.000000)
168:Player,BR:0cr300c/cc/r520f:7sAs,7hJh|/5s6sAc/2c:400,-400(400.000000)
169:BR,Player:0r130c/cc/cc/cc:5c6h,JsQh|/7h8sTh/Ah/Ts:-230,230(-230.000000)
170:Player,BR:0cc/cc/cc/cc:2cQd,7sQs|/3h8sJc/6h/Ad:-100,100(63.069049)
171:BR,Player:0r200c/cr900c/cc/cr1560c:JdAd,5cJc|/4h8cQd/4s/8d:2760,-2760(2123.486288)
172:Player,BR:0cc/r200c/r600c/r1170f:JcAd,6d9d|/4h9hAh/6s/As:900,-900(900.000000)
173:BR,Player:0r130c/cc/cc/cr460f:3d5c,7c9c|/9dTdQd/9s/6h:-230,230(-230.000000)
174:Player,BR:0cr300c/cc/cc/cc:8hAh,3dJc|/7dTsJd/8d/Qh:-400,400(-240.700225)
175:BR,Player:0r130c/cc/cr115c/cr1035c:7h7d,7c8s|/6c7s9s/5h/9c:1380,-1380(1379.618227)
