In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
81:Player,BR:0cc/cc/cc/cc:2sJd,3d8d|/5sKcAs/3h/Kd:-100,100(-89.040521)
82:BR,Player:0cc/cr130c/cc/cr460f:4d8h,TsJh|/4s5c9s/Qc/3h:-230,230(-230.000000)
83:Player,BR:0cr300c/r520c/r1840c/r552f:QsAh,9dJs|/9hTcAc/Ks/Ts:2760,-2760(2760.000000)
84:BR,Player:0r130c/cc/cc/cr460c:4h6h,JsKd|/5c7d8h/4s/9h:690,-690(667.474338)
85:Player,BR:0cr600c/r1400f:JsKc,3cQc|/2s7h9s:700,-700(700.000000)
86:BR,Player:0r200c/cc/cc/cr390c:4sTc,6h7c|/2sTdQc/9s/Qd:690,-690(551.371174)
87:Player,BR:0cr300c/cc/r200c/r120c:4d8d,6c7s|/4h5s7d/5h/Js:-720,720(-298.384470)
88:BR,Player:0r200c/cr390c/cc/cc:JdQh,8sAd|/3h5c7s/Qs/4d:690,-690(690.000000)
89:Player,BR:0cc/cc/r200f:8c9h,6c7h|/4sQcKs/2d:100,-100(100.000000)
90:BR,Player:0r130c/cc/cr460c/cc:3dQd,6sQs|/5d8dAh/2c/8s:-690,690(-390.164593)
91:Player,BR:0cr200c/cc/r600c/r1800f:KcAs,JsKs|/2s3s3h/Kh/4d:900,-900(900.000000)
92:BR,Player:0cc/cr130c/cr299f:8sKd,7sQs|/5s5dQd/Js:-230,230(-230.000000)
93:Player,BR:0cc/cc/cc/r130f:2s7s,4s9s|/6d7h8c/9c/7d:100,-100(100.000000)
94:BR,Player:0r130c/cc/cr115c/cc:5s6h,2d8d|/7c9cQs/7d/2h:-345,345(-345.000000)
95:Player,BR:0cr300f:KhAc,2h4s|:100,-100(100.000000)
96:BR,Player:0f:8c9h,2cTd|:50,-50(50.000000)
97:Player,BR:0cr200c/cc/cc/cc:KsAh,4s7s|/2s8sJh/3s/7d:-300,300(-291.252401)
98:BR,Player:0cc/cc/cc/cc:7cJd,3cQd|/7hKhAs/Td/Ah:100,-100(85.830740)
99:Player,BR:0cr130c/cc/cc/cc:7sAc,4hQd|/6sTdKd/5d/7d:-230,230(-217.286150)
100:BR,Player:0cc/cr200c/cr600f:JhQd,4hAs|/AhAdAc/8c:-300,300(-300.000000)
101:Player,BR:0cr300c/cc/r800f:5cQc,6dJd|/2s8s9d/Tc:400,-400(400.000000)
102:BR,Player:0r130c/cc/cc/cc:3s7h,5hAs|/2dJsJc/Kc/8c:-230,230(-230.000000)
103:Player,BR:0cr200c/cc/r150c/cc:7s8d,4s7c|/4hThQh/Kd/Ts:-450,450(61.546569)
104:BR,Player:0f:9cTc,2h9s|:50,-50(50.000000)
105:Player,BR:0cc/cc/cc/r200f:9dKc,6cKh|/4s9cQs/6h/5h:100,-100(100.000000)
106:BR,Player:0r130c/cc/cc/cc:2d6s,7d8d|/JhKcAs/7c/Qc:-230,230(-230.000000)
107:Player,BR:0cr300c/cc/cc/cc:KsAs,2dJd|/3c5d8h/9d/3s:400,-400(396.414549)
108:BR,Player:0r130c/cr299c/cr1058c/cr4761f:7dAh,9cAc|/4s9dKs/9h/Qh:-1587,1587(-1587.000000)
109:Player,BR:0cc/cc/cc/cc:3sAd,7s8d|/3cJcQd/6d/4s:100,-100(95.042283)
110:BR,Player:0cc/cr130c/cc/cc:7hAc,5c8d|/3s3d6h/Td/Ts:230,-230(159.885200)
111:Player,BR:0cr300c/r520c/r1196c/r2750f:4dAd,8sAc|/4cJhAs/5c/7d:2116,-2116(2116.000000)
112:BR,Player:0r130c/cc/cc/cc:6c9c,6hJd|/5hKcAs/Jc/Kd:-230,230(-230.000000)
113:Player,BR:0cc/cc/cc/cc:3dKh,6dAc|/5sJsJh/7c/8d:-100,100(-55.396234)
114:BR,Player:0r130c/cr460c/cc/cr1380c:6dQd,6sAc|/2d5d7h/Ah/9d:2070,-2070(1838.995062)
115:Player,BR:0cc/cc/cc/cc:5hJh,6cQh|/5cTdQd/Ks/8d:-100,100(-78.736487)
116:BR,Player:0cc/cc/cr130c/cc:TcQs,3cTs|/9sJcKh/8c/6d:230,-230(230.000000)
117:Player,BR:0cr300c/r800c/cc/r240f:4h6c,KdAd|/2c5c8h/6d/4d:1200,-1200(1200.000000)
118:BR,Player:0r600c/cc/cr910f:9cTh,4d6d|/7d8c9h/5h:-700,700(-700.000000)
119:Player,BR:0cr200c/cc/cc/cc:7s7c,3d5d|/TsJsJc/Ks/9d:300,-300(281.059331)
120:BR,Player:0r200c/cr390c/cr1380c/cc:9sKs,2sAh|/3h7h8s/Qc/8d:-2070,2070(-497.678842)
121:Player,BR:0cr600c/cc/cc/r2100c:8cTs,4cKh|/7d8dKs/4s/Td:-2800,2800(-1354.152015)
122:BR,Player:0f:2c5s,2s5h|:50,-50(50.000000)
123:Player,BR:0cr300c/cc/r200c/r120f:4h5h,TdQh|/5d7cKc/2c/2h:600,-600(600.000000)
124:BR,Player:0r130c/cc/cc/cc:4cQc,3h3d|/8sJsAs/Ks/2c:-230,230(-230.000000)
125:Player,BR:0cr200c/r390c/r897c/cc:8cJc,JdKs|/5d9hQc/5c/2d:-1587,1587(-342.991218)
126:BR,Player:0r200c/cc/cr150f:3h6h,5d8c|/4h9sJs/8d:-300,300(-300.000000)
