In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
77:BR,Player:0r130c/cc/r2014f:6cQc,6dKd|/2d7cTh/4s:230,-230(230.000000)
78:Player,BR:0cr130c/r299c/r687r10648f:7s9s,8cKd|/4h6sKs/Qh:-1216,1216(-1216.000000)
79:BR,Player:0r130c/cc/r1001f:5dQh,4sAc|/8cKsKh/2d:230,-230(230.000000)
80:Player,BR:0cr300c/r520c/r1840r6870r10370f:QcKc,6d6c|/3c7hKd/9c:9630,-9630(9630.000000)
81:BR,Player:0r200c/cc/r2627f:2sJd,3d8d|/5sKcAs/3h:300,-300(300.000000)
82:Player,BR:0cr200c/cc/cr5284f:4d8h,TsJh|/4s5c9s/Qc:-300,300(-300.000000)
83:BR,Player:0r200c/cc/r1136c/r1344c:QsAh,9dJs|/9hTcAc/Ks/Ts:2780,-2780(2086.186468)
84:Player,BR:0cr600c/cc/r910r2291c/cc:4h6h,JsKd|/5c7d8h/4s/9h:3901,-3901(3901.000000)
85:BR,Player:0cc/cc/r876f:JsKc,3cQc|/2s7h9s/5d:100,-100(100.000000)
86:Player,BR:0cc/cc/cr3080f:4sTc,6h7c|/2sTdQc/9s:-100,100(-100.000000)
87:BR,Player:0r130c/cr299c/r2303c/cc:4d8d,6c7s|/4h5s7d/5h/Js:-2832,2832(-2758.990886)
88:Player,BR:0cc/cc/r130r4051f:JdQh,8sAd|/3h5c7s/Qs:-230,230(-230.000000)
89:BR,Player:0r130c/cr299c/r100f:8c9h,6c7h|/4sQcKs/2d:529,-529(529.000000)
90:Player,BR:0cc/cc/cr876c/cr12998f:3dQd,6sQs|/5d8dAh/2c/8s:-976,976(-976.000000)
91:BR,Player:0r200c/cc/r1136c/r4727c:KcAs,JsKs|/2s3s3h/Kh/4d:6163,-6163(1935.046949)
92:Player,BR:0cr130c/cc/cr6161f:8sKd,7sQs|/5s5dQd/Js:-230,230(-230.000000)
93:BR,Player:0r200c/cr900c/r849f:2s7s,4s9s|/6d7h8c/9c:1200,-1200(1200.000000)
94:Player,BR:0cc/cc/r200r1306f:5s6h,2d8d|/7c9cQs/7d:-300,300(-300.000000)
95:BR,Player:0f:KhAc,2h4s|:50,-50(50.000000)
96:Player,BR:0cr600c/cc/r350r4571c/cr4574c:8c9h,2cTd|/7h9cKs/9s/Kh:10195,-10195(10195.000000)
97:BR,Player:0r130c/cc/r2014c/cr9716f:KsAh,4s7s|/2s8sJh/3s/7d:-2244,2244(-2244.000000)
98:Player,BR:0cc/cc/cr9423f:7cJd,3cQd|/7hKhAs/Td:-100,100(-100.000000)
99:BR,Player:0r130c/cr690c/r1309c/r12834f:7sAc,4hQd|/6sTdKd/5d/7d:2229,-2229(2229.000000)
100:Player,BR:0cc/cc/r200r14055f:JhQd,4hAs|/AhAdAc/8c:-300,300(-300.000000)
101:BR,Player:0cc/cr200c/r16163f:5cQc,6dJd|/2s8s9d/Tc:300,-300(300.000000)
102:Player,BR:0cc/cc/cr100f:3s7h,5hAs|/2dJsJc/Kc:-100,100(-100.000000)
103:BR,Player:0r200c/cc/cc/r5284f:7s8d,4s7c|/4hThQh/Kd/Ts:300,-300(300.000000)
104:Player,BR:0cr300c/r520c/cr2290f:9cTc,2h9s|/8dQhQc/8c:-920,920(-920.000000)
105:BR,Player:0r130c/cc/r498c/r2756f:9dKc,6cKh|/4s9cQs/6h/5h:728,-728(728.000000)
106:Player,BR:0cc/cc/cr435f:2d6s,7d8d|/JhKcAs/7c:-100,100(-100.000000)
107:BR,Player:0r300c/cc/r1741c/r8105f:KsAs,2dJd|/3c5d8h/9d/3s:2141,-2141(2141.000000)
108:Player,BR:0cr300c/cc/cr16295f:7dAh,9cAc|/4s9dKs/9h:-400,400(-400.000000)
109:BR,Player:0r130c/cc/r1001f:3sAd,7s8d|/3cJcQd/6d:230,-230(230.000000)
110:Player,BR:0cc/cc/cr435f:7hAc,5c8d|/3s3d6h/Td:-100,100(-100.000000)
111:BR,Player:0cc/cr300c/r10715f:4dAd,8sAc|/4cJhAs/5c:400,-400(400.000000)
112:Player,BR:0cr600c/cc/r1400r9142f:6c9c,6hJd|/5hKcAs/Jc:-2100,2100(-2100.000000)
113:BR,Player:0r130c/cc/r573f:3dKh,6dAc|/5sJsJh/7c:230,-230(230.000000)
114:Player,BR:0cr200c/r390c/r1380c/r2691r2691r6831f:6dQd,6sAc|/2d5d7h/Ah/9d:7452,-7452(7452.000000)
115:BR,Player:0r130c/cr299c/r753f:5hJh,6cQh|/5cTdQd/Ks:529,-529(529.000000)
116:Player,BR:0cr300c/cc/r520r8056r11024f:TcQs,3cTs|/9sJcKh/8c:8976,-8976(8976.000000)
117:BR,Player:0r130c/cc/r498f:4h6c,KdAd|/2c5c8h/6d:230,-230(230.000000)
118:Player,BR:0cr600c/cc/cr2650c/cr3605c:9cTh,4d6d|/7d8c9h/5h/6c:6955,-6955(6955.000000)
