In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
89:BR,Player:0r200c/cc/cc/r19700f:8c9h,6c7h|/4sQcKs/2d/Ts:300,-300(300.000000)
90:Player,BR:0cc/cc/cc/cc:3dQd,6sQs|/5d8dAh/2c/8s:-100,100(4.199237)
91:BR,Player:0r130c/cc/r460c/r1380c:KcAs,JsKs|/2s3s3h/Kh/4d:2070,-2070(911.113387)
92:Player,BR:0cc/cc/cr200c/cr600f:8sKd,7sQs|/5s5dQd/Js/2s:-300,300(-300.000000)
93:BR,Player:0r130c/cr460c/cc/r1380f:2s7s,4s9s|/6d7h8c/9c/7d:690,-690(690.000000)
94:Player,BR:0cc/cc/r200r600f:5s6h,2d8d|/7c9cQs/7d:-300,300(-300.000000)
95:BR,Player:0f:KhAc,2h4s|:50,-50(50.000000)
96:Player,BR:0cc/cc/r200r600c/cr19100f:8c9h,2cTd|/7h9cKs/9s/Kh:-900,900(-900.000000)
97:BR,Player:0r130c/cc/cr115c/cr2070r17585f:KsAh,4s7s|/2s8sJh/3s/7d:2415,-2415(2415.000000)
98:Player,BR:0cc/cc/cc/cr19900f:7cJd,3cQd|/7hKhAs/Td/Ah:-100,100(-100.000000)
99:BR,Player:0r130c/cr690c/r1840c/r17240f:7sAc,4hQd|/6sTdKd/5d/7d:2760,-2760(2760.000000)
100:Player,BR:0cc/cc/r200r600f:JhQd,4hAs|/AhAdAc/8c:-300,300(-300.000000)
101:BR,Player:0r130c/cc/cr460r1380f:5cQc,6dJd|/2s8s9d/Tc:690,-690(690.000000)
102:Player,BR:0cc/cc/cc/cr200f:3s7h,5hAs|/2dJsJc/Kc/8c:-100,100(-100.000000)
103:BR,Player:0r200c/cc/cc/cc:7s8d,4s7c|/4hThQh/Kd/Ts:-300,300(-300.000000)
104:Player,BR:0cr300c/r520c/cr1840f:9cTc,2h9s|/8dQhQc/8c:-920,920(-920.000000)
105:BR,Player:0r130c/cc/r460c/cc:9dKc,6cKh|/4s9cQs/6h/5h:690,-690(581.047382)
106:Player,BR:0cc/cc/r200c/r390r19310f:2d6s,7d8d|/JhKcAs/7c/Qc:-690,690(-690.000000)
107:BR,Player:0r200c/cr900c/cc/r2400f:KsAs,2dJd|/3c5d8h/9d/3s:1200,-1200(1200.000000)
108:Player,BR:0cr130c/cc/r115r19655f:7dAh,9cAc|/4s9dKs/9h:-345,345(-345.000000)
109:BR,Player:0r200c/cc/cr150r900f:3sAd,7s8d|/3cJcQd/6d:450,-450(450.000000)
110:Player,BR:0cr300c/cc/cc/r200r19400f:7hAc,5c8d|/3s3d6h/Td/Ts:-600,600(-600.000000)
111:BR,Player:0r130c/cr299c/r1058c/r3174f:4dAd,8sAc|/4cJhAs/5c/7d:1587,-1587(1587.000000)
112:Player,BR:0cr600c/cc/r2100f:6c9c,6hJd|/5hKcAs/Jc:700,-700(700.000000)
113:BR,Player:0r130c/cc/r460f:3dKh,6dAc|/5sJsJh/7c:230,-230(230.000000)
114:Player,BR:0cr300c/r520c/r1196r4232f:6dQd,6sAc|/2d5d7h/Ah:-2116,2116(-2116.000000)
