In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
95:BR,Player:0f:7cAd,3dTc|:50,-50(50.000000)
96:Player,BR:0cc/cc/cc/cc:5cAs,4sQd|/7cJsKc/Td/Ks:100,-100(13.801831)
97:BR,Player:0r130c/cc/cc/cc:4d9c,9sAd|/2h7hJs/7c/6h:-230,230(-230.000000)
98:Player,BR:0cc/cc/cc/cc:7cTd,8s9s|/5dThKh/2s/5c:100,-100(92.639980)
99:BR,Player:0r300c/cr520c/cc/cc:ThKh,5hQd|/3c5sJh/7d/As:-920,920(-564.276342)
100:Player,BR:0cc/cc/cc/cc:2sQc,7hKc|/3h7d9c/4h/8c:-100,100(-69.412951)
101:BR,Player:0r130c/cc/cr115c/cc:9hAs,QdAc|/2s3d5h/5d/Jd:-345,345(27.641609)
102:Player,BR:0cr200c/cc/cc/cc:JsKs,9sKh|/4sQsQh/2h/7s:300,-300(130.224123)
103:BR,Player:0r130c/cr299f:5s6c,2cTc|/2sJsAh:-230,230(-230.000000)
104:Player,BR:0cc/cc/cc/cc:5sAd,8cTd|/3s8dJh/Ah/9d:100,-100(-65.139508)
105:BR,Player:0r130c/cr299c/cc/cc:JhQd,5d7d|/4hQhKd/4s/Jd:529,-529(529.000000)
106:Player,BR:0cc/cc/cc/cc:6d8c,4cAh|/3sQhQc/Kc/Jd:-100,100(-13.290275)
107:BR,Player:0cc/cr300c/cr800f:2cQh,8sTd|/5c7s9s/Js:-400,400(-400.000000)
108:Player,BR:0cr600f:2d3s,4d6s|:100,-100(100.000000)
109:BR,Player:0r130c/cr299c/cr1058c/cc:QcAd,5sTh|/2c3s7s/As/5d:1587,-1587(1095.609467)
110:Player,BR:0cr1200f:JsKc,3d7c|:100,-100(100.000000)
111:BR,Player:0r130c/cc/cr115c/cr1035c:3sQc,4c6d|/5sThAs/Ts/2c:1380,-1380(644.029306)
112:Player,BR:0cr300c/cc/r1200c/r320c:2h4h,7dKd|/7hThQs/9s/Kh:1920,-1920(-1515.267275)
113:BR,Player:0cc/cc/cc/cr130c:9sJh,3cKs|/6hQcAc/Th/Kc:230,-230(196.113911)
114:Player,BR:0cc/cc/r130c/cc:3d4s,3c5h|/2c9cQh/3s/7d:0,-0(10.593006)
115:BR,Player:0r130c/cc/cr115c/cr448c:3h6s,2dJh|/3d9cKc/4d/5d:793,-793(-69.157585)
116:Player,BR:0cc/cc/r200c/cc:9sTh,3sJc|/3h7d7c/2h/8h:-300,300(-300.000000)
117:BR,Player:0r130c/cc/cr690c/cr1840c:7hJd,9hKc|/6d7dQc/Jc/5s:2760,-2760(1995.004706)
118:Player,BR:0cr600f:KdAc,2s7d|:100,-100(100.000000)
119:BR,Player:0r300c/cc/cc/cr520c:AsAh,7sJd|/2h7hQc/4d/2s:920,-920(141.222421)
120:Player,BR:0cr130c/cc/r115c/cc:4hJh,2h5d|/2c4s8h/Ac/2s:-345,345(-341.225206)
121:BR,Player:0cc/cc/cc/cc:2s4c,4s5h|/6s9cAd/2c/4d:100,-100(100.000000)
122:Player,BR:0cr600f:4s7s,5h8c|:100,-100(100.000000)
123:BR,Player:0f:2cKc,2sTd|:50,-50(50.000000)
124:Player,BR:0cr200c/cc/cc/cc:QsKd,KcAs|/4h6d9s/4d/6h:-300,300(-164.113975)
125:BR,Player:0r130c/cc/cc/cc:5hTs,7dKh|/3dJsQc/Qd/3c:-230,230(-230.000000)
126:Player,BR:0cc/cc/cc/r130c:2c4s,6d7s|/6c9sJd/Th/5s:-230,230(87.323144)
127:BR,Player:0f:9cAs,2s6d|:50,-50(50.000000)
128:Player,BR:0cc/cc/cc/cc:4sQs,5cAd|/2c5dJs/5h/6h:-100,100(-94.663025)
129:BR,Player:0r130c/cr299c/cr1058f:4d5s,3h4h|/2s5hKh/Jd:-529,529(-529.000000)
130:Player,BR:0cc/cc/cc/r200f:3h4c,4d9s|/3s3d9d/Tc/Jh:100,-100(100.000000)
131:BR,Player:0r130c/cr299c/cr687f:2h2d,JhKc|/8cTcKd/9c:-529,529(-529.000000)
132:Player,BR:0cr200f:3d4c,2d5c|:100,-100(100.000000)
133:BR,Player:0r130c/cc/cr299c/cc:6dKh,6sKc|/TcKsAc/2h/5d:0,-0(204.038196)
134:Player,BR:0cc/cc/cc/r130f:4s5d,3d7d|/8sJdAh/4d/8h:100,-100(100.000000)
135:BR,Player:0r130c/cc/cr690f:3dKs,JsAd|/4d6s9s/Ah:-230,230(-230.000000)
136:Player,BR:0cc/cc/cc/cc:3dAh,5s8c|/4h8hJd/Tc/6d:-100,100(-76.395820)
137:BR,Player:0cc/cr200c/cr390c/cr4140c:4cJc,2s5s|/4h6sKc/Ks/9h:4830,-4830(141.267190)
138:Player,BR:0cr300c/r520c/cc/cc:2dKd,TcAd|/6sQcKh/2h/3s:920,-920(-784.022101)
139:BR,Player:0r130c/cc/cr460c/cc:TsKs,ThJd|/8sQcKc/4c/5h:690,-690(690.000000)
140:Player,BR:0cc/cc/cc/cc:4h5d,2d3d|/2h9sQs/7c/7s:-100,100(-29.184701)
141:BR,Player:0f:7hQs,3d9s|:50,-50(50.000000)
142:Player,BR:0cc/cc/cc/cc:8cTs,5hJc|/9dJhKh/Ks/Td:-100,100(-57.245692)
143:BR,Player:0r130c/cr299c/cc/cr687c:QcKh,8dQh|/3c9dJh/Kd/Ts:0,-0(479.621193)
144:Player,BR:0cc/cc/cc/r130c:3dTs,6s9c|/4s8sKc/Td/Jh:230,-230(80.846998)
145:BR,Player:0r130c/cr460c/cr1380c/cc:TsTh,4s6h|/3s7dTd/Kc/9d:2070,-2070(2070.000000)
146:Player,BR:0cr300c/cc/cc/r200c:9sKd,8hJh|/8c9hQd/Jc/5h:-600,600(-595.890920)
147:BR,Player:0r130c/cr299c/cc/cc:2sTh,5d6h|/2dTcQc/5s/Jh:529,-529(529.000000)
148:Player,BR:0cr200c/cc/r900f:8hKs,6s8c|/2c7c9d/4s:300,-300(300.000000)
149:BR,Player:0f:5cAd,2h8d|:50,-50(50.000000)
150:Player,BR:0cr300c/cc/r200c/r120c:8cQs,4s5s|/4h5c8d/Ks/Ah:-720,720(-575.242454)
151:BR,Player:0r130c/cc/cc/cc:TdQc,4sJc|/4h7sQh/Kc/3d:230,-230(230.000000)
152:Player,BR:0cc/cc/cc/cc:7cQs,AhAc|/3h5s5h/Jh/Qh:-100,100(-98.556672)
153:BR,Player:0r130c/cc/cc/cr690c:2d6c,7cQh|/2s2cQc/2h/7h:920,-920(920.000000)
154:Player,BR:0cr600f:KdAd,4dTh|:100,-100(100.000000)
155:BR,Player:0cc/cc/cr130c/cc:7hKs,6h7s|/2sTcJc/9s/5s:230,-230(-22.684896)
156:Player,BR:0cc/cc/cc/cc:2c3h,9cQs|/3c6c7s/Kd/Ac:100,-100(36.244564)
157:BR,Player:0r130c/cr299c/cc/cr1058c:2dTs,9sQh|/2h5c6c/4d/Ac:1587,-1587(749.010399)
158:Player,BR:0cc/cc/cc/r130c:5dJd,2d5s|/2sJcKd/Qd/2h:-230,230(-223.497885)
159:BR,Player:0r200c/cc/cc/cr390c:TcKs,QsQc|/7cTdKd/8c/3s:690,-690(663.768142)
160:Player,BR:0cr300f:8sQs,2sTh|:100,-100(100.000000)
161:BR,Player:0r130c/cr299c/cc/cc:5cTc,6s7s|/8sJdQc/Ad/Kd:529,-529(529.000000)
162:Player,BR:0cr200c/r1800f:3s5d,2s8c|/4d9sAh:300,-300(300.000000)
163:BR,Player:0r200c/cc/cc/cc:4d4c,7hKh|/6s6dQd/Ad/Qh:0,-0(-29.991431)
164:Player,BR:0cr300c/cc/r200c/cc:9hAc,8cQc|/2c3sKd/2h/Js:600,-600(314.143449)
165:BR,Player:0r200c/cc/cc/cc:3h7c,KcAd|/6s8hTd/2d/Qd:-300,300(-300.000000)
166:Player,BR:0cr200c/r390f:JsKc,2h5h|/9sTsAd:300,-300(300.000000)
167:BR,Player:0r130c/cc/cr115c/cc:2h7d,JsAd|/5h5dQd/2s/4c:345,-345(267.894209)
168:Player,BR:0cr300c/r520f:4sAs,4dQc|/5h7sJc:400,-400(400.000000)
169:BR,Player:0r200c/cc/cr390c/cr1380c:3h7h,6h9c|/3sJdQd/Jh/2h:2070,-2070(-151.748544)
170:Player,BR:0cc/cc/r200f:9hTs,4d8c|/5h6cQs/Ks:100,-100(100.000000)
171:BR,Player:0r130c/cr690c/cr1840f:6sTs,KhAc|/7s8hAd/2d:-920,920(-920.000000)
172:Player,BR:0cr200f:3dAd,2d4s|:100,-100(100.000000)
173:BR,Player:0r130c/cr690f:2h3d,JcKs|/7d9hKh:-230,230(-230.000000)
174:Player,BR:0cr200c/cc/r150c/r225c:7sQs,2dTc|/5dJcAh/4d/3s:-675,675(-675.000000)
175:BR,Player:0r130c/cr299c/cc/cc:3cAd,9cJs|/8sQcKc/8d/Kh:529,-529(516.247218)
176:Player,BR:0cc/cc/cc/cc:2s7c,2h5d|/6sQsKs/Ts/9s:0,-0(9.937363)
177:BR,Player:0r200c/cc/cc/cr390c:5dQd,JsAs|/4h8dTs/9h/Qh:-690,690(172.805405)
178:Player,BR:0cc/cc/r200c/r390c:3c9h,2c6c|/4h4d5s/2d/7s:-690,690(70.828487)
179:BR,Player:0cc/cr200c/cc/cc:TsAs,8cJd|/4d5cTd/6d/8s:300,-300(300.000000)
180:Player,BR:0cc/cc/cc/cc:6sAd,5d6c|/8h9s9h/3h/Jd:100,-100(85.920084)
181:BR,Player:0f:4dTc,2s8h|:50,-50(50.000000)
182:Player,BR:0cc/cc/cc/r130c:5dQc,6hAc|/5s8s9h/4d/3h:230,-230(72.826189)
183:BR,Player:0r130c/cc/cc/cc:4c7d,3sQs|/9h9cJd/Ac/5s:-230,230(-230.000000)
184:Player,BR:0cr200c/cc/r150c/cc:7dAs,QsAd|/3h8s8c/Jc/Kh:-450,450(14.062297)
185:BR,Player:0r130c/cc/cc/cc:6hKc,4s4d|/3d5sTc/Ah/9d:-230,230(-132.043199)
186:Player,BR:0cr300f:8c9h,2c5h|:100,-100(100.000000)
187:BR,Player:0r200f:2d5c,JcAc|:-100,100(-100.000000)
188:Player,BR:0cr300c/r520c/cc/r460f:6s7d,JsKs|/2c4c6c/3d/2d:920,-920(920.000000)
189:BR,Player:0r130c/cc/cc/cc:9hJc,8d8c|/4c9cAh/Qc/5d:230,-230(230.000000)
190:Player,BR:0cc/cc/cc/cc:2c7h,QdQc|/2sJsJh/8s/Ac:-100,100(-88.365988)
191:BR,Player:0r130c/cc/cc/cr460f:4c8d,9dJs|/4h5d7c/5s/Jd:-230,230(-230.000000)
192:Player,BR:0cc/cc/cc/r130c:3sTs,4h5s|/5dTcKc/3d/4d:230,-230(-157.915016)
193:BR,Player:0r130c/cr299f:2d8s,3s5h|/6h7cTd:-230,230(-230.000000)
194:Player,BR:0cc/cc/cc/cc:2sJh,4hTs|/6s8sQc/Ad/6h:100,-100(59.050055)
195:BR,Player:0cc/cc/cc/cr200c:3h4s,4c5d|/3c5hJs/Kh/Ks:-300,300(-16.731455)
196:Player,BR:0cc/cc/cc/cc:7dQs,7h8c|/JdQhKd/Ac/5h:100,-100(55.426226)
197:BR,Player:0r130c/cr299c/cc/cc:4dKc,2sQs|/7d8sAd/9s/Qd:-529,529(-336.110414)
198:Player,BR:0cc/cc/cc/cc:JcQs,TdJs|/6d6cAs/3c/Ac:100,-100(-11.941999)
199:BR,Player:0r130c/cc/cc/cc:4sKd,8hQs|/7c8sJc/Js/As:-230,230(-186.758161)
200:Player,BR:0cc/cc/cc/cc:2s6h,TsJh|/4d5cJs/8d/3s:100,-100(-90.847837)
201:BR,Player:0r130c/cc/cr460c/cc:6sKs,3dKh|/6h9dTc/Js/9h:690,-690(150.046354)
202:Player,BR:0cr300c/cc/cc/cc:JhKs,6hJs|/2c4c9d/7h/4h:400,-400(400.000000)
203:BR,Player:0cc/cr130c/cc/cr299f:9sTh,7s9d|/2s3dKd/2c/7d:-230,230(-230.000000)
204:Player,BR:0cc/cc/cc/r130f:4cTc,2s6c|/3h8dAc/7s/5s:100,-100(100.000000)
205:BR,Player:0r130c/cc/cr460f:4cTc,JsKd|/5h7cQs/Kh:-230,230(-230.000000)
206:Player,BR:0cc/cc/cc/cc:3c8c,4s6s|/5d7dKd/Ad/7s:100,-100(99.374610)
207:BR,Player:0cc/cc/cc/cc:7h8d,3cKh|/2sJdQh/Ac/2h:-100,100(-100.000000)
208:Player,BR:0cc/cc/cc/r130c:2c8h,9dTh|/5d8s9c/Jh/4c:-230,230(-177.529970)
209:BR,Player:0r130c/cr299c/cr105c/cr1268c:JcKs,6sTd|/3hQsQd/3d/5s:1902,-1902(1902.000000)
210:Player,BR:0cc/cc/r130c/r115c:6d7c,3h4s|/2c8cQh/3c/Ts:-345,345(160.170941)
211:BR,Player:0r130c/cc/cc/cc:2sQd,QsAd|/3d4h7c/Kd/2d:230,-230(150.790237)
212:Player,BR:0cr600f:2sTs,7c9s|:100,-100(100.000000)
213:BR,Player:0r130c/cc/cc/cr299f:3cTc,6hKc|/6dQdKd/2d/4c:-230,230(-230.000000)
214:Player,BR:0cr300c/cc/r520c/r1196f:5sQs,3d9d|/4s4dTc/3s/Qc:920,-920(920.000000)
215:BR,Player:0r130c/cc/cc/cc:4cQh,2hKs|/6hJcAc/Qs/7d:230,-230(230.000000)
216:Player,BR:0cc/cc/cc/cc:4hJd,6dJs|/2h9hTc/3c/Ad:-100,100(70.842456)
217:BR,Player:0r130c/cc/cc/cc:7h8d,2s2c|/4c7dAs/Tc/8h:230,-230(230.000000)
218:Player,BR:0cc/cc/cc/r130c:4h8s,TsTc|/5dJhAs/8d/7d:-230,230(-140.019328)
219:BR,Player:0r130c/cr460c/cr897c/cc:4dAc,3cAh|/5c9dTc/9c/7d:0,-0(-332.435849)
220:Player,BR:0cr300f:TsKh,2d4s|:100,-100(100.000000)
221:BR,Player:0r200c/cr600c/cc/cc:4c6d,ThQd|/3c5c7s/Jd/8s:900,-900(900.000000)
222:Player,BR:0cc/cc/cc/cc:TdJh,8dKs|/2s6dQc/9d/Kd:100,-100(-76.118872)
223:BR,Player:0r200c/cc/cc/cr390c:2sJs,3s4h|/7hJdQd/8s/5h:690,-690(193.108977)
224:Player,BR:0cr300c/cc/cc/cc:4s4h,6h9d|/2s8cTs/3s/Ac:400,-400(400.000000)
225:BR,Player:0r130c/cr299c/cr1058f:7hTs,2d3d|/2s2h3s/8h:-529,529(-529.000000)
226:Player,BR:0cc/cc/cc/cc:3h7h,6dKh|/4hJsQc/Kc/5d:-100,100(-85.208714)
227:BR,Player:0r200c/cc/cc/cr390f:4s9h,2cAs|/8dQdQc/8s/Ad:-300,300(-300.000000)
228:Player,BR:0cc/cc/cc/r130c:4dKh,8dKd|/3c8cQc/7d/Jc:-230,230(97.783920)
229:BR,Player:0r200c/cc/cr390c/cr897c:9hJd,2sJs|/8cJcKh/2h/Kd:1587,-1587(1516.490799)
230:Player,BR:0cr600f:5hAd,3c4s|:100,-100(100.000000)
231:BR,Player:0r130c/cr299c/cr264c/cc:JcKs,6s6h|/2d7h7d/Qc/3h:-793,793(-793.000000)
232:Player,BR:0cc/cc/cc/cc:2c9c,3sTs|/5dQhAh/2h/8d:100,-100(81.763362)
233:BR,Player:0r200f:2s7h,4sTd|:-100,100(-100.000000)
234:Player,BR:0cr200c/r390c/cc/r345c:ThQh,8d9s|/2h7c9c/4c/Ts:1035,-1035(256.029879)
235:BR,Player:0r200c/cc/cc/cc:3hQh,QcAc|/2h6h8h/3d/Ah:300,-300(300.000000)
236:Player,BR:0cc/cc/cc/cc:2s6c,7cAd|/3s9hQh/2c/4c:100,-100(24.341456)
237:BR,Player:0f:7dQc,2h3c|:50,-50(50.000000)
238:Player,BR:0cr200c/cc/cc/r150f:3sAs,KdAh|/8cJdQd/3d/2h:300,-300(300.000000)
239:BR,Player:0f:7sQc,3h9c|:50,-50(50.000000)
240:Player,BR:0cr600c/cc/cc/r350c:2h6h,8d9d|/4d8s9c/4c/7h:-1050,1050(-981.414711)
