In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
114:BR,Player:0cc/cr130f:3d4s,3c5h|/2c9cQh:-100,100(-100.000000)
115:Player,BR:0cc/cc/cc/cc:3h6s,2dJh|/3d9cKc/4d/5d:100,-100(87.968225)
116:BR,Player:0cc/cr130c/cr299f:9sTh,3sJc|/3h7d7c/2h:-230,230(-230.000000)
117:Player,BR:0cr300c/cc/r800c/r2400f:7hJd,9hKc|/6d7dQc/Jc/5s:1200,-1200(1200.000000)
118:BR,Player:0f:KdAc,2s7d|:50,-50(50.000000)
119:Player,BR:0cr600c/r4200f:AsAh,7sJd|/2h7hQc:700,-700(700.000000)
120:BR,Player:0f:4hJh,2h5d|:50,-50(50.000000)
121:Player,BR:0cc/cc/cc/cc:2s4c,4s5h|/6s9cAd/2c/4d:100,-100(-80.211268)
122:BR,Player:0cc/cc/cc/cc:4s7s,5h8c|/7h8dTd/6d/Kc:-100,100(13.922888)
123:Player,BR:0cc/cc/cc/cc:2cKc,2sTd|/7cJdAc/4s/4d:100,-100(67.645463)
124:BR,Player:0r130c/cc/cr115c/cc:QsKd,KcAs|/4h6d9s/4d/6h:-345,345(-192.154976)
125:Player,BR:0cc/cc/cc/cc:5hTs,7dKh|/3dJsQc/Qd/3c:-100,100(-26.296580)
126:BR,Player:0cc/cc/cc/cr130f:2c4s,6d7s|/6c9sJd/Th/5s:-100,100(-100.000000)
127:Player,BR:0cr300f:9cAs,2s6d|:100,-100(100.000000)
128:BR,Player:0r130c/cr299c/cr687f:4sQs,5cAd|/2c5dJs/5h:-529,529(-529.000000)
129:Player,BR:0cr130c/cc/r115c/r172f:4d5s,3h4h|/2s5hKh/Jd/5d:345,-345(345.000000)
130:BR,Player:0cc/cc/cc/cc:3h4c,4d9s|/3s3d9d/Tc/Jh:100,-100(100.000000)
131:Player,BR:0cr200c/cc/cc/cc:2h2d,JhKc|/8cTcKd/9c/5h:-300,300(-220.732983)
132:BR,Player:0f:3d4c,2d5c|:50,-50(50.000000)
133:Player,BR:0cr130c/cc/cc/r299c:6dKh,6sKc|/TcKsAc/2h/5d:0,-0(-491.637219)
134:BR,Player:0r200c/cc/cc/cr390c:4s5d,3d7d|/8sJdAh/4d/8h:690,-690(-144.422106)
135:Player,BR:0cc/cc/cc/cc:3dKs,JsAd|/4d6s9s/Ah/Kh:-100,100(-93.129410)
136:BR,Player:0r130c/cc/cr115c/cc:3dAh,5s8c|/4h8hJd/Tc/6d:-345,345(-57.099011)
137:Player,BR:0cc/cc/cc/r130f:4cJc,2s5s|/4h6sKc/Ks/9h:100,-100(100.000000)
138:BR,Player:0cc/cr130c/cc/cc:2dKd,TcAd|/6sQcKh/2h/3s:230,-230(230.000000)
139:Player,BR:0cr300c/r800c/r600f:TsKs,ThJd|/8sQcKc/4c:1200,-1200(1200.000000)
140:BR,Player:0r130c/cc/cc/cc:4h5d,2d3d|/2h9sQs/7c/7s:-230,230(-230.000000)
141:Player,BR:0cc/cc/cc/cc:7hQs,3d9s|/3h6hJh/Ks/Ts:-100,100(-4.141041)
142:BR,Player:0r130c/cc/cr115c/cc:8cTs,5hJc|/9dJhKh/Ks/Td:-345,345(-240.996673)
143:Player,BR:0cr200c/cc/r900f:QcKh,8dQh|/3c9dJh/Kd:300,-300(300.000000)
144:BR,Player:0r200c/cr900f:3dTs,6s9c|/4s8sKc:-300,300(-300.000000)
145:Player,BR:0cr130c/cc/r299f:TsTh,4s6h|/3s7dTd/Kc:230,-230(230.000000)
146:BR,Player:0r130c/cr299c/cc/cr687f:9sKd,8hJh|/8c9hQd/Jc/5h:-529,529(-529.000000)
147:Player,BR:0cc/cc/cc/r130c:2sTh,5d6h|/2dTcQc/5s/Jh:230,-230(29.978835)
148:BR,Player:0r130c/cr299c/cc/cr687c:8hKs,6s8c|/2c7c9d/4s/Th:-1216,1216(416.259759)
149:Player,BR:0cr600f:5cAd,2h8d|:100,-100(100.000000)
150:BR,Player:0r130c/cr299c/cr1058c/cr2063f:8cQs,4s5s|/4h5c8d/Ks/Ah:-1587,1587(-1587.000000)
151:Player,BR:0cr200c/r390c/cc/cc:TdQc,4sJc|/4h7sQh/Kc/3d:690,-690(-208.607397)
152:BR,Player:0r200c/cc/cr600f:7cQs,AhAc|/3h5s5h/Jh:-300,300(-300.000000)
153:Player,BR:0cc/cc/cc/cc:2d6c,7cQh|/2s2cQc/2h/7h:100,-100(-85.007932)
154:BR,Player:0r130c/cr299c/cc/cc:KdAd,4dTh|/4c7hKs/8c/8s:529,-529(529.000000)
155:Player,BR:0cc/cc/cc/cc:7hKs,6h7s|/2sTcJc/9s/5s:100,-100(76.294781)
156:BR,Player:0r130c/cr460c/cc/cc:2c3h,9cQs|/3c6c7s/Kd/Ac:690,-690(10.836380)
157:Player,BR:0cc/cc/cc/cc:2dTs,9sQh|/2h5c6c/4d/Ac:100,-100(96.282175)
158:BR,Player:0f:5dJd,2d5s|:50,-50(50.000000)
159:Player,BR:0cc/cc/cc/cc:TcKs,QsQc|/7cTdKd/8c/3s:100,-100(-72.588672)
160:BR,Player:0f:8sQs,2sTh|:50,-50(50.000000)
161:Player,BR:0cc/cc/cc/r130f:5cTc,6s7s|/8sJdQc/Ad/Kd:100,-100(100.000000)
162:BR,Player:0f:3s5d,2s8c|:50,-50(50.000000)
163:Player,BR:0cr300c/r520c/cc/cc:4d4c,7hKh|/6s6dQd/Ad/Qh:0,-0(134.754907)
164:BR,Player:0r200c/cc/cc/cc:9hAc,8cQc|/2c3sKd/2h/Js:300,-300(232.842978)
165:Player,BR:0cc/cc/cc/cc:3h7c,KcAd|/6s8hTd/2d/Qd:-100,100(22.950048)
166:BR,Player:0r200c/cc/cr900c/cr2400c:JsKc,2h5h|/9sTsAd/Kh/6h:3600,-3600(3387.663299)
167:Player,BR:0cc/cc/r130c/cc:2h7d,JsAd|/5h5dQd/2s/4c:230,-230(143.377808)
168:BR,Player:0r130c/cr299c/cr687c/cc:4sAs,4dQc|/5h7sJc/Kh/Qs:-1216,1216(-554.391762)
169:Player,BR:0cr200c/cc/r150c/r225c:3h7h,6h9c|/3sJdQd/Jh/2h:675,-675(433.551956)
170:BR,Player:0r130c/cc/cc/cr299f:9hTs,4d8c|/5h6cQs/Ks/8d:-230,230(-230.000000)
171:Player,BR:0cr300c/r520c/cc/cc:6sTs,KhAc|/7s8hAd/2d/2c:-920,920(-889.132924)
172:BR,Player:0f:3dAd,2d4s|:50,-50(50.000000)
173:Player,BR:0cc/cc/cc/r200c:2h3d,JcKs|/7d9hKh/Qd/Qc:-300,300(-296.842135)
174:BR,Player:0f:7sQs,2dTc|:50,-50(50.000000)
175:Player,BR:0cc/cc/cc/cc:3cAd,9cJs|/8sQcKc/8d/Kh:100,-100(39.866477)
176:BR,Player:0f:2s7c,2h5d|:50,-50(50.000000)
177:Player,BR:0cr300c/r520c/cc/cc:5dQd,JsAs|/4h8dTs/9h/Qh:-920,920(-837.420870)
178:BR,Player:0r130c/cc/cr460f:3c9h,2c6c|/4h4d5s/2d:-230,230(-230.000000)
179:Player,BR:0cr300c/cc/r520c/r460f:TsAs,8cJd|/4d5cTd/6d/8s:920,-920(920.000000)
180:BR,Player:0r130c/cr299c/cc/cc:6sAd,5d6c|/8h9s9h/3h/Jd:529,-529(-247.867748)
