In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
111:BR,Player:0r200c/cr390c/cc/cr897c:4dAd,8sAc|/4cJhAs/5c/7d:1587,-1587(961.745570)
112:Player,BR:0cr130c/r299c/r1587c/cc:6c9c,6hJd|/5hKcAs/Jc/Kd:-2116,2116(-1338.656296)
113:BR,Player:0r130c/cc/cc/cc:3dKh,6dAc|/5sJsJh/7c/8d:-230,230(-230.000000)
114:Player,BR:0cr200c/cc/r390c/r897f:6dQd,6sAc|/2d5d7h/Ah/9d:690,-690(690.000000)
115:BR,Player:0r130c/cr299c/cc/cc:5hJh,6cQh|/5cTdQd/Ks/8d:-529,529(-210.277902)
116:Player,BR:0cr300c/r520c/cc/r1840f:TcQs,3cTs|/9sJcKh/8c/6d:920,-920(920.000000)
117:BR,Player:0r300f:4h6c,KdAd|:-100,100(-100.000000)
118:Player,BR:0cr600f:9cTh,4d6d|:100,-100(100.000000)
119:BR,Player:0r130c/cc/cr115c/cr1035c:7s7c,3d5d|/TsJsJc/Ks/9d:1380,-1380(592.595796)
120:Player,BR:0cr200c/r600c/cc/cc:9sKs,2sAh|/3h7h8s/Qc/8d:-900,900(-633.816345)
121:BR,Player:0r200c/cc/cr390c/cr1380f:8cTs,4cKh|/7d8dKs/4s/Td:-690,690(-690.000000)
122:Player,BR:0cc/cc/r200f:2c5s,2s5h|/3c6cKc/Ad:100,-100(100.000000)
123:BR,Player:0cc/cc/cc/cc:4h5h,TdQh|/5d7cKc/2c/2h:100,-100(82.471337)
124:Player,BR:0cr200c/r390c/r897c/cc:4cQc,3h3d|/8sJsAs/Ks/2c:-1587,1587(-1271.070940)
125:BR,Player:0r130c/cr299c/cr3174f:8cJc,JdKs|/5d9hQc/5c:-529,529(-529.000000)
